ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
CHY,2026-03-08T14:27:05.137195,1,Spatial,1,LM_C,DLM_2,,LM_C,3.5813982486724854
CHY,2026-03-08T14:27:12.400788,1,Spatial,2,ULM_L,LM_L,,LM_L,1.57407808303833
CHY,2026-03-08T14:27:20.417143,1,Spatial,3,LM_C,DLM_3,,DLM_3,1.7702207565307617
CHY,2026-03-08T14:27:27.407728,1,Spatial,4,ULM_L,DLM_2,,DLM_2,0.8359215259552002
CHY,2026-03-08T14:27:33.177520,1,Spatial,5,DLM_3,DLM_2,,DLM_3,0.7026040554046631
CHY,2026-03-08T14:27:39.184204,1,Spatial,6,LM_C,ULM_L,,LM_C,0.5648853778839111
CHY,2026-03-08T14:27:46.664276,1,Spatial,7,LM_L,LM_C,,LM_C,1.9101638793945312
CHY,2026-03-08T14:27:52.968040,1,Spatial,8,ULM_L,DLM_3,,DLM_3,0.8439972400665283
CHY,2026-03-08T14:27:59.176910,1,Spatial,9,DLM_2,DLM_3,,DLM_3,0.6614720821380615
CHY,2026-03-08T14:28:05.496277,1,Spatial,10,DLM_2,ULM_L,,DLM_2,1.0619566440582275
CHY,2026-03-08T14:28:11.856548,1,Spatial,11,LM_L,DLM_3,,DLM_3,1.0726945400238037
CHY,2026-03-08T14:28:18.089220,1,Spatial,12,DLM_2,LM_C,,LM_C,0.6191599369049072
CHY,2026-03-08T14:28:23.905125,1,Spatial,13,DLM_2,LM_L,,LM_L,0.3219330310821533
CHY,2026-03-08T14:28:29.776659,1,Spatial,14,LM_L,ULM_L,,LM_L,0.4830324649810791
CHY,2026-03-08T14:28:35.840518,1,Spatial,15,LM_C,LM_L,,LM_L,0.6060166358947754
CHY,2026-03-08T14:28:41.640603,1,Spatial,16,LM_L,DLM_2,,LM_L,0.3883070945739746
CHY,2026-03-08T14:28:47.976724,1,Spatial,17,DLM_3,LM_C,,LM_C,0.6587660312652588
CHY,2026-03-08T14:28:54.193012,1,Spatial,18,DLM_3,LM_L,,LM_L,0.631441593170166
CHY,2026-03-08T14:29:00.633073,1,Spatial,19,DLM_3,ULM_L,,DLM_3,0.9781363010406494
CHY,2026-03-08T14:29:07.144841,1,Spatial,20,ULM_L,LM_C,,LM_C,0.423687219619751
CHY,2026-03-08T14:29:23.216812,2,Intensity,1,ULM_L,DLM_3,ULM_L,,1.6646003723144531
CHY,2026-03-08T14:29:30.560251,2,Intensity,2,LM_L,ULM_L,ULM_L,,1.1143748760223389
CHY,2026-03-08T14:29:38.425586,2,Intensity,3,ULM_L,LM_C,ULM_L,,1.9566006660461426
CHY,2026-03-08T14:29:45.256863,2,Intensity,4,LM_C,LM_L,LM_C,,0.9020688533782959
CHY,2026-03-08T14:29:56.105490,2,Intensity,5,LM_L,DLM_2,DLM_2,,3.6557278633117676
CHY,2026-03-08T14:30:02.496156,2,Intensity,6,DLM_3,LM_C,LM_C,,0.6866629123687744
CHY,2026-03-08T14:30:09.168461,2,Intensity,7,LM_C,DLM_2,DLM_2,,0.539597749710083
CHY,2026-03-08T14:30:15.201141,2,Intensity,8,LM_L,DLM_3,LM_L,,0.49364137649536133
CHY,2026-03-08T14:30:21.800154,2,Intensity,9,DLM_2,ULM_L,ULM_L,,0.8755912780761719
CHY,2026-03-08T14:30:27.992805,2,Intensity,10,LM_L,LM_C,LM_L,,0.7306571006774902
CHY,2026-03-08T14:30:37.072436,2,Intensity,11,DLM_3,ULM_L,ULM_L,,2.9877731800079346
CHY,2026-03-08T14:30:43.552999,2,Intensity,12,LM_C,DLM_3,LM_C,,0.6719746589660645
CHY,2026-03-08T14:30:50.705108,2,Intensity,13,ULM_L,LM_L,ULM_L,,0.5648531913757324
CHY,2026-03-08T14:30:56.961192,2,Intensity,14,LM_C,ULM_L,ULM_L,,0.6041924953460693
CHY,2026-03-08T14:31:03.216633,2,Intensity,15,DLM_2,LM_L,LM_L,,0.7812128067016602
CHY,2026-03-08T14:31:08.976947,2,Intensity,16,DLM_3,LM_L,LM_L,,0.5643277168273926
CHY,2026-03-08T14:31:14.520793,2,Intensity,17,DLM_2,LM_C,DLM_2,,0.463728666305542
CHY,2026-03-08T14:31:20.312410,2,Intensity,18,DLM_3,DLM_2,DLM_2,,0.5306556224822998
CHY,2026-03-08T14:31:25.920130,2,Intensity,19,DLM_2,DLM_3,DLM_2,,0.3909645080566406
CHY,2026-03-08T14:31:31.113137,2,Intensity,20,ULM_L,DLM_2,DLM_2,,0.3726818561553955
