ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
CYH,2026-03-08T11:10:32.251197,1,Intensity,1,LM_L,LM_C,LM_C,,5.819317579269409
CYH,2026-03-08T11:10:43.418455,1,Intensity,2,DLM_2,LM_L,DLM_2,,2.652716875076294
CYH,2026-03-08T11:10:50.690607,1,Intensity,3,DLM_2,LM_C,LM_C,,1.9524261951446533
CYH,2026-03-08T11:10:58.386101,1,Intensity,4,DLM_3,LM_L,DLM_3,,2.122178792953491
CYH,2026-03-08T11:11:06.682196,1,Intensity,5,DLM_2,ULM_L,DLM_2,,1.8666822910308838
CYH,2026-03-08T11:11:14.082356,1,Intensity,6,ULM_L,DLM_3,ULM_L,,1.1661255359649658
CYH,2026-03-08T11:11:21.818146,1,Intensity,7,DLM_2,DLM_3,DLM_2,,2.7335829734802246
CYH,2026-03-08T11:11:29.498922,1,Intensity,8,ULM_L,LM_C,ULM_L,,2.7197351455688477
CYH,2026-03-08T11:11:36.706621,1,Intensity,9,LM_C,DLM_3,LM_C,,1.7459895610809326
CYH,2026-03-08T11:11:45.786565,1,Intensity,10,DLM_3,LM_C,DLM_3,,1.490048885345459
CYH,2026-03-08T11:11:53.777600,1,Intensity,11,LM_C,LM_L,LM_L,,3.012606143951416
CYH,2026-03-08T11:12:00.010413,1,Intensity,12,LM_C,DLM_2,DLM_2,,1.1647934913635254
CYH,2026-03-08T11:12:06.602395,1,Intensity,13,DLM_3,ULM_L,DLM_3,,1.715548038482666
CYH,2026-03-08T11:12:13.994777,1,Intensity,14,ULM_L,LM_L,ULM_L,,2.5963525772094727
CYH,2026-03-08T11:12:28.009398,1,Intensity,15,ULM_L,DLM_2,DLM_2,,5.3155505657196045
CYH,2026-03-08T11:12:38.066661,1,Intensity,16,LM_L,DLM_2,DLM_2,,4.9662721157073975
CYH,2026-03-08T11:12:49.562328,1,Intensity,17,DLM_3,DLM_2,DLM_2,,4.816766977310181
CYH,2026-03-08T11:13:01.081956,1,Intensity,18,LM_C,ULM_L,ULM_L,,6.3568994998931885
CYH,2026-03-08T11:13:07.962502,1,Intensity,19,LM_L,ULM_L,LM_L,,1.8272573947906494
CYH,2026-03-08T11:13:16.250325,1,Intensity,20,LM_L,DLM_3,LM_L,,3.5782032012939453
CYH,2026-03-08T11:13:43.481498,2,Spatial,1,DLM_3,LM_L,,DLM_3,1.0172383785247803
CYH,2026-03-08T11:13:53.202047,2,Spatial,2,LM_L,ULM_L,,ULM_L,3.4900898933410645
CYH,2026-03-08T11:14:00.771156,2,Spatial,3,DLM_2,DLM_3,,DLM_3,2.1981780529022217
CYH,2026-03-08T11:14:15.353646,2,Spatial,4,LM_C,DLM_2,,LM_C,3.4541943073272705
CYH,2026-03-08T11:14:25.897426,2,Spatial,5,DLM_2,LM_C,,LM_C,4.751713514328003
CYH,2026-03-08T11:14:32.930320,2,Spatial,6,LM_C,LM_L,,LM_L,0.7095346450805664
CYH,2026-03-08T11:14:39.713957,2,Spatial,7,LM_L,DLM_3,,DLM_3,1.766813039779663
CYH,2026-03-08T11:14:46.058238,2,Spatial,8,ULM_L,DLM_3,,ULM_L,1.009352684020996
CYH,2026-03-08T11:14:51.098023,2,Spatial,9,ULM_L,LM_C,,ULM_L,0.3995954990386963
CYH,2026-03-08T11:15:00.050385,2,Spatial,10,DLM_3,ULM_L,,ULM_L,4.13970160484314
CYH,2026-03-08T11:15:10.074584,2,Spatial,11,LM_C,ULM_L,,ULM_L,5.141200065612793
CYH,2026-03-08T11:15:16.002479,2,Spatial,12,ULM_L,DLM_2,,DLM_2,1.0061235427856445
CYH,2026-03-08T11:15:21.554043,2,Spatial,13,DLM_3,LM_C,,DLM_3,0.5011415481567383
CYH,2026-03-08T11:15:29.946829,2,Spatial,14,DLM_3,DLM_2,,DLM_2,3.6545915603637695
CYH,2026-03-08T11:15:36.033535,2,Spatial,15,LM_L,DLM_2,,DLM_2,1.1584107875823975
CYH,2026-03-08T11:15:41.233803,2,Spatial,16,LM_L,LM_C,,LM_L,0.369049072265625
CYH,2026-03-08T11:15:46.554652,2,Spatial,17,LM_C,DLM_3,,LM_C,0.622229814529419
CYH,2026-03-08T11:15:54.665994,2,Spatial,18,ULM_L,LM_L,,ULM_L,3.084652900695801
CYH,2026-03-08T11:16:01.209949,2,Spatial,19,DLM_2,ULM_L,,ULM_L,1.467475414276123
CYH,2026-03-08T11:16:07.145741,2,Spatial,20,DLM_2,LM_L,,DLM_2,1.0582404136657715
