ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
CYQ,2026-02-28T21:49:05.075049,1,Intensity,1,DLM_2,DLM_3,DLM_2,,14.285757780075073
CYQ,2026-02-28T21:49:12.842729,1,Intensity,2,DLM_3,ULM_L,DLM_3,,2.5188496112823486
CYQ,2026-02-28T21:49:27.137966,1,Intensity,3,DLM_3,LM_C,LM_C,,9.28491735458374
CYQ,2026-02-28T21:49:34.506828,1,Intensity,4,DLM_2,LM_L,DLM_2,,2.3259971141815186
CYQ,2026-02-28T21:49:43.906358,1,Intensity,5,LM_C,ULM_L,LM_C,,4.4655866622924805
CYQ,2026-02-28T21:49:50.466962,1,Intensity,6,LM_C,LM_L,LM_C,,1.7385210990905762
CYQ,2026-02-28T21:49:57.626436,1,Intensity,7,LM_L,DLM_3,DLM_3,,2.264683246612549
CYQ,2026-02-28T21:50:06.842737,1,Intensity,8,LM_L,LM_C,LM_C,,4.259850740432739
CYQ,2026-02-28T21:50:14.449990,1,Intensity,9,LM_C,DLM_2,LM_C,,1.661083698272705
CYQ,2026-02-28T21:50:22.051087,1,Intensity,10,ULM_L,DLM_2,ULM_L,,2.793402671813965
CYQ,2026-02-28T21:50:33.841983,1,Intensity,11,DLM_3,DLM_2,DLM_3,,4.967649698257446
CYQ,2026-02-28T21:50:43.146487,1,Intensity,12,ULM_L,LM_C,LM_C,,4.561245679855347
CYQ,2026-02-28T21:50:51.522439,1,Intensity,13,LM_C,DLM_3,LM_C,,2.01082181930542
CYQ,2026-02-28T21:51:02.363081,1,Intensity,14,LM_L,ULM_L,LM_L,,5.821064710617065
CYQ,2026-02-28T21:51:10.403314,1,Intensity,15,LM_L,DLM_2,LM_L,,3.144665479660034
CYQ,2026-02-28T21:51:19.794531,1,Intensity,16,DLM_2,ULM_L,ULM_L,,4.133481979370117
CYQ,2026-02-28T21:51:31.841811,1,Intensity,17,DLM_2,LM_C,LM_C,,7.15943169593811
CYQ,2026-02-28T21:51:38.234485,1,Intensity,18,DLM_3,LM_L,DLM_3,,1.6028382778167725
CYQ,2026-02-28T21:51:45.427606,1,Intensity,19,ULM_L,DLM_3,DLM_3,,2.0552735328674316
CYQ,2026-02-28T21:51:53.635025,1,Intensity,20,ULM_L,LM_L,ULM_L,,0.9833505153656006
CYQ,2026-02-28T21:52:54.090436,2,Spatial,1,ULM_L,DLM_2,,ULM_L,6.612256288528442
CYQ,2026-02-28T21:53:00.906078,2,Spatial,2,DLM_3,LM_C,,LM_C,1.2612576484680176
CYQ,2026-02-28T21:53:07.377718,2,Spatial,3,DLM_3,DLM_2,,DLM_3,1.620316505432129
CYQ,2026-02-28T21:53:13.130600,2,Spatial,4,LM_L,DLM_2,,LM_L,1.0646231174468994
CYQ,2026-02-28T21:53:20.146452,2,Spatial,5,DLM_2,LM_L,,DLM_2,2.4039463996887207
CYQ,2026-02-28T21:53:26.761802,2,Spatial,6,DLM_2,DLM_3,,DLM_2,1.5643198490142822
CYQ,2026-02-28T21:53:33.674994,2,Spatial,7,LM_L,DLM_3,,LM_L,2.0629756450653076
CYQ,2026-02-28T21:53:54.754417,2,Spatial,8,ULM_L,DLM_3,,DLM_3,16.027756690979004
CYQ,2026-02-28T21:54:00.474277,2,Spatial,9,ULM_L,LM_C,,ULM_L,0.8347909450531006
CYQ,2026-02-28T21:54:06.066596,2,Spatial,10,LM_L,ULM_L,,ULM_L,0.8333516120910645
CYQ,2026-02-28T21:54:12.681355,2,Spatial,11,LM_C,DLM_2,,LM_C,1.9049432277679443
CYQ,2026-02-28T21:54:28.121576,2,Spatial,12,DLM_3,ULM_L,,ULM_L,2.4106287956237793
CYQ,2026-02-28T21:54:35.209456,2,Spatial,13,ULM_L,LM_L,,LM_L,2.2607219219207764
CYQ,2026-02-28T21:54:40.986514,2,Spatial,14,LM_C,DLM_3,,DLM_3,1.0377397537231445
CYQ,2026-02-28T21:54:53.306440,2,Spatial,15,LM_C,ULM_L,,ULM_L,7.5826287269592285
CYQ,2026-02-28T21:55:01.217715,2,Spatial,16,DLM_2,ULM_L,,DLM_2,1.9996252059936523
CYQ,2026-02-28T21:55:06.618023,2,Spatial,17,DLM_3,LM_L,,LM_L,0.6413111686706543
CYQ,2026-02-28T21:55:11.729719,2,Spatial,18,LM_C,LM_L,,LM_C,0.5059514045715332
CYQ,2026-02-28T21:55:17.762206,2,Spatial,19,LM_L,LM_C,,LM_L,1.3797357082366943
CYQ,2026-02-28T21:55:23.137907,2,Spatial,20,DLM_2,LM_C,,DLM_2,0.7573766708374023
