ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
DY,2026-02-28T13:09:02.388018,1,Spatial,1,ULM_L,DLM_2,,ULM_L,2.4560670852661133
DY,2026-02-28T13:09:12.406227,1,Spatial,2,DLM_3,ULM_L,,ULM_L,2.4131064414978027
DY,2026-02-28T13:09:19.210144,1,Spatial,3,ULM_L,LM_C,,LM_C,1.5366666316986084
DY,2026-02-28T13:09:26.259437,1,Spatial,4,DLM_2,DLM_3,,DLM_2,2.0285239219665527
DY,2026-02-28T13:09:33.537969,1,Spatial,5,DLM_3,DLM_2,,DLM_2,2.0499463081359863
DY,2026-02-28T13:09:42.481709,1,Spatial,6,ULM_L,DLM_3,,DLM_3,1.1884067058563232
DY,2026-02-28T13:09:48.624736,1,Spatial,7,LM_L,ULM_L,,LM_L,1.131521224975586
DY,2026-02-28T13:09:55.384190,1,Spatial,8,LM_C,ULM_L,,LM_C,1.611607313156128
DY,2026-02-28T13:10:02.076902,1,Spatial,9,DLM_3,LM_L,,LM_L,1.8234832286834717
DY,2026-02-28T13:10:07.839959,1,Spatial,10,LM_L,DLM_2,,DLM_2,0.8316018581390381
DY,2026-02-28T13:10:13.645439,1,Spatial,11,DLM_2,LM_C,,LM_C,0.8388090133666992
DY,2026-02-28T13:10:20.541885,1,Spatial,12,LM_L,LM_C,,LM_L,1.7217211723327637
DY,2026-02-28T13:10:26.342741,1,Spatial,13,LM_L,DLM_3,,LM_L,0.8674674034118652
DY,2026-02-28T13:10:32.143199,1,Spatial,14,DLM_2,LM_L,,LM_L,0.6846370697021484
DY,2026-02-28T13:10:38.122637,1,Spatial,15,LM_C,DLM_3,,DLM_3,1.0833158493041992
DY,2026-02-28T13:10:44.477436,1,Spatial,16,LM_C,LM_L,,LM_L,1.478506088256836
DY,2026-02-28T13:10:51.238061,1,Spatial,17,DLM_3,LM_C,,LM_C,1.5269899368286133
DY,2026-02-28T13:10:57.525866,1,Spatial,18,DLM_2,ULM_L,,DLM_2,0.9644076824188232
DY,2026-02-28T13:11:03.764911,1,Spatial,19,LM_C,DLM_2,,LM_C,1.0107676982879639
DY,2026-02-28T13:11:11.283770,1,Spatial,20,ULM_L,LM_L,,LM_L,0.6059374809265137
DY,2026-02-28T13:11:37.210935,2,Intensity,1,DLM_3,LM_L,DLM_3,,0.9031050205230713
DY,2026-02-28T13:11:43.518256,2,Intensity,2,LM_C,DLM_2,LM_C,,1.2313611507415771
DY,2026-02-28T13:11:49.711699,2,Intensity,3,ULM_L,LM_L,ULM_L,,0.8551950454711914
DY,2026-02-28T13:11:55.773554,2,Intensity,4,DLM_2,LM_L,DLM_2,,0.5011212825775146
DY,2026-02-28T13:12:03.822913,2,Intensity,5,DLM_2,DLM_3,DLM_3,,3.263684034347534
DY,2026-02-28T13:12:09.071596,2,Intensity,6,DLM_3,ULM_L,ULM_L,,0.3982229232788086
DY,2026-02-28T13:12:15.199835,2,Intensity,7,DLM_2,ULM_L,DLM_2,,0.8480250835418701
DY,2026-02-28T13:12:21.873484,2,Intensity,8,ULM_L,DLM_2,ULM_L,,1.8402478694915771
DY,2026-02-28T13:12:28.629585,2,Intensity,9,DLM_3,DLM_2,DLM_3,,1.8878161907196045
DY,2026-02-28T13:12:34.787140,2,Intensity,10,LM_C,DLM_3,LM_C,,1.2846944332122803
DY,2026-02-28T13:12:43.232060,2,Intensity,11,LM_L,DLM_3,LM_L,,3.687161684036255
DY,2026-02-28T13:12:49.418802,2,Intensity,12,LM_L,DLM_2,DLM_2,,0.9518811702728271
DY,2026-02-28T13:12:56.642449,2,Intensity,13,LM_L,LM_C,LM_L,,1.8775618076324463
DY,2026-02-28T13:13:03.206595,2,Intensity,14,DLM_2,LM_C,DLM_2,,1.606550693511963
DY,2026-02-28T13:13:09.981881,2,Intensity,15,DLM_3,LM_C,LM_C,,1.8952717781066895
DY,2026-02-28T13:13:16.119763,2,Intensity,16,ULM_L,LM_C,ULM_L,,1.319101333618164
DY,2026-02-28T13:13:21.567075,2,Intensity,17,ULM_L,DLM_3,ULM_L,,0.6481785774230957
DY,2026-02-28T13:13:27.687008,2,Intensity,18,LM_C,ULM_L,LM_C,,1.2118370532989502
DY,2026-02-28T13:13:33.100578,2,Intensity,19,LM_C,LM_L,LM_C,,0.6232438087463379
DY,2026-02-28T13:13:41.730709,2,Intensity,20,LM_L,ULM_L,LM_L,,3.7959392070770264
