ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
DY2,2026-03-08T14:50:23.192996,1,Intensity,1,ULM_L,DLM_2,ULM_L,,1.1051735877990723
DY2,2026-03-08T14:50:29.671308,1,Intensity,2,LM_L,LM_C,LM_C,,1.5280601978302002
DY2,2026-03-08T14:50:36.592418,1,Intensity,3,LM_L,ULM_L,ULM_L,,1.7330284118652344
DY2,2026-03-08T14:50:44.415198,1,Intensity,4,ULM_L,LM_C,ULM_L,,1.0285329818725586
DY2,2026-03-08T14:50:50.119657,1,Intensity,5,LM_C,LM_L,LM_C,,0.7195103168487549
DY2,2026-03-08T14:50:55.632498,1,Intensity,6,DLM_2,DLM_3,DLM_2,,0.6944477558135986
DY2,2026-03-08T14:51:01.359882,1,Intensity,7,DLM_3,LM_L,DLM_3,,0.7892489433288574
DY2,2026-03-08T14:51:07.528190,1,Intensity,8,DLM_3,ULM_L,ULM_L,,0.5730793476104736
DY2,2026-03-08T14:51:13.823710,1,Intensity,9,LM_C,DLM_2,DLM_2,,1.4406826496124268
DY2,2026-03-08T14:51:19.503568,1,Intensity,10,DLM_3,DLM_2,DLM_2,,0.7722394466400146
DY2,2026-03-08T14:51:25.487498,1,Intensity,11,ULM_L,DLM_3,ULM_L,,1.1015393733978271
DY2,2026-03-08T14:51:31.655943,1,Intensity,12,DLM_2,LM_L,DLM_2,,1.0876939296722412
DY2,2026-03-08T14:51:37.208078,1,Intensity,13,LM_C,ULM_L,ULM_L,,0.5524828433990479
DY2,2026-03-08T14:51:42.944088,1,Intensity,14,DLM_2,ULM_L,ULM_L,,0.7550930976867676
DY2,2026-03-08T14:51:49.375166,1,Intensity,15,LM_L,DLM_3,LM_L,,1.6007153987884521
DY2,2026-03-08T14:51:55.735332,1,Intensity,16,LM_L,DLM_2,DLM_2,,1.3656985759735107
DY2,2026-03-08T14:52:01.696604,1,Intensity,17,LM_C,DLM_3,LM_C,,1.1228513717651367
DY2,2026-03-08T14:52:07.343735,1,Intensity,18,ULM_L,LM_L,ULM_L,,0.7430317401885986
DY2,2026-03-08T14:52:12.974803,1,Intensity,19,DLM_2,LM_C,DLM_2,,0.7267305850982666
DY2,2026-03-08T14:52:18.719834,1,Intensity,20,DLM_3,LM_C,LM_C,,0.7584912776947021
DY2,2026-03-08T14:52:36.791330,2,Spatial,1,DLM_2,LM_L,,DLM_2,1.804541826248169
DY2,2026-03-08T14:52:42.287553,2,Spatial,2,ULM_L,LM_L,,ULM_L,0.6881163120269775
DY2,2026-03-08T14:52:48.583746,2,Spatial,3,DLM_2,DLM_3,,DLM_2,1.4446682929992676
DY2,2026-03-08T14:52:54.383182,2,Spatial,4,DLM_3,LM_L,,DLM_3,1.0067040920257568
DY2,2026-03-08T14:52:59.655469,2,Spatial,5,LM_C,DLM_2,,LM_C,0.4335947036743164
DY2,2026-03-08T14:53:05.479114,2,Spatial,6,LM_L,LM_C,,LM_L,1.0080022811889648
DY2,2026-03-08T14:53:10.847186,2,Spatial,7,LM_C,DLM_3,,LM_C,0.5820999145507812
DY2,2026-03-08T14:53:16.615687,2,Spatial,8,LM_L,DLM_3,,LM_L,1.06430983543396
DY2,2026-03-08T14:53:22.055027,2,Spatial,9,LM_L,DLM_2,,DLM_2,0.711899995803833
DY2,2026-03-08T14:53:27.734889,2,Spatial,10,DLM_3,ULM_L,,ULM_L,0.8905184268951416
DY2,2026-03-08T14:53:33.671587,2,Spatial,11,ULM_L,LM_C,,LM_C,0.40508532524108887
DY2,2026-03-08T14:53:38.855823,2,Spatial,12,DLM_3,LM_C,,DLM_3,0.5165305137634277
DY2,2026-03-08T14:53:45.167098,2,Spatial,13,LM_L,ULM_L,,ULM_L,1.5108320713043213
DY2,2026-03-08T14:53:51.247946,2,Spatial,14,ULM_L,DLM_3,,ULM_L,1.0093586444854736
DY2,2026-03-08T14:53:58.870819,2,Spatial,15,ULM_L,DLM_2,,DLM_2,2.878589391708374
DY2,2026-03-08T14:54:04.775239,2,Spatial,16,LM_C,LM_L,,LM_L,1.1837565898895264
DY2,2026-03-08T14:54:10.655014,2,Spatial,17,DLM_2,LM_C,,DLM_2,1.1572237014770508
DY2,2026-03-08T14:54:16.552088,2,Spatial,18,LM_C,ULM_L,,ULM_L,0.9122891426086426
DY2,2026-03-08T14:54:22.647233,2,Spatial,19,DLM_2,ULM_L,,DLM_2,1.299187183380127
DY2,2026-03-08T14:54:29.431118,2,Spatial,20,DLM_3,DLM_2,,DLM_2,1.749760389328003
