ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
FLH,2026-02-28T21:22:20.621887,1,Intensity,1,ULM_L,DLM_2,ULM_L,,3.5499727725982666
FLH,2026-02-28T21:22:58.861183,1,Intensity,2,LM_C,ULM_L,ULM_L,,6.407736301422119
FLH,2026-02-28T21:23:04.573269,1,Intensity,3,LM_L,DLM_2,LM_L,,0.8374893665313721
FLH,2026-02-28T21:23:10.036850,1,Intensity,4,DLM_3,DLM_2,DLM_3,,0.7582583427429199
FLH,2026-02-28T21:23:15.380858,1,Intensity,5,LM_C,LM_L,LM_C,,0.5844235420227051
FLH,2026-02-28T21:23:20.828327,1,Intensity,6,ULM_L,LM_C,ULM_L,,0.7990195751190186
FLH,2026-02-28T21:23:26.452566,1,Intensity,7,DLM_3,ULM_L,ULM_L,,0.8468997478485107
FLH,2026-02-28T21:23:33.069220,1,Intensity,8,ULM_L,DLM_3,DLM_3,,1.9713549613952637
FLH,2026-02-28T21:23:39.285235,1,Intensity,9,DLM_2,ULM_L,DLM_2,,1.4220221042633057
FLH,2026-02-28T21:23:46.012800,1,Intensity,10,DLM_2,LM_C,DLM_2,,0.7645914554595947
FLH,2026-02-28T21:23:52.653502,1,Intensity,11,LM_L,DLM_3,DLM_3,,2.028669834136963
FLH,2026-02-28T21:23:58.877337,1,Intensity,12,ULM_L,LM_L,LM_L,,1.449214220046997
FLH,2026-02-28T21:24:05.061592,1,Intensity,13,DLM_2,LM_L,DLM_2,,1.5095081329345703
FLH,2026-02-28T21:24:11.620581,1,Intensity,14,LM_L,LM_C,LM_L,,1.209381103515625
FLH,2026-02-28T21:24:18.108716,1,Intensity,15,DLM_3,LM_L,DLM_3,,1.1187429428100586
FLH,2026-02-28T21:24:31.508462,1,Intensity,16,LM_C,DLM_3,DLM_3,,1.2659924030303955
FLH,2026-02-28T21:24:40.756745,1,Intensity,17,DLM_3,LM_C,DLM_3,,0.8634581565856934
FLH,2026-02-28T21:24:46.701031,1,Intensity,18,LM_C,DLM_2,DLM_2,,1.3166451454162598
FLH,2026-02-28T21:24:53.316703,1,Intensity,19,DLM_2,DLM_3,DLM_2,,0.7829129695892334
FLH,2026-02-28T21:24:59.828527,1,Intensity,20,LM_L,ULM_L,ULM_L,,0.8385443687438965
FLH,2026-02-28T21:25:09.588879,2,Spatial,1,LM_L,ULM_L,,ULM_L,0.7829258441925049
FLH,2026-02-28T21:25:14.949017,2,Spatial,2,LM_L,DLM_3,,DLM_3,0.663501501083374
FLH,2026-02-28T21:25:20.300410,2,Spatial,3,DLM_3,LM_C,,DLM_3,0.731884241104126
FLH,2026-02-28T21:25:26.125142,2,Spatial,4,DLM_2,DLM_3,,DLM_3,1.2093141078948975
FLH,2026-02-28T21:25:35.637343,2,Spatial,5,LM_C,DLM_3,,LM_C,1.4634511470794678
FLH,2026-02-28T21:25:42.036485,2,Spatial,6,LM_L,DLM_2,,DLM_2,1.6202552318572998
FLH,2026-02-28T21:25:47.444733,2,Spatial,7,DLM_2,LM_L,,DLM_2,0.7570140361785889
FLH,2026-02-28T21:25:53.084846,2,Spatial,8,ULM_L,LM_C,,ULM_L,0.8861479759216309
FLH,2026-02-28T21:25:59.412809,2,Spatial,9,ULM_L,DLM_2,,DLM_2,1.442049503326416
FLH,2026-02-28T21:26:06.660296,2,Spatial,10,DLM_3,DLM_2,,DLM_2,1.1278574466705322
FLH,2026-02-28T21:26:15.596682,2,Spatial,11,DLM_2,ULM_L,,DLM_2,1.8834519386291504
FLH,2026-02-28T21:26:28.405475,2,Spatial,12,LM_C,ULM_L,,ULM_L,8.225239753723145
FLH,2026-02-28T21:26:35.620852,2,Spatial,13,ULM_L,DLM_3,,DLM_3,1.1434566974639893
FLH,2026-02-28T21:26:42.909694,2,Spatial,14,DLM_3,ULM_L,,ULM_L,1.9126925468444824
FLH,2026-02-28T21:26:49.692409,2,Spatial,15,LM_C,DLM_2,,LM_C,0.8426213264465332
FLH,2026-02-28T21:26:55.412791,2,Spatial,16,DLM_2,LM_C,,DLM_2,0.7448358535766602
FLH,2026-02-28T21:27:01.676966,2,Spatial,17,LM_C,LM_L,,LM_C,1.3173153400421143
FLH,2026-02-28T21:27:09.668771,2,Spatial,18,ULM_L,LM_L,,ULM_L,0.9105286598205566
FLH,2026-02-28T21:27:15.908520,2,Spatial,19,LM_L,LM_C,,LM_C,0.7826919555664062
FLH,2026-02-28T21:27:25.381126,2,Spatial,20,DLM_3,LM_L,,LM_L,3.957183599472046
