ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
FY,2026-03-02T15:36:26.665063,1,Intensity,1,LM_L,LM_C,LM_C,,2.17307710647583
FY,2026-03-02T15:36:35.601081,1,Intensity,2,LM_C,ULM_L,ULM_L,,1.2250783443450928
FY,2026-03-02T15:36:43.273004,1,Intensity,3,LM_C,DLM_2,LM_C,,1.6433334350585938
FY,2026-03-02T15:36:49.472990,1,Intensity,4,ULM_L,LM_C,ULM_L,,0.6339333057403564
FY,2026-03-02T15:36:56.833328,1,Intensity,5,DLM_3,DLM_2,DLM_3,,1.7164504528045654
FY,2026-03-02T15:37:03.480376,1,Intensity,6,ULM_L,LM_L,ULM_L,,0.5964007377624512
FY,2026-03-02T15:37:08.808471,1,Intensity,7,ULM_L,DLM_2,ULM_L,,0.4005105495452881
FY,2026-03-02T15:37:14.353064,1,Intensity,8,LM_L,DLM_2,DLM_2,,0.518073320388794
FY,2026-03-02T15:37:20.394111,1,Intensity,9,DLM_2,LM_L,DLM_2,,1.2201595306396484
FY,2026-03-02T15:37:27.040559,1,Intensity,10,DLM_2,DLM_3,DLM_2,,1.3715691566467285
FY,2026-03-02T15:37:33.344911,1,Intensity,11,LM_C,LM_L,LM_L,,1.437032699584961
FY,2026-03-02T15:37:39.192451,1,Intensity,12,DLM_3,ULM_L,ULM_L,,0.9041473865509033
FY,2026-03-02T15:37:44.496800,1,Intensity,13,LM_L,DLM_3,DLM_3,,0.4664180278778076
FY,2026-03-02T15:37:50.065850,1,Intensity,14,LM_C,DLM_3,LM_C,,0.5813615322113037
FY,2026-03-02T15:37:55.841292,1,Intensity,15,DLM_2,LM_C,LM_C,,0.904430627822876
FY,2026-03-02T15:38:01.602134,1,Intensity,16,DLM_2,ULM_L,ULM_L,,0.9222471714019775
FY,2026-03-02T15:38:07.465455,1,Intensity,17,ULM_L,DLM_3,ULM_L,,1.0306940078735352
FY,2026-03-02T15:38:12.617546,1,Intensity,18,DLM_3,LM_C,LM_C,,0.4764225482940674
FY,2026-03-02T15:38:18.497060,1,Intensity,19,DLM_3,LM_L,DLM_3,,0.9010961055755615
FY,2026-03-02T15:38:24.224831,1,Intensity,20,LM_L,ULM_L,ULM_L,,0.8234546184539795
FY,2026-03-02T15:38:35.992314,2,Spatial,1,DLM_2,DLM_3,,DLM_2,0.6313672065734863
FY,2026-03-02T15:38:44.312700,2,Spatial,2,DLM_3,LM_C,,DLM_3,0.7341384887695312
FY,2026-03-02T15:38:50.241056,2,Spatial,3,ULM_L,DLM_2,,ULM_L,0.6176397800445557
FY,2026-03-02T15:38:55.968426,2,Spatial,4,DLM_2,LM_L,,DLM_2,0.9164519309997559
FY,2026-03-02T15:39:01.168540,2,Spatial,5,LM_L,ULM_L,,ULM_L,0.507667064666748
FY,2026-03-02T15:39:06.697071,2,Spatial,6,ULM_L,DLM_3,,ULM_L,0.7996411323547363
FY,2026-03-02T15:39:12.376662,2,Spatial,7,DLM_3,DLM_2,,DLM_2,0.9894309043884277
FY,2026-03-02T15:39:17.944877,2,Spatial,8,LM_L,DLM_3,,DLM_3,0.6717996597290039
FY,2026-03-02T15:39:23.273720,2,Spatial,9,DLM_2,LM_C,,DLM_2,0.3565366268157959
FY,2026-03-02T15:39:29.144510,2,Spatial,10,LM_C,DLM_3,,LM_C,1.01521635055542
FY,2026-03-02T15:39:34.928476,2,Spatial,11,DLM_3,ULM_L,,ULM_L,1.1668004989624023
FY,2026-03-02T15:39:41.737605,2,Spatial,12,DLM_3,LM_L,,DLM_3,2.1012632846832275
FY,2026-03-02T15:39:48.912623,2,Spatial,13,LM_L,DLM_2,,LM_L,2.4488065242767334
FY,2026-03-02T15:39:54.225204,2,Spatial,14,DLM_2,ULM_L,,ULM_L,0.49581336975097656
FY,2026-03-02T15:39:59.441611,2,Spatial,15,ULM_L,LM_C,,LM_C,0.5863058567047119
FY,2026-03-02T15:40:04.816130,2,Spatial,16,LM_C,LM_L,,LM_C,0.47223925590515137
FY,2026-03-02T15:40:10.120820,2,Spatial,17,LM_C,ULM_L,,ULM_L,0.5809164047241211
FY,2026-03-02T15:40:15.529017,2,Spatial,18,ULM_L,LM_L,,ULM_L,0.6653909683227539
FY,2026-03-02T15:40:20.784670,2,Spatial,19,LM_L,LM_C,,LM_C,0.582876443862915
FY,2026-03-02T15:40:26.400586,2,Spatial,20,LM_C,DLM_2,,LM_C,0.47502565383911133
