ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
GJH,2026-03-02T14:12:00.340971,1,Intensity,1,DLM_3,LM_L,DLM_3,,4.146238088607788
GJH,2026-03-02T14:12:13.436832,1,Intensity,2,LM_C,DLM_3,LM_C,,4.779192686080933
GJH,2026-03-02T14:12:27.819297,1,Intensity,3,ULM_L,LM_C,ULM_L,,5.6587724685668945
GJH,2026-03-02T14:12:37.468754,1,Intensity,4,DLM_2,ULM_L,ULM_L,,4.154800891876221
GJH,2026-03-02T14:12:45.732126,1,Intensity,5,LM_L,DLM_2,DLM_2,,2.905663013458252
GJH,2026-03-02T14:12:56.804013,1,Intensity,6,DLM_3,LM_C,DLM_3,,6.162309646606445
GJH,2026-03-02T14:13:03.908098,1,Intensity,7,LM_C,ULM_L,ULM_L,,1.8520457744598389
GJH,2026-03-02T14:13:13.908028,1,Intensity,8,LM_C,DLM_2,DLM_2,,5.176151752471924
GJH,2026-03-02T14:13:21.444212,1,Intensity,9,ULM_L,LM_L,ULM_L,,1.7522168159484863
GJH,2026-03-02T14:13:28.980103,1,Intensity,10,DLM_2,DLM_3,DLM_3,,2.508028030395508
GJH,2026-03-02T14:13:36.516119,1,Intensity,11,LM_C,LM_L,LM_C,,2.6512908935546875
GJH,2026-03-02T14:13:44.035625,1,Intensity,12,DLM_2,LM_C,DLM_2,,2.0795693397521973
GJH,2026-03-02T14:13:55.195884,1,Intensity,13,DLM_3,ULM_L,DLM_3,,5.833600997924805
GJH,2026-03-02T14:14:01.627541,1,Intensity,14,DLM_2,LM_L,DLM_2,,1.253986120223999
GJH,2026-03-02T14:14:08.843732,1,Intensity,15,LM_L,ULM_L,ULM_L,,2.411327362060547
GJH,2026-03-02T14:14:22.988378,1,Intensity,16,DLM_3,DLM_2,DLM_2,,8.834130764007568
GJH,2026-03-02T14:14:33.195959,1,Intensity,17,LM_L,LM_C,LM_C,,5.138799428939819
GJH,2026-03-02T14:14:41.244310,1,Intensity,18,ULM_L,DLM_2,ULM_L,,2.2931315898895264
GJH,2026-03-02T14:14:48.636640,1,Intensity,19,LM_L,DLM_3,DLM_3,,2.2070658206939697
GJH,2026-03-02T14:14:56.323807,1,Intensity,20,ULM_L,DLM_3,ULM_L,,2.1934282779693604
GJH,2026-03-02T14:15:14.139770,2,Spatial,1,LM_C,ULM_L,,ULM_L,6.158456087112427
GJH,2026-03-02T14:15:20.964151,2,Spatial,2,ULM_L,LM_L,,ULM_L,1.8558955192565918
GJH,2026-03-02T14:15:29.228194,2,Spatial,3,DLM_2,LM_L,,DLM_2,3.207214832305908
GJH,2026-03-02T14:15:42.675928,2,Spatial,4,DLM_3,LM_L,,LM_L,1.488358497619629
GJH,2026-03-02T14:15:54.276641,2,Spatial,5,DLM_3,LM_C,,LM_C,5.912574529647827
GJH,2026-03-02T14:16:03.676087,2,Spatial,6,LM_L,DLM_3,,LM_L,4.097940444946289
GJH,2026-03-02T14:16:11.988145,2,Spatial,7,LM_C,DLM_3,,DLM_3,2.9105491638183594
GJH,2026-03-02T14:16:23.203078,2,Spatial,8,DLM_3,DLM_2,,DLM_3,6.261359691619873
GJH,2026-03-02T14:16:37.396204,2,Spatial,9,LM_L,ULM_L,,ULM_L,8.72387170791626
GJH,2026-03-02T14:16:45.356147,2,Spatial,10,ULM_L,DLM_3,,DLM_3,1.6622729301452637
GJH,2026-03-02T14:16:53.004373,2,Spatial,11,LM_C,LM_L,,LM_L,2.36694073677063
GJH,2026-03-02T14:17:03.507960,2,Spatial,12,LM_C,DLM_2,,DLM_2,5.03733491897583
GJH,2026-03-02T14:17:12.939932,2,Spatial,13,LM_L,LM_C,,LM_L,4.443453073501587
GJH,2026-03-02T14:17:25.268226,2,Spatial,14,LM_L,DLM_2,,DLM_2,7.498420238494873
GJH,2026-03-02T14:17:32.379430,2,Spatial,15,DLM_2,ULM_L,,ULM_L,1.6495552062988281
GJH,2026-03-02T14:17:39.372596,2,Spatial,16,ULM_L,DLM_2,,DLM_2,1.6286389827728271
GJH,2026-03-02T14:17:54.068877,2,Spatial,17,DLM_2,LM_C,,DLM_2,9.246420860290527
GJH,2026-03-02T14:18:00.683658,2,Spatial,18,DLM_2,DLM_3,,DLM_3,1.6316375732421875
GJH,2026-03-02T14:18:07.204753,2,Spatial,19,ULM_L,LM_C,,LM_C,1.417102336883545
GJH,2026-03-02T14:18:14.284364,2,Spatial,20,DLM_3,ULM_L,,DLM_3,1.9740774631500244
