ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
GYZ,2026-03-02T15:13:24.163349,1,Spatial,1,LM_C,DLM_3,,LM_C,6.159409761428833
GYZ,2026-03-02T15:13:34.586875,1,Spatial,2,DLM_2,ULM_L,,ULM_L,3.005431890487671
GYZ,2026-03-02T15:13:42.857831,1,Spatial,3,LM_C,DLM_2,,LM_C,2.311908721923828
GYZ,2026-03-02T15:13:50.641514,1,Spatial,4,DLM_3,ULM_L,,ULM_L,2.346773147583008
GYZ,2026-03-02T15:13:59.842507,1,Spatial,5,ULM_L,LM_C,,LM_C,4.115204095840454
GYZ,2026-03-02T15:14:07.722916,1,Spatial,6,DLM_3,LM_C,,DLM_3,2.6718740463256836
GYZ,2026-03-02T15:14:15.561370,1,Spatial,7,DLM_3,LM_L,,DLM_3,2.191070556640625
GYZ,2026-03-02T15:14:23.906273,1,Spatial,8,LM_L,ULM_L,,ULM_L,2.4622724056243896
GYZ,2026-03-02T15:14:32.417827,1,Spatial,9,ULM_L,DLM_3,,ULM_L,2.465444564819336
GYZ,2026-03-02T15:14:40.897643,1,Spatial,10,LM_C,ULM_L,,LM_C,2.6054129600524902
GYZ,2026-03-02T15:14:49.962020,1,Spatial,11,DLM_2,DLM_3,,DLM_2,2.5944366455078125
GYZ,2026-03-02T15:14:58.225856,1,Spatial,12,ULM_L,DLM_2,,ULM_L,1.9147262573242188
GYZ,2026-03-02T15:15:06.257459,1,Spatial,13,ULM_L,LM_L,,ULM_L,1.435213327407837
GYZ,2026-03-02T15:15:18.449477,1,Spatial,14,LM_L,LM_C,,LM_L,2.5317940711975098
GYZ,2026-03-02T15:15:27.146510,1,Spatial,15,DLM_3,DLM_2,,DLM_2,1.3815646171569824
GYZ,2026-03-02T15:15:33.393366,1,Spatial,16,DLM_2,LM_C,,DLM_2,0.9436700344085693
GYZ,2026-03-02T15:15:40.529933,1,Spatial,17,LM_L,DLM_3,,DLM_3,1.0902860164642334
GYZ,2026-03-02T15:15:48.937123,1,Spatial,18,DLM_2,LM_L,,DLM_2,1.1390178203582764
GYZ,2026-03-02T15:15:58.601574,1,Spatial,19,LM_L,DLM_2,,LM_L,3.5032896995544434
GYZ,2026-03-02T15:16:06.289825,1,Spatial,20,LM_C,LM_L,,LM_C,1.5599822998046875
GYZ,2026-03-02T15:16:19.401194,2,Intensity,1,DLM_2,ULM_L,ULM_L,,1.2637228965759277
GYZ,2026-03-02T15:16:27.497721,2,Intensity,2,LM_L,LM_C,LM_L,,1.7008051872253418
GYZ,2026-03-02T15:16:36.681630,2,Intensity,3,DLM_2,LM_C,DLM_2,,2.3459267616271973
GYZ,2026-03-02T15:16:47.217677,2,Intensity,4,ULM_L,LM_L,ULM_L,,0.9822192192077637
GYZ,2026-03-02T15:16:55.042220,2,Intensity,5,LM_L,ULM_L,ULM_L,,1.461012363433838
GYZ,2026-03-02T15:17:03.665740,2,Intensity,6,LM_L,DLM_2,DLM_2,,2.224726915359497
GYZ,2026-03-02T15:17:11.665791,2,Intensity,7,LM_L,DLM_3,LM_L,,0.9720373153686523
GYZ,2026-03-02T15:17:19.370115,2,Intensity,8,ULM_L,DLM_2,DLM_2,,1.4486699104309082
GYZ,2026-03-02T15:17:27.233133,2,Intensity,9,ULM_L,LM_C,LM_C,,1.4317119121551514
GYZ,2026-03-02T15:17:36.217617,2,Intensity,10,LM_C,DLM_3,DLM_3,,0.9039723873138428
GYZ,2026-03-02T15:17:44.513179,2,Intensity,11,DLM_3,DLM_2,DLM_3,,2.0443665981292725
GYZ,2026-03-02T15:17:52.369450,2,Intensity,12,DLM_3,ULM_L,ULM_L,,2.0013070106506348
GYZ,2026-03-02T15:18:00.090053,2,Intensity,13,LM_C,DLM_2,DLM_2,,1.4988956451416016
GYZ,2026-03-02T15:18:07.977638,2,Intensity,14,DLM_2,LM_L,DLM_2,,0.904000997543335
GYZ,2026-03-02T15:18:15.170130,2,Intensity,15,DLM_3,LM_L,DLM_3,,1.0550804138183594
GYZ,2026-03-02T15:18:21.601740,2,Intensity,16,ULM_L,DLM_3,ULM_L,,1.0246222019195557
GYZ,2026-03-02T15:18:29.889550,2,Intensity,17,DLM_2,DLM_3,DLM_3,,1.4787678718566895
GYZ,2026-03-02T15:18:39.066361,2,Intensity,18,LM_C,ULM_L,ULM_L,,0.9711613655090332
GYZ,2026-03-02T15:18:47.026573,2,Intensity,19,LM_C,LM_L,LM_L,,1.4250714778900146
GYZ,2026-03-02T15:18:55.217893,2,Intensity,20,DLM_3,LM_C,DLM_3,,1.0438430309295654
