ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
HH,2026-02-28T15:25:58.108991,1,Intensity,1,DLM_3,LM_C,DLM_3,,7.778167963027954
HH,2026-02-28T15:26:09.908654,1,Intensity,2,LM_L,DLM_3,LM_L,,5.5596160888671875
HH,2026-02-28T15:26:18.508974,1,Intensity,3,DLM_2,LM_L,DLM_2,,3.2894909381866455
HH,2026-02-28T15:26:36.133589,1,Intensity,4,ULM_L,DLM_3,ULM_L,,5.795286417007446
HH,2026-02-28T15:26:51.950072,1,Intensity,5,DLM_2,ULM_L,DLM_2,,5.403611660003662
HH,2026-02-28T15:28:51.284160,1,Intensity,6,ULM_L,DLM_2,DLM_2,,111.91691160202026
HH,2026-02-28T15:28:59.168576,1,Intensity,7,DLM_3,ULM_L,DLM_3,,2.3416004180908203
HH,2026-02-28T15:29:07.922270,1,Intensity,8,DLM_2,DLM_3,DLM_2,,3.473565101623535
HH,2026-02-28T15:29:14.241906,1,Intensity,9,LM_C,DLM_2,LM_C,,0.8167729377746582
HH,2026-02-28T15:29:20.455300,1,Intensity,10,LM_C,LM_L,LM_C,,0.6177034378051758
HH,2026-02-28T15:29:26.811520,1,Intensity,11,DLM_3,LM_L,DLM_3,,1.4760947227478027
HH,2026-02-28T15:29:32.778399,1,Intensity,12,LM_L,DLM_2,LM_L,,1.081671953201294
HH,2026-02-28T15:29:38.656139,1,Intensity,13,LM_L,LM_C,LM_C,,0.9635562896728516
HH,2026-02-28T15:29:46.913482,1,Intensity,14,LM_C,ULM_L,ULM_L,,3.098773956298828
HH,2026-02-28T15:29:54.125730,1,Intensity,15,ULM_L,LM_L,ULM_L,,2.1379916667938232
HH,2026-02-28T15:30:04.064146,1,Intensity,16,LM_C,DLM_3,LM_C,,0.7315921783447266
HH,2026-02-28T15:30:14.469733,1,Intensity,17,DLM_2,LM_C,LM_C,,5.347257375717163
HH,2026-02-28T15:30:21.125719,1,Intensity,18,DLM_3,DLM_2,DLM_3,,1.664337158203125
HH,2026-02-28T15:30:28.608164,1,Intensity,19,ULM_L,LM_C,ULM_L,,2.491633176803589
HH,2026-02-28T15:30:37.904480,1,Intensity,20,LM_L,ULM_L,LM_L,,2.277310848236084
HH,2026-02-28T15:30:57.169553,2,Spatial,1,LM_C,DLM_2,,LM_C,1.0275473594665527
HH,2026-02-28T15:31:03.695893,2,Spatial,2,ULM_L,LM_L,,ULM_L,1.5397257804870605
HH,2026-02-28T15:31:09.943576,2,Spatial,3,LM_C,LM_L,,LM_C,1.3652536869049072
HH,2026-02-28T15:31:18.142292,2,Spatial,4,LM_C,ULM_L,,ULM_L,0.8153865337371826
HH,2026-02-28T15:31:23.991748,2,Spatial,5,DLM_3,LM_L,,DLM_3,1.0698809623718262
HH,2026-02-28T15:31:30.065532,2,Spatial,6,DLM_3,DLM_2,,DLM_3,1.2903409004211426
HH,2026-02-28T15:31:36.495623,2,Spatial,7,ULM_L,DLM_3,,ULM_L,1.0082507133483887
HH,2026-02-28T15:31:42.448321,2,Spatial,8,LM_L,DLM_3,,DLM_3,1.1392714977264404
HH,2026-02-28T15:31:48.269378,2,Spatial,9,ULM_L,DLM_2,,ULM_L,0.9199230670928955
HH,2026-02-28T15:31:55.007773,2,Spatial,10,DLM_2,LM_L,,DLM_2,1.7988903522491455
HH,2026-02-28T15:32:00.949556,2,Spatial,11,LM_L,LM_C,,LM_L,1.1838350296020508
HH,2026-02-28T15:32:06.862994,2,Spatial,12,DLM_2,ULM_L,,ULM_L,1.0027244091033936
HH,2026-02-28T15:32:14.120196,2,Spatial,13,DLM_3,LM_C,,DLM_3,1.9708871841430664
HH,2026-02-28T15:32:21.159115,2,Spatial,14,LM_C,DLM_3,,LM_C,1.9057769775390625
HH,2026-02-28T15:32:27.061417,2,Spatial,15,ULM_L,LM_C,,ULM_L,1.020578145980835
HH,2026-02-28T15:32:33.799599,2,Spatial,16,LM_L,DLM_2,,DLM_2,1.6118569374084473
HH,2026-02-28T15:32:39.861549,2,Spatial,17,DLM_3,ULM_L,,ULM_L,1.2731995582580566
HH,2026-02-28T15:32:45.666130,2,Spatial,18,LM_L,ULM_L,,ULM_L,0.8672800064086914
HH,2026-02-28T15:32:51.525847,2,Spatial,19,DLM_2,LM_C,,DLM_2,0.9813029766082764
HH,2026-02-28T15:32:59.141040,2,Spatial,20,DLM_2,DLM_3,,DLM_2,2.6857306957244873
