ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
HWC,2026-02-28T21:41:25.147914,1,Intensity,1,LM_C,LM_L,LM_C,,2.13921856880188
HWC,2026-02-28T21:41:36.803952,1,Intensity,2,DLM_2,DLM_3,DLM_2,,6.4739673137664795
HWC,2026-02-28T21:41:43.891290,1,Intensity,3,LM_C,DLM_2,DLM_2,,0.8947105407714844
HWC,2026-02-28T21:41:49.571455,1,Intensity,4,LM_L,DLM_2,DLM_2,,0.6425313949584961
HWC,2026-02-28T21:41:57.006500,1,Intensity,5,LM_C,DLM_3,LM_C,,2.323857307434082
HWC,2026-02-28T21:42:03.938746,1,Intensity,6,ULM_L,DLM_3,DLM_3,,1.3270494937896729
HWC,2026-02-28T21:42:09.882367,1,Intensity,7,LM_L,ULM_L,ULM_L,,0.7630479335784912
HWC,2026-02-28T21:42:15.338602,1,Intensity,8,DLM_2,ULM_L,DLM_2,,0.39334964752197266
HWC,2026-02-28T21:42:20.780093,1,Intensity,9,LM_C,ULM_L,LM_C,,0.6579513549804688
HWC,2026-02-28T21:42:26.916074,1,Intensity,10,DLM_3,LM_L,DLM_3,,0.6160039901733398
HWC,2026-02-28T21:42:32.523886,1,Intensity,11,LM_L,DLM_3,DLM_3,,0.8210022449493408
HWC,2026-02-28T21:42:38.354704,1,Intensity,12,ULM_L,LM_C,LM_C,,1.1437833309173584
HWC,2026-02-28T21:42:44.306998,1,Intensity,13,DLM_3,LM_C,LM_C,,1.1740148067474365
HWC,2026-02-28T21:42:49.587280,1,Intensity,14,ULM_L,DLM_2,DLM_2,,0.5217869281768799
HWC,2026-02-28T21:42:55.171065,1,Intensity,15,DLM_3,DLM_2,DLM_2,,0.8520503044128418
HWC,2026-02-28T21:43:02.635618,1,Intensity,16,DLM_2,LM_C,DLM_2,,2.73820161819458
HWC,2026-02-28T21:43:08.578833,1,Intensity,17,LM_L,LM_C,LM_C,,0.5990688800811768
HWC,2026-02-28T21:43:14.170979,1,Intensity,18,ULM_L,LM_L,LM_L,,0.8381643295288086
HWC,2026-02-28T21:43:20.363869,1,Intensity,19,DLM_2,LM_L,DLM_2,,1.4492182731628418
HWC,2026-02-28T21:43:25.987231,1,Intensity,20,DLM_3,ULM_L,DLM_3,,0.844489574432373
HWC,2026-02-28T21:43:48.066806,2,Spatial,1,LM_C,DLM_3,,DLM_3,2.763570785522461
HWC,2026-02-28T21:43:54.306734,2,Spatial,2,ULM_L,DLM_2,,ULM_L,0.987356424331665
HWC,2026-02-28T21:43:59.515115,2,Spatial,3,LM_C,DLM_2,,DLM_2,0.47582340240478516
HWC,2026-02-28T21:44:04.690867,2,Spatial,4,ULM_L,LM_L,,ULM_L,0.47496700286865234
HWC,2026-02-28T21:44:09.899558,2,Spatial,5,DLM_2,LM_L,,DLM_2,0.534874439239502
HWC,2026-02-28T21:44:15.066520,2,Spatial,6,LM_C,ULM_L,,ULM_L,0.5384516716003418
HWC,2026-02-28T21:44:21.098734,2,Spatial,7,ULM_L,DLM_3,,ULM_L,1.3191626071929932
HWC,2026-02-28T21:44:27.450772,2,Spatial,8,DLM_2,ULM_L,,DLM_2,1.3935637474060059
HWC,2026-02-28T21:44:32.698853,2,Spatial,9,DLM_3,ULM_L,,ULM_L,0.3800828456878662
HWC,2026-02-28T21:44:37.923354,2,Spatial,10,ULM_L,LM_C,,ULM_L,0.6116046905517578
HWC,2026-02-28T21:44:44.475083,2,Spatial,11,LM_C,LM_L,,LM_C,1.895031452178955
HWC,2026-02-28T21:44:51.131666,2,Spatial,12,LM_L,LM_C,,LM_C,1.7194993495941162
HWC,2026-02-28T21:44:56.514919,2,Spatial,13,LM_L,DLM_3,,DLM_3,0.6303045749664307
HWC,2026-02-28T21:45:03.451439,2,Spatial,14,LM_L,ULM_L,,LM_L,2.2443137168884277
HWC,2026-02-28T21:45:09.234780,2,Spatial,15,DLM_3,LM_L,,DLM_3,0.9598689079284668
HWC,2026-02-28T21:45:14.562650,2,Spatial,16,LM_L,DLM_2,,DLM_2,0.7497193813323975
HWC,2026-02-28T21:45:20.266492,2,Spatial,17,DLM_2,LM_C,,DLM_2,0.9496347904205322
HWC,2026-02-28T21:45:25.586796,2,Spatial,18,DLM_3,LM_C,,LM_C,0.670013427734375
HWC,2026-02-28T21:45:31.162670,2,Spatial,19,DLM_3,DLM_2,,DLM_3,0.6646668910980225
HWC,2026-02-28T21:45:37.491412,2,Spatial,20,DLM_2,DLM_3,,DLM_2,1.7505838871002197
