ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
LN,2026-02-28T13:02:27.086274,1,Spatial,1,DLM_2,LM_L,,LM_L,38.605013370513916
LN,2026-02-28T13:02:35.683709,1,Spatial,2,DLM_2,ULM_L,,ULM_L,1.5917069911956787
LN,2026-02-28T13:02:43.092669,1,Spatial,3,LM_L,DLM_3,,DLM_3,2.2575690746307373
LN,2026-02-28T13:02:49.268403,1,Spatial,4,DLM_2,DLM_3,,DLM_3,1.2427849769592285
LN,2026-02-28T13:02:55.119442,1,Spatial,5,DLM_3,LM_C,,LM_C,1.0169055461883545
LN,2026-02-28T13:03:01.593776,1,Spatial,6,LM_C,DLM_3,,DLM_3,1.337782859802246
LN,2026-02-28T13:03:07.133245,1,Spatial,7,ULM_L,DLM_3,,DLM_3,0.705394983291626
LN,2026-02-28T13:03:13.510321,1,Spatial,8,ULM_L,LM_L,,LM_L,1.0905075073242188
LN,2026-02-28T13:03:19.194712,1,Spatial,9,ULM_L,DLM_2,,DLM_2,0.7228097915649414
LN,2026-02-28T13:03:24.919371,1,Spatial,10,DLM_3,LM_L,,LM_L,0.7748956680297852
LN,2026-02-28T13:03:30.467695,1,Spatial,11,LM_C,ULM_L,,ULM_L,0.6634495258331299
LN,2026-02-28T13:03:35.922703,1,Spatial,12,DLM_3,DLM_2,,DLM_3,0.6653556823730469
LN,2026-02-28T13:03:41.462036,1,Spatial,13,LM_C,DLM_2,,DLM_2,0.7177774906158447
LN,2026-02-28T13:03:48.132082,1,Spatial,14,LM_L,LM_C,,LM_L,0.6848046779632568
LN,2026-02-28T13:03:53.504891,1,Spatial,15,LM_L,DLM_2,,LM_L,0.680628776550293
LN,2026-02-28T13:03:58.967801,1,Spatial,16,DLM_3,ULM_L,,DLM_3,0.7650485038757324
LN,2026-02-28T13:04:04.504182,1,Spatial,17,LM_C,LM_L,,LM_L,0.7672808170318604
LN,2026-02-28T13:04:10.645181,1,Spatial,18,LM_L,ULM_L,,LM_L,1.4634933471679688
LN,2026-02-28T13:04:17.074448,1,Spatial,19,DLM_2,LM_C,,LM_C,0.7551934719085693
LN,2026-02-28T13:04:24.255484,1,Spatial,20,ULM_L,LM_C,,LM_C,0.7991385459899902
LN,2026-02-28T13:04:45.272848,2,Intensity,1,LM_L,DLM_3,LM_L,,1.3516058921813965
LN,2026-02-28T13:04:50.636744,2,Intensity,2,ULM_L,DLM_3,ULM_L,,0.6130123138427734
LN,2026-02-28T13:04:56.344644,2,Intensity,3,DLM_2,DLM_3,DLM_2,,0.9536468982696533
LN,2026-02-28T13:05:01.747539,2,Intensity,4,LM_C,DLM_2,DLM_2,,0.6731603145599365
LN,2026-02-28T13:05:07.523025,2,Intensity,5,DLM_3,ULM_L,ULM_L,,1.1059417724609375
LN,2026-02-28T13:05:12.691239,2,Intensity,6,DLM_2,LM_C,DLM_2,,0.4686150550842285
LN,2026-02-28T13:05:18.464585,2,Intensity,7,LM_L,DLM_2,LM_L,,1.1620140075683594
LN,2026-02-28T13:05:23.789053,2,Intensity,8,DLM_2,LM_L,DLM_2,,0.6540117263793945
LN,2026-02-28T13:05:28.930561,2,Intensity,9,ULM_L,LM_C,ULM_L,,0.4959239959716797
LN,2026-02-28T13:05:34.430937,2,Intensity,10,LM_C,LM_L,LM_C,,0.723407506942749
LN,2026-02-28T13:05:39.736654,2,Intensity,11,LM_C,DLM_3,LM_C,,0.6358578205108643
LN,2026-02-28T13:05:44.806791,2,Intensity,12,ULM_L,DLM_2,ULM_L,,0.4903240203857422
LN,2026-02-28T13:05:50.259526,2,Intensity,13,ULM_L,LM_L,ULM_L,,0.7968707084655762
LN,2026-02-28T13:05:55.886936,2,Intensity,14,LM_C,ULM_L,ULM_L,,0.9829723834991455
LN,2026-02-28T13:06:01.261776,2,Intensity,15,LM_L,LM_C,LM_L,,0.7393200397491455
LN,2026-02-28T13:06:06.627351,2,Intensity,16,DLM_3,LM_C,LM_C,,0.7875216007232666
LN,2026-02-28T13:06:12.076117,2,Intensity,17,DLM_3,LM_L,DLM_3,,0.8352863788604736
LN,2026-02-28T13:06:17.521044,2,Intensity,18,LM_L,ULM_L,ULM_L,,0.8038616180419922
LN,2026-02-28T13:06:23.473326,2,Intensity,19,DLM_2,ULM_L,ULM_L,,1.2004485130310059
LN,2026-02-28T13:06:30.588122,2,Intensity,20,DLM_3,DLM_2,DLM_2,,2.399183511734009
