ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
SRQ,2026-03-02T14:03:31.045669,1,Intensity,1,DLM_3,ULM_L,DLM_3,,7.166980266571045
SRQ,2026-03-02T14:03:44.740176,1,Intensity,2,LM_L,ULM_L,LM_L,,8.639769554138184
SRQ,2026-03-02T14:04:02.621074,1,Intensity,3,LM_C,LM_L,LM_L,,8.037891387939453
SRQ,2026-03-02T14:04:08.979953,1,Intensity,4,ULM_L,LM_C,ULM_L,,1.0291011333465576
SRQ,2026-03-02T14:04:15.229344,1,Intensity,5,DLM_3,LM_C,LM_C,,1.4064710140228271
SRQ,2026-03-02T14:04:24.708368,1,Intensity,6,LM_C,DLM_2,DLM_2,,4.657829523086548
SRQ,2026-03-02T14:04:30.467990,1,Intensity,7,LM_C,DLM_3,LM_C,,0.9410967826843262
SRQ,2026-03-02T14:04:36.235745,1,Intensity,8,DLM_2,LM_C,DLM_2,,0.8714396953582764
SRQ,2026-03-02T14:04:42.228809,1,Intensity,9,DLM_3,DLM_2,DLM_2,,0.9814789295196533
SRQ,2026-03-02T14:04:48.612149,1,Intensity,10,ULM_L,DLM_3,ULM_L,,1.2962610721588135
SRQ,2026-03-02T14:04:55.188848,1,Intensity,11,LM_L,LM_C,LM_C,,1.7851223945617676
SRQ,2026-03-02T14:05:01.020823,1,Intensity,12,ULM_L,DLM_2,DLM_2,,0.7035207748413086
SRQ,2026-03-02T14:05:08.140508,1,Intensity,13,DLM_3,LM_L,DLM_3,,2.222506284713745
SRQ,2026-03-02T14:05:14.876570,1,Intensity,14,DLM_2,DLM_3,DLM_2,,1.7894396781921387
SRQ,2026-03-02T14:05:20.644353,1,Intensity,15,LM_L,DLM_2,DLM_2,,0.9098353385925293
SRQ,2026-03-02T14:05:26.540297,1,Intensity,16,ULM_L,LM_L,ULM_L,,0.9212710857391357
SRQ,2026-03-02T14:05:33.908563,1,Intensity,17,LM_L,DLM_3,LM_L,,2.419823169708252
SRQ,2026-03-02T14:05:39.852757,1,Intensity,18,DLM_2,LM_L,DLM_2,,0.5556857585906982
SRQ,2026-03-02T14:05:46.261055,1,Intensity,19,LM_C,ULM_L,LM_C,,1.510016918182373
SRQ,2026-03-02T14:05:57.469259,1,Intensity,20,DLM_2,ULM_L,DLM_2,,4.615992307662964
SRQ,2026-03-02T14:06:17.356782,2,Spatial,1,ULM_L,LM_L,,LM_L,1.1055197715759277
SRQ,2026-03-02T14:06:25.253132,2,Spatial,2,DLM_2,LM_L,,DLM_2,3.0271167755126953
SRQ,2026-03-02T14:06:34.028095,2,Spatial,3,LM_C,DLM_2,,LM_C,3.5041263103485107
SRQ,2026-03-02T14:06:41.099893,2,Spatial,4,LM_L,LM_C,,LM_C,2.101768970489502
SRQ,2026-03-02T14:06:50.828312,2,Spatial,5,DLM_2,ULM_L,,DLM_2,2.2401089668273926
SRQ,2026-03-02T14:06:59.053457,2,Spatial,6,LM_C,LM_L,,LM_C,3.2282519340515137
SRQ,2026-03-02T14:07:05.652522,2,Spatial,7,LM_L,ULM_L,,ULM_L,1.2562644481658936
SRQ,2026-03-02T14:07:12.709114,2,Spatial,8,LM_L,DLM_2,,DLM_2,2.127246141433716
SRQ,2026-03-02T14:07:19.044290,2,Spatial,9,ULM_L,LM_C,,ULM_L,1.1501774787902832
SRQ,2026-03-02T14:07:25.620209,2,Spatial,10,ULM_L,DLM_3,,DLM_3,1.7885143756866455
SRQ,2026-03-02T14:07:33.692918,2,Spatial,11,LM_C,DLM_3,,DLM_3,3.049527645111084
SRQ,2026-03-02T14:07:41.084654,2,Spatial,12,DLM_3,LM_C,,DLM_3,2.616647720336914
SRQ,2026-03-02T14:07:48.620737,2,Spatial,13,DLM_3,LM_L,,DLM_3,2.6086132526397705
SRQ,2026-03-02T14:07:59.259828,2,Spatial,14,ULM_L,DLM_2,,DLM_2,5.735382556915283
SRQ,2026-03-02T14:08:06.931840,2,Spatial,15,DLM_3,DLM_2,,DLM_2,1.7520785331726074
SRQ,2026-03-02T14:08:13.668798,2,Spatial,16,DLM_2,LM_C,,DLM_2,1.8997609615325928
SRQ,2026-03-02T14:08:23.819811,2,Spatial,17,DLM_3,ULM_L,,ULM_L,4.742319345474243
SRQ,2026-03-02T14:08:30.732122,2,Spatial,18,DLM_2,DLM_3,,DLM_2,1.9662401676177979
SRQ,2026-03-02T14:08:36.924048,2,Spatial,19,LM_L,DLM_3,,LM_L,1.3069992065429688
SRQ,2026-03-02T14:08:42.884277,2,Spatial,20,LM_C,ULM_L,,ULM_L,1.1715366840362549
