ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
SWY,2026-03-02T15:00:50.978962,1,Spatial,1,LM_L,DLM_2,,LM_L,1.818014144897461
SWY,2026-03-02T15:01:04.169770,1,Spatial,2,DLM_2,DLM_3,,DLM_2,1.5511200428009033
SWY,2026-03-02T15:01:10.795022,1,Spatial,3,DLM_2,LM_L,,DLM_2,1.6021857261657715
SWY,2026-03-02T15:01:17.642108,1,Spatial,4,LM_C,DLM_3,,DLM_3,1.9064223766326904
SWY,2026-03-02T15:01:23.963118,1,Spatial,5,DLM_2,ULM_L,,ULM_L,1.2467083930969238
SWY,2026-03-02T15:01:30.586129,1,Spatial,6,ULM_L,DLM_2,,DLM_2,1.771104335784912
SWY,2026-03-02T15:01:36.585921,1,Spatial,7,LM_L,LM_C,,LM_L,0.9310736656188965
SWY,2026-03-02T15:01:43.082315,1,Spatial,8,DLM_3,LM_C,,DLM_3,1.4600648880004883
SWY,2026-03-02T15:01:51.034450,1,Spatial,9,DLM_2,LM_C,,DLM_2,2.0501556396484375
SWY,2026-03-02T15:01:58.346341,1,Spatial,10,LM_L,ULM_L,,LM_L,2.289618730545044
SWY,2026-03-02T15:02:04.890337,1,Spatial,11,DLM_3,ULM_L,,ULM_L,1.7562541961669922
SWY,2026-03-02T15:02:12.913827,1,Spatial,12,LM_C,DLM_2,,DLM_2,2.706113815307617
SWY,2026-03-02T15:02:19.402182,1,Spatial,13,ULM_L,LM_L,,ULM_L,1.4962494373321533
SWY,2026-03-02T15:02:25.834504,1,Spatial,14,DLM_3,DLM_2,,DLM_2,1.4579274654388428
SWY,2026-03-02T15:02:32.011340,1,Spatial,15,ULM_L,LM_C,,ULM_L,1.0308470726013184
SWY,2026-03-02T15:02:38.458974,1,Spatial,16,LM_C,LM_L,,LM_C,1.478663444519043
SWY,2026-03-02T15:02:44.754167,1,Spatial,17,LM_C,ULM_L,,LM_C,1.36672043800354
SWY,2026-03-02T15:02:50.962014,1,Spatial,18,ULM_L,DLM_3,,ULM_L,1.452697515487671
SWY,2026-03-02T15:02:57.210316,1,Spatial,19,LM_L,DLM_3,,LM_L,1.2485079765319824
SWY,2026-03-02T15:03:04.338642,1,Spatial,20,DLM_3,LM_L,,LM_L,1.7033743858337402
SWY,2026-03-02T15:03:20.290825,2,Intensity,1,DLM_3,DLM_2,DLM_3,,1.8703267574310303
SWY,2026-03-02T15:03:27.274310,2,Intensity,2,DLM_2,LM_C,DLM_2,,1.9531371593475342
SWY,2026-03-02T15:03:34.130141,2,Intensity,3,LM_C,DLM_2,DLM_2,,2.0187294483184814
SWY,2026-03-02T15:03:40.994071,2,Intensity,4,DLM_3,LM_L,DLM_3,,1.624232292175293
SWY,2026-03-02T15:03:46.513853,2,Intensity,5,LM_L,DLM_2,LM_L,,0.7279469966888428
SWY,2026-03-02T15:03:54.034991,2,Intensity,6,DLM_2,DLM_3,DLM_3,,2.544889211654663
SWY,2026-03-02T15:04:00.618363,2,Intensity,7,LM_L,DLM_3,DLM_3,,1.2157940864562988
SWY,2026-03-02T15:04:07.450065,2,Intensity,8,LM_L,ULM_L,ULM_L,,1.5654058456420898
SWY,2026-03-02T15:04:14.297971,2,Intensity,9,DLM_3,ULM_L,DLM_3,,2.0254464149475098
SWY,2026-03-02T15:04:20.570191,2,Intensity,10,DLM_3,LM_C,DLM_3,,1.3095715045928955
SWY,2026-03-02T15:04:27.073859,2,Intensity,11,ULM_L,DLM_2,ULM_L,,1.567363977432251
SWY,2026-03-02T15:04:35.146435,2,Intensity,12,DLM_2,LM_L,LM_L,,3.1963798999786377
SWY,2026-03-02T15:04:41.905490,2,Intensity,13,LM_C,DLM_3,LM_C,,1.704711675643921
SWY,2026-03-02T15:04:47.817767,2,Intensity,14,LM_C,ULM_L,ULM_L,,1.046752691268921
SWY,2026-03-02T15:04:54.298149,2,Intensity,15,DLM_2,ULM_L,DLM_2,,1.6646809577941895
SWY,2026-03-02T15:05:01.097822,2,Intensity,16,ULM_L,LM_C,ULM_L,,1.5731606483459473
SWY,2026-03-02T15:05:07.489666,2,Intensity,17,ULM_L,DLM_3,ULM_L,,1.6972463130950928
SWY,2026-03-02T15:05:14.250355,2,Intensity,18,LM_L,LM_C,LM_C,,1.8582234382629395
SWY,2026-03-02T15:05:20.250201,2,Intensity,19,LM_C,LM_L,LM_C,,1.1671805381774902
SWY,2026-03-02T15:05:25.785864,2,Intensity,20,ULM_L,LM_L,ULM_L,,0.7723827362060547
