ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
WBX,2026-03-02T13:41:10.189095,1,Spatial,1,DLM_3,LM_L,,DLM_3,17.282379627227783
WBX,2026-03-02T13:41:33.956865,1,Spatial,2,LM_L,DLM_3,,DLM_3,5.6388022899627686
WBX,2026-03-02T13:41:41.894022,1,Spatial,3,LM_C,ULM_L,,ULM_L,2.6862685680389404
WBX,2026-03-02T13:41:50.980224,1,Spatial,4,ULM_L,LM_C,,ULM_L,3.085122585296631
WBX,2026-03-02T13:41:59.004756,1,Spatial,5,ULM_L,DLM_2,,ULM_L,2.639738082885742
WBX,2026-03-02T13:42:06.916602,1,Spatial,6,LM_C,LM_L,,LM_L,2.6407179832458496
WBX,2026-03-02T13:42:14.964974,1,Spatial,7,LM_C,DLM_2,,DLM_2,2.0101139545440674
WBX,2026-03-02T13:42:21.741089,1,Spatial,8,LM_L,DLM_2,,DLM_2,1.7751572132110596
WBX,2026-03-02T13:42:28.940625,1,Spatial,9,DLM_3,DLM_2,,DLM_2,2.1001155376434326
WBX,2026-03-02T13:42:35.469365,1,Spatial,10,LM_C,DLM_3,,DLM_3,1.4310176372528076
WBX,2026-03-02T13:42:42.541015,1,Spatial,11,DLM_2,DLM_3,,DLM_2,2.211472272872925
WBX,2026-03-02T13:42:49.604625,1,Spatial,12,LM_L,LM_C,,LM_C,1.7908687591552734
WBX,2026-03-02T13:42:59.700945,1,Spatial,13,ULM_L,DLM_3,,ULM_L,0.9710097312927246
WBX,2026-03-02T13:43:06.101089,1,Spatial,14,DLM_3,ULM_L,,ULM_L,1.51308012008667
WBX,2026-03-02T13:43:12.317411,1,Spatial,15,DLM_2,LM_L,,DLM_2,1.2030799388885498
WBX,2026-03-02T13:43:18.757269,1,Spatial,16,DLM_2,ULM_L,,ULM_L,1.4209344387054443
WBX,2026-03-02T13:43:25.885655,1,Spatial,17,DLM_2,LM_C,,LM_C,2.035982131958008
WBX,2026-03-02T13:43:31.812629,1,Spatial,18,ULM_L,LM_L,,ULM_L,0.8594493865966797
WBX,2026-03-02T13:43:38.549744,1,Spatial,19,LM_L,ULM_L,,ULM_L,1.765758991241455
WBX,2026-03-02T13:43:46.077181,1,Spatial,20,DLM_3,LM_C,,DLM_3,2.0101683139801025
WBX,2026-03-02T13:44:32.468879,2,Intensity,1,DLM_3,LM_L,DLM_3,,3.7500481605529785
WBX,2026-03-02T13:44:41.069887,2,Intensity,2,LM_L,LM_C,LM_C,,3.506089687347412
WBX,2026-03-02T13:44:48.196939,2,Intensity,3,DLM_2,DLM_3,DLM_2,,1.5456626415252686
WBX,2026-03-02T13:44:55.965002,2,Intensity,4,ULM_L,DLM_2,ULM_L,,2.1036014556884766
WBX,2026-03-02T13:45:02.837674,2,Intensity,5,LM_C,DLM_2,DLM_2,,1.6600408554077148
WBX,2026-03-02T13:45:08.869153,2,Intensity,6,ULM_L,DLM_3,ULM_L,,0.7673697471618652
WBX,2026-03-02T13:45:15.324457,2,Intensity,7,DLM_2,ULM_L,ULM_L,,1.4385223388671875
WBX,2026-03-02T13:45:22.060755,2,Intensity,8,DLM_3,LM_C,LM_C,,1.663689136505127
WBX,2026-03-02T13:45:28.773519,2,Intensity,9,ULM_L,LM_C,ULM_L,,1.6472516059875488
WBX,2026-03-02T13:45:35.237470,2,Intensity,10,DLM_2,LM_C,DLM_2,,1.5885770320892334
WBX,2026-03-02T13:45:41.430385,2,Intensity,11,LM_L,DLM_2,DLM_2,,1.1998088359832764
WBX,2026-03-02T13:45:47.580887,2,Intensity,12,LM_C,ULM_L,ULM_L,,1.282545566558838
WBX,2026-03-02T13:45:54.453242,2,Intensity,13,DLM_3,DLM_2,DLM_2,,1.0647590160369873
WBX,2026-03-02T13:46:00.741460,2,Intensity,14,LM_L,DLM_3,DLM_3,,1.4534389972686768
WBX,2026-03-02T13:46:06.972401,2,Intensity,15,LM_C,LM_L,LM_L,,1.273571252822876
WBX,2026-03-02T13:46:13.140946,2,Intensity,16,LM_L,ULM_L,ULM_L,,0.5884490013122559
WBX,2026-03-02T13:46:19.508543,2,Intensity,17,DLM_3,ULM_L,ULM_L,,1.458207607269287
WBX,2026-03-02T13:46:26.045092,2,Intensity,18,LM_C,DLM_3,DLM_3,,1.5132546424865723
WBX,2026-03-02T13:46:32.181554,2,Intensity,19,ULM_L,LM_L,ULM_L,,1.2311174869537354
WBX,2026-03-02T13:46:38.212726,2,Intensity,20,DLM_2,LM_L,DLM_2,,1.2092382907867432
