ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
WCB,2026-03-01T13:56:19.038100,1,Intensity,1,DLM_3,ULM_L,DLM_3,,14.348073720932007
WCB,2026-03-01T13:56:32.772986,1,Intensity,2,LM_C,LM_L,LM_L,,7.882459878921509
WCB,2026-03-01T13:56:40.445532,1,Intensity,3,ULM_L,LM_L,ULM_L,,2.209413766860962
WCB,2026-03-01T13:56:47.908623,1,Intensity,4,LM_L,LM_C,LM_C,,2.2460038661956787
WCB,2026-03-01T13:56:54.861922,1,Intensity,5,LM_C,DLM_3,LM_C,,2.0369510650634766
WCB,2026-03-01T13:57:03.877112,1,Intensity,6,DLM_3,LM_C,DLM_3,,3.6154651641845703
WCB,2026-03-01T13:57:11.893282,1,Intensity,7,DLM_2,DLM_3,DLM_3,,2.787562370300293
WCB,2026-03-01T13:57:18.653450,1,Intensity,8,DLM_2,LM_L,LM_L,,1.8927066326141357
WCB,2026-03-01T13:57:25.901439,1,Intensity,9,ULM_L,LM_C,ULM_L,,2.46585750579834
WCB,2026-03-01T13:57:32.757067,1,Intensity,10,LM_L,DLM_2,LM_L,,2.070551633834839
WCB,2026-03-01T13:57:39.149790,1,Intensity,11,DLM_2,ULM_L,ULM_L,,1.5089926719665527
WCB,2026-03-01T13:57:45.869404,1,Intensity,12,DLM_3,LM_L,LM_L,,2.0085034370422363
WCB,2026-03-01T13:57:52.788909,1,Intensity,13,LM_C,DLM_2,LM_C,,2.1383893489837646
WCB,2026-03-01T13:57:59.653745,1,Intensity,14,LM_L,ULM_L,ULM_L,,2.0079195499420166
WCB,2026-03-01T13:58:05.693344,1,Intensity,15,DLM_3,DLM_2,DLM_2,,1.252694845199585
WCB,2026-03-01T13:58:12.301235,1,Intensity,16,LM_L,DLM_3,LM_L,,1.8246619701385498
WCB,2026-03-01T13:58:18.605571,1,Intensity,17,ULM_L,DLM_2,ULM_L,,1.494764804840088
WCB,2026-03-01T13:58:24.812964,1,Intensity,18,DLM_2,LM_C,DLM_2,,1.4662013053894043
WCB,2026-03-01T13:58:31.013136,1,Intensity,19,LM_C,ULM_L,LM_C,,1.464134693145752
WCB,2026-03-01T13:58:52.149190,1,Intensity,20,ULM_L,DLM_3,DLM_3,,1.5999464988708496
WCB,2026-03-01T13:59:15.836953,2,Spatial,1,DLM_2,ULM_L,,DLM_2,1.6243805885314941
WCB,2026-03-01T13:59:22.812721,2,Spatial,2,DLM_3,LM_L,,DLM_3,1.9382781982421875
WCB,2026-03-01T13:59:30.165523,2,Spatial,3,LM_L,ULM_L,,LM_L,2.0986807346343994
WCB,2026-03-01T13:59:38.244596,2,Spatial,4,ULM_L,LM_L,,ULM_L,1.5212745666503906
WCB,2026-03-01T13:59:44.605562,2,Spatial,5,ULM_L,LM_C,,LM_C,1.5785791873931885
WCB,2026-03-01T13:59:50.949550,2,Spatial,6,DLM_3,ULM_L,,ULM_L,1.4758296012878418
WCB,2026-03-01T13:59:57.661254,2,Spatial,7,DLM_2,LM_L,,LM_L,1.6013789176940918
WCB,2026-03-01T14:00:04.437055,2,Spatial,8,LM_C,DLM_2,,DLM_2,2.026085376739502
WCB,2026-03-01T14:00:10.805090,2,Spatial,9,LM_C,ULM_L,,LM_C,1.5927119255065918
WCB,2026-03-01T14:00:17.644677,2,Spatial,10,DLM_3,LM_C,,LM_C,2.007438898086548
WCB,2026-03-01T14:00:24.468845,2,Spatial,11,DLM_2,LM_C,,LM_C,2.1115708351135254
WCB,2026-03-01T14:00:31.005192,2,Spatial,12,LM_L,DLM_2,,LM_L,1.7330050468444824
WCB,2026-03-01T14:00:37.366050,2,Spatial,13,DLM_3,DLM_2,,DLM_2,1.4959754943847656
WCB,2026-03-01T14:00:43.580994,2,Spatial,14,ULM_L,DLM_2,,ULM_L,1.4459788799285889
WCB,2026-03-01T14:00:50.781077,2,Spatial,15,LM_C,DLM_3,,DLM_3,2.45792555809021
WCB,2026-03-01T14:00:57.469415,2,Spatial,16,LM_L,DLM_3,,LM_L,1.9125840663909912
WCB,2026-03-01T14:01:03.820942,2,Spatial,17,DLM_2,DLM_3,,DLM_2,1.6347417831420898
WCB,2026-03-01T14:01:10.901188,2,Spatial,18,LM_L,LM_C,,LM_L,2.371762752532959
WCB,2026-03-01T14:01:17.277509,2,Spatial,19,ULM_L,DLM_3,,ULM_L,1.5555377006530762
WCB,2026-03-01T14:01:23.372914,2,Spatial,20,LM_C,LM_L,,LM_L,1.24088716506958
