ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
WJ,2026-03-01T18:39:46.310183,1,Intensity,1,DLM_2,DLM_3,DLM_2,,6.416396617889404
WJ,2026-03-01T18:39:58.477506,1,Intensity,2,LM_L,DLM_2,DLM_2,,1.1127839088439941
WJ,2026-03-01T18:40:06.915929,1,Intensity,3,LM_L,DLM_3,LM_L,,1.0164601802825928
WJ,2026-03-01T18:40:13.845703,1,Intensity,4,LM_C,DLM_2,LM_C,,1.475006341934204
WJ,2026-03-01T18:40:21.406516,1,Intensity,5,LM_C,LM_L,LM_C,,1.0957257747650146
WJ,2026-03-01T18:40:27.965585,1,Intensity,6,DLM_3,ULM_L,DLM_3,,1.4336638450622559
WJ,2026-03-01T18:40:34.110011,1,Intensity,7,ULM_L,LM_C,ULM_L,,1.1685845851898193
WJ,2026-03-01T18:40:41.230271,1,Intensity,8,LM_C,DLM_3,LM_C,,1.9947912693023682
WJ,2026-03-01T18:40:50.230205,1,Intensity,9,DLM_2,ULM_L,DLM_2,,3.936155319213867
WJ,2026-03-01T18:40:56.510100,1,Intensity,10,LM_L,ULM_L,ULM_L,,1.361710786819458
WJ,2026-03-01T18:41:02.853507,1,Intensity,11,DLM_3,DLM_2,DLM_3,,1.370835781097412
WJ,2026-03-01T18:41:09.565273,1,Intensity,12,DLM_2,LM_L,DLM_2,,0.8251945972442627
WJ,2026-03-01T18:41:16.773348,1,Intensity,13,DLM_2,LM_C,DLM_2,,2.1643755435943604
WJ,2026-03-01T18:41:23.309460,1,Intensity,14,ULM_L,DLM_3,ULM_L,,1.4313771724700928
WJ,2026-03-01T18:41:29.037695,1,Intensity,15,ULM_L,LM_L,ULM_L,,0.7977685928344727
WJ,2026-03-01T18:41:35.238034,1,Intensity,16,LM_C,ULM_L,ULM_L,,1.2457070350646973
WJ,2026-03-01T18:41:41.406248,1,Intensity,17,LM_L,LM_C,LM_C,,1.0905117988586426
WJ,2026-03-01T18:41:47.733449,1,Intensity,18,ULM_L,DLM_2,DLM_2,,1.3229327201843262
WJ,2026-03-01T18:41:53.414362,1,Intensity,19,DLM_3,LM_L,DLM_3,,0.7678916454315186
WJ,2026-03-01T18:42:01.661410,1,Intensity,20,DLM_3,LM_C,DLM_3,,1.9519572257995605
WJ,2026-03-01T18:42:25.477848,2,Spatial,1,LM_C,DLM_3,,LM_C,4.080190658569336
WJ,2026-03-01T18:42:34.502507,2,Spatial,2,DLM_2,LM_C,,DLM_2,3.4821720123291016
WJ,2026-03-01T18:42:41.781333,2,Spatial,3,LM_C,ULM_L,,ULM_L,2.1356730461120605
WJ,2026-03-01T18:42:47.958365,2,Spatial,4,ULM_L,LM_L,,ULM_L,1.1828489303588867
WJ,2026-03-01T18:42:55.741883,2,Spatial,5,LM_L,LM_C,,LM_L,2.5724761486053467
WJ,2026-03-01T18:43:04.038559,2,Spatial,6,DLM_2,ULM_L,,DLM_2,3.3002490997314453
WJ,2026-03-01T18:43:10.021709,2,Spatial,7,DLM_3,LM_L,,DLM_3,0.9610116481781006
WJ,2026-03-01T18:43:16.638611,2,Spatial,8,DLM_3,DLM_2,,DLM_3,1.8510096073150635
WJ,2026-03-01T18:43:22.222250,2,Spatial,9,LM_C,DLM_2,,DLM_2,0.6666996479034424
WJ,2026-03-01T18:43:29.157115,2,Spatial,10,ULM_L,DLM_2,,DLM_2,1.7497305870056152
WJ,2026-03-01T18:43:36.365668,2,Spatial,11,LM_L,ULM_L,,ULM_L,1.7826752662658691
WJ,2026-03-01T18:43:43.725883,2,Spatial,12,ULM_L,LM_C,,ULM_L,2.069506883621216
WJ,2026-03-01T18:43:49.694256,2,Spatial,13,LM_C,LM_L,,LM_C,0.9555244445800781
WJ,2026-03-01T18:43:58.549473,2,Spatial,14,LM_L,DLM_2,,DLM_2,3.949479579925537
WJ,2026-03-01T18:44:04.782617,2,Spatial,15,LM_L,DLM_3,,LM_L,1.180131435394287
WJ,2026-03-01T18:44:11.670252,2,Spatial,16,DLM_2,DLM_3,,DLM_2,2.009955883026123
WJ,2026-03-01T18:44:20.165633,2,Spatial,17,DLM_3,LM_C,,LM_C,1.3996772766113281
WJ,2026-03-01T18:44:27.429777,2,Spatial,18,DLM_2,LM_L,,DLM_2,1.9640231132507324
WJ,2026-03-01T18:44:33.614818,2,Spatial,19,DLM_3,ULM_L,,ULM_L,1.3046886920928955
WJ,2026-03-01T18:44:39.638274,2,Spatial,20,ULM_L,DLM_3,,ULM_L,1.104581594467163
