ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
WY,2026-03-02T14:38:57.355676,1,Intensity,1,DLM_3,LM_C,DLM_3,,2.652714490890503
WY,2026-03-02T14:39:07.963576,1,Intensity,2,LM_L,DLM_2,DLM_2,,3.6512205600738525
WY,2026-03-02T14:39:18.338283,1,Intensity,3,DLM_2,LM_C,DLM_2,,3.8995048999786377
WY,2026-03-02T14:39:25.875109,1,Intensity,4,LM_L,LM_C,LM_C,,1.8872292041778564
WY,2026-03-02T14:39:34.587247,1,Intensity,5,ULM_L,LM_L,ULM_L,,2.4697186946868896
WY,2026-03-02T14:39:43.306799,1,Intensity,6,ULM_L,LM_C,ULM_L,,2.015754461288452
WY,2026-03-02T14:39:50.027075,1,Intensity,7,ULM_L,DLM_3,ULM_L,,0.8263177871704102
WY,2026-03-02T14:39:58.890499,1,Intensity,8,DLM_3,ULM_L,DLM_3,,2.383451461791992
WY,2026-03-02T14:40:07.003322,1,Intensity,9,LM_L,ULM_L,ULM_L,,2.6476004123687744
WY,2026-03-02T14:40:18.579717,1,Intensity,10,LM_C,ULM_L,ULM_L,,5.9001624584198
WY,2026-03-02T14:40:25.163783,1,Intensity,11,DLM_2,LM_L,DLM_2,,1.1857447624206543
WY,2026-03-02T14:40:34.698958,1,Intensity,12,DLM_3,DLM_2,DLM_2,,3.5701215267181396
WY,2026-03-02T14:40:42.523437,1,Intensity,13,LM_C,DLM_3,LM_C,,1.1663267612457275
WY,2026-03-02T14:40:52.211372,1,Intensity,14,DLM_2,DLM_3,DLM_2,,4.575899124145508
WY,2026-03-02T14:41:00.939083,1,Intensity,15,LM_L,DLM_3,DLM_3,,1.0134236812591553
WY,2026-03-02T14:41:07.450848,1,Intensity,16,LM_C,DLM_2,DLM_2,,0.9546921253204346
WY,2026-03-02T14:41:13.755544,1,Intensity,17,LM_C,LM_L,LM_C,,1.1910955905914307
WY,2026-03-02T14:41:23.923040,1,Intensity,18,DLM_3,LM_L,LM_L,,4.111739873886108
WY,2026-03-02T14:41:30.723258,1,Intensity,19,DLM_2,ULM_L,DLM_2,,1.3391952514648438
WY,2026-03-02T14:41:37.651221,1,Intensity,20,ULM_L,DLM_2,ULM_L,,1.7527062892913818
WY,2026-03-02T14:41:58.058994,2,Spatial,1,LM_L,DLM_2,,DLM_2,7.01388955116272
WY,2026-03-02T14:42:06.099002,2,Spatial,2,ULM_L,LM_C,,LM_C,2.5947227478027344
WY,2026-03-02T14:42:16.499229,2,Spatial,3,ULM_L,DLM_2,,DLM_2,4.43175482749939
WY,2026-03-02T14:42:26.212108,2,Spatial,4,LM_L,LM_C,,LM_C,3.472745656967163
WY,2026-03-02T14:42:41.491402,2,Spatial,5,ULM_L,DLM_3,,ULM_L,6.135116338729858
WY,2026-03-02T14:42:49.514809,2,Spatial,6,DLM_2,ULM_L,,DLM_2,2.961594820022583
WY,2026-03-02T14:42:56.947645,2,Spatial,7,LM_L,ULM_L,,LM_L,2.4520347118377686
WY,2026-03-02T14:43:04.154996,2,Spatial,8,DLM_3,ULM_L,,ULM_L,2.024620294570923
WY,2026-03-02T14:43:14.267438,2,Spatial,9,ULM_L,LM_L,,LM_L,3.115468740463257
WY,2026-03-02T14:43:20.979383,2,Spatial,10,DLM_3,LM_L,,LM_L,1.6284868717193604
WY,2026-03-02T14:43:29.630693,2,Spatial,11,DLM_2,DLM_3,,DLM_3,3.190418004989624
WY,2026-03-02T14:43:35.754761,2,Spatial,12,LM_C,DLM_2,,DLM_2,1.0914411544799805
WY,2026-03-02T14:43:42.115394,2,Spatial,13,LM_L,DLM_3,,LM_L,1.1652581691741943
WY,2026-03-02T14:43:50.027086,2,Spatial,14,LM_C,LM_L,,LM_L,3.0944340229034424
WY,2026-03-02T14:43:56.754958,2,Spatial,15,DLM_3,DLM_2,,DLM_2,1.400822639465332
WY,2026-03-02T14:44:02.939147,2,Spatial,16,DLM_2,LM_C,,LM_C,0.9204466342926025
WY,2026-03-02T14:44:11.546907,2,Spatial,17,DLM_3,LM_C,,LM_C,3.6915504932403564
WY,2026-03-02T14:44:20.178477,2,Spatial,18,LM_C,DLM_3,,LM_C,2.260998249053955
WY,2026-03-02T14:44:26.331355,2,Spatial,19,LM_C,ULM_L,,LM_C,1.2582032680511475
WY,2026-03-02T14:44:35.434947,2,Spatial,20,DLM_2,LM_L,,LM_L,2.6306445598602295
