ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
WYY,2026-03-01T15:49:38.365725,1,Spatial,1,DLM_2,LM_C,,DLM_2,7.868430137634277
WYY,2026-03-01T15:49:47.909676,1,Spatial,2,DLM_3,ULM_L,,DLM_3,2.7453129291534424
WYY,2026-03-01T15:49:55.205634,1,Spatial,3,LM_L,LM_C,,LM_L,2.03053879737854
WYY,2026-03-01T15:50:02.909239,1,Spatial,4,DLM_3,DLM_2,,DLM_3,2.434556484222412
WYY,2026-03-01T15:50:09.429764,1,Spatial,5,LM_L,ULM_L,,ULM_L,1.0520639419555664
WYY,2026-03-01T15:50:15.582027,1,Spatial,6,LM_C,LM_L,,LM_C,1.3678081035614014
WYY,2026-03-01T15:50:22.102291,1,Spatial,7,LM_C,DLM_3,,DLM_3,1.4957172870635986
WYY,2026-03-01T15:50:28.317494,1,Spatial,8,ULM_L,LM_C,,ULM_L,1.2079524993896484
WYY,2026-03-01T15:50:34.613446,1,Spatial,9,DLM_3,LM_L,,DLM_3,1.4559063911437988
WYY,2026-03-01T15:50:41.029848,1,Spatial,10,LM_C,DLM_2,,LM_C,1.6339142322540283
WYY,2026-03-01T15:50:47.502077,1,Spatial,11,DLM_2,ULM_L,,DLM_2,1.5645382404327393
WYY,2026-03-01T15:50:53.885190,1,Spatial,12,LM_C,ULM_L,,ULM_L,1.6352674961090088
WYY,2026-03-01T15:51:00.710544,1,Spatial,13,DLM_2,LM_L,,DLM_2,1.8615689277648926
WYY,2026-03-01T15:51:06.868876,1,Spatial,14,ULM_L,LM_L,,ULM_L,1.456486463546753
WYY,2026-03-01T15:51:13.781708,1,Spatial,15,LM_L,DLM_3,,DLM_3,1.544595718383789
WYY,2026-03-01T15:51:20.381578,1,Spatial,16,ULM_L,DLM_2,,ULM_L,1.6401019096374512
WYY,2026-03-01T15:51:27.677195,1,Spatial,17,DLM_2,DLM_3,,DLM_2,2.1378090381622314
WYY,2026-03-01T15:51:35.950127,1,Spatial,18,LM_L,DLM_2,,LM_L,3.462761640548706
WYY,2026-03-01T15:51:43.613588,1,Spatial,19,ULM_L,DLM_3,,ULM_L,2.863004207611084
WYY,2026-03-01T15:51:49.701526,1,Spatial,20,DLM_3,LM_C,,DLM_3,1.1868095397949219
WYY,2026-03-01T15:52:15.158885,2,Intensity,1,LM_L,ULM_L,ULM_L,,1.4328155517578125
WYY,2026-03-01T15:52:21.510099,2,Intensity,2,LM_C,ULM_L,ULM_L,,1.4211087226867676
WYY,2026-03-01T15:52:28.885486,2,Intensity,3,LM_C,DLM_3,DLM_3,,2.1861696243286133
WYY,2026-03-01T15:52:35.245598,2,Intensity,4,DLM_3,LM_C,LM_C,,1.5513026714324951
WYY,2026-03-01T15:52:41.758203,2,Intensity,5,DLM_2,LM_C,DLM_2,,1.6154990196228027
WYY,2026-03-01T15:52:48.285900,2,Intensity,6,LM_C,DLM_2,LM_C,,1.5579757690429688
WYY,2026-03-01T15:52:54.245307,2,Intensity,7,ULM_L,LM_L,ULM_L,,1.2722327709197998
WYY,2026-03-01T15:53:00.350262,2,Intensity,8,DLM_3,DLM_2,DLM_3,,1.3218586444854736
WYY,2026-03-01T15:53:06.406370,2,Intensity,9,ULM_L,DLM_2,ULM_L,,1.2586064338684082
WYY,2026-03-01T15:53:12.765211,2,Intensity,10,DLM_2,LM_L,DLM_2,,1.595219373703003
WYY,2026-03-01T15:53:18.350926,2,Intensity,11,ULM_L,LM_C,ULM_L,,0.8711040019989014
WYY,2026-03-01T15:53:25.349987,2,Intensity,12,LM_L,DLM_3,DLM_3,,2.2866933345794678
WYY,2026-03-01T15:53:31.894052,2,Intensity,13,LM_L,LM_C,LM_L,,1.3064308166503906
WYY,2026-03-01T15:53:38.013339,2,Intensity,14,DLM_3,ULM_L,ULM_L,,1.2530813217163086
WYY,2026-03-01T15:53:44.230071,2,Intensity,15,LM_L,DLM_2,LM_L,,1.3440346717834473
WYY,2026-03-01T15:53:50.254387,2,Intensity,16,ULM_L,DLM_3,ULM_L,,1.2854907512664795
WYY,2026-03-01T15:53:56.486830,2,Intensity,17,DLM_2,DLM_3,DLM_3,,1.4289472103118896
WYY,2026-03-01T15:54:03.078281,2,Intensity,18,LM_C,LM_L,LM_C,,1.5492022037506104
WYY,2026-03-01T15:54:09.605989,2,Intensity,19,DLM_3,LM_L,DLM_3,,1.708643913269043
WYY,2026-03-01T15:54:16.365774,2,Intensity,20,DLM_2,ULM_L,ULM_L,,1.8736579418182373
