ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
YYX,2026-03-02T14:50:45.891052,1,Spatial,1,LM_L,ULM_L,,ULM_L,2.157155752182007
YYX,2026-03-02T14:51:00.835730,1,Spatial,2,DLM_3,LM_C,,DLM_3,7.0942370891571045
YYX,2026-03-02T14:51:07.594738,1,Spatial,3,LM_L,DLM_3,,DLM_3,1.7443718910217285
YYX,2026-03-02T14:51:14.170710,1,Spatial,4,LM_C,ULM_L,,ULM_L,1.4637348651885986
YYX,2026-03-02T14:51:20.683850,1,Spatial,5,LM_C,DLM_2,,DLM_2,1.6086077690124512
YYX,2026-03-02T14:51:27.322365,1,Spatial,6,LM_C,LM_L,,LM_C,1.7986481189727783
YYX,2026-03-02T14:51:33.362626,1,Spatial,7,DLM_3,DLM_2,,DLM_3,1.1556501388549805
YYX,2026-03-02T14:51:40.898308,1,Spatial,8,ULM_L,DLM_2,,ULM_L,2.7017033100128174
YYX,2026-03-02T14:51:46.986680,1,Spatial,9,ULM_L,DLM_3,,DLM_3,1.322986364364624
YYX,2026-03-02T14:51:55.010303,1,Spatial,10,DLM_2,LM_C,,LM_C,3.161982536315918
YYX,2026-03-02T14:52:03.259022,1,Spatial,11,DLM_2,DLM_3,,DLM_3,2.654667615890503
YYX,2026-03-02T14:52:10.322545,1,Spatial,12,DLM_3,ULM_L,,ULM_L,2.098151922225952
YYX,2026-03-02T14:52:19.690369,1,Spatial,13,ULM_L,LM_L,,ULM_L,4.05590295791626
YYX,2026-03-02T14:52:26.642586,1,Spatial,14,LM_L,DLM_2,,DLM_2,2.049574375152588
YYX,2026-03-02T14:52:34.330758,1,Spatial,15,DLM_3,LM_L,,LM_L,2.9209370613098145
YYX,2026-03-02T14:52:41.626446,1,Spatial,16,DLM_2,LM_L,,DLM_2,2.405010938644409
YYX,2026-03-02T14:52:49.554851,1,Spatial,17,ULM_L,LM_C,,LM_C,3.1377949714660645
YYX,2026-03-02T14:52:56.810512,1,Spatial,18,LM_L,LM_C,,LM_L,1.877662181854248
YYX,2026-03-02T14:53:04.658739,1,Spatial,19,LM_C,DLM_3,,DLM_3,3.054826021194458
YYX,2026-03-02T14:53:11.042426,1,Spatial,20,DLM_2,ULM_L,,ULM_L,1.6440787315368652
YYX,2026-03-02T14:53:23.682984,2,Intensity,1,LM_L,ULM_L,ULM_L,,1.6805419921875
YYX,2026-03-02T14:53:30.443356,2,Intensity,2,LM_C,LM_L,LM_C,,1.907625675201416
YYX,2026-03-02T14:53:38.130262,2,Intensity,3,DLM_3,ULM_L,DLM_3,,2.3605775833129883
YYX,2026-03-02T14:53:48.242124,2,Intensity,4,LM_C,DLM_2,DLM_2,,1.8963687419891357
YYX,2026-03-02T14:53:55.330395,2,Intensity,5,DLM_2,ULM_L,ULM_L,,2.205049991607666
YYX,2026-03-02T14:54:01.978560,2,Intensity,6,DLM_2,LM_C,LM_C,,1.405669927597046
YYX,2026-03-02T14:54:11.019322,2,Intensity,7,ULM_L,LM_C,ULM_L,,2.5566773414611816
YYX,2026-03-02T14:54:17.610654,2,Intensity,8,ULM_L,LM_L,LM_L,,1.441727638244629
YYX,2026-03-02T14:54:26.370133,2,Intensity,9,DLM_3,LM_C,DLM_3,,3.9362685680389404
YYX,2026-03-02T14:54:33.018101,2,Intensity,10,DLM_3,LM_L,DLM_3,,1.8921759128570557
YYX,2026-03-02T14:54:39.514640,2,Intensity,11,DLM_2,DLM_3,DLM_3,,1.654311180114746
YYX,2026-03-02T14:54:46.338102,2,Intensity,12,LM_L,DLM_2,LM_L,,1.9610979557037354
YYX,2026-03-02T14:54:53.738970,2,Intensity,13,LM_L,LM_C,LM_C,,1.0500245094299316
YYX,2026-03-02T14:55:02.179776,2,Intensity,14,ULM_L,DLM_2,DLM_2,,3.113173723220825
YYX,2026-03-02T14:55:08.650792,2,Intensity,15,ULM_L,DLM_3,DLM_3,,1.5300428867340088
YYX,2026-03-02T14:55:18.491519,2,Intensity,16,DLM_3,DLM_2,DLM_2,,4.8345067501068115
YYX,2026-03-02T14:55:24.739010,2,Intensity,17,LM_C,DLM_3,DLM_3,,1.1152493953704834
YYX,2026-03-02T14:55:30.866848,2,Intensity,18,DLM_2,LM_L,DLM_2,,1.3678455352783203
YYX,2026-03-02T14:55:38.154398,2,Intensity,19,LM_C,ULM_L,ULM_L,,1.5863234996795654
YYX,2026-03-02T14:55:50.698504,2,Intensity,20,LM_L,DLM_3,DLM_3,,2.4537508487701416
