ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
ZHL,2026-03-08T14:43:52.024927,1,Spatial,1,DLM_2,ULM_L,,DLM_2,9.591351509094238
ZHL,2026-03-08T14:43:59.296421,1,Spatial,2,DLM_3,DLM_2,,DLM_2,1.333054542541504
ZHL,2026-03-08T14:44:08.199934,1,Spatial,3,LM_C,DLM_2,,DLM_2,3.3642451763153076
ZHL,2026-03-08T14:44:15.831605,1,Spatial,4,DLM_2,DLM_3,,DLM_3,2.5418882369995117
ZHL,2026-03-08T14:44:22.824061,1,Spatial,5,ULM_L,DLM_3,,DLM_3,1.8262622356414795
ZHL,2026-03-08T14:44:34.648058,1,Spatial,6,LM_L,ULM_L,,ULM_L,3.9579482078552246
ZHL,2026-03-08T14:44:41.743830,1,Spatial,7,LM_C,DLM_3,,DLM_3,1.801654577255249
ZHL,2026-03-08T14:44:48.415592,1,Spatial,8,LM_L,DLM_3,,DLM_3,1.819305181503296
ZHL,2026-03-08T14:44:54.959659,1,Spatial,9,ULM_L,DLM_2,,DLM_2,1.6526954174041748
ZHL,2026-03-08T14:45:02.456515,1,Spatial,10,DLM_3,LM_C,,LM_C,2.507350206375122
ZHL,2026-03-08T14:45:09.760692,1,Spatial,11,DLM_2,LM_C,,LM_C,1.566058874130249
ZHL,2026-03-08T14:45:18.808153,1,Spatial,12,LM_C,LM_L,,LM_L,3.6786043643951416
ZHL,2026-03-08T14:45:26.191836,1,Spatial,13,LM_L,DLM_2,,LM_L,2.2090775966644287
ZHL,2026-03-08T14:45:35.551858,1,Spatial,14,DLM_3,ULM_L,,DLM_3,4.308525323867798
ZHL,2026-03-08T14:45:45.703775,1,Spatial,15,ULM_L,LM_L,,LM_L,1.8652257919311523
ZHL,2026-03-08T14:45:51.823921,1,Spatial,16,DLM_2,LM_L,,LM_L,1.0905518531799316
ZHL,2026-03-08T14:45:57.967646,1,Spatial,17,LM_C,ULM_L,,LM_C,0.8053843975067139
ZHL,2026-03-08T14:46:03.696580,1,Spatial,18,LM_L,LM_C,,LM_L,0.5873892307281494
ZHL,2026-03-08T14:46:09.672279,1,Spatial,19,DLM_3,LM_L,,LM_L,1.1117887496948242
ZHL,2026-03-08T14:46:16.711992,1,Spatial,20,ULM_L,LM_C,,LM_C,1.8667888641357422
ZHL,2026-03-08T14:46:28.239286,2,Intensity,1,ULM_L,LM_C,ULM_L,,0.7942402362823486
ZHL,2026-03-08T14:46:33.776145,2,Intensity,2,DLM_3,DLM_2,DLM_3,,0.5138325691223145
ZHL,2026-03-08T14:46:39.591454,2,Intensity,3,LM_C,DLM_3,LM_C,,0.9884903430938721
ZHL,2026-03-08T14:46:45.864170,2,Intensity,4,LM_C,ULM_L,ULM_L,,1.1980481147766113
ZHL,2026-03-08T14:46:51.536401,2,Intensity,5,DLM_2,LM_L,LM_L,,0.8376579284667969
ZHL,2026-03-08T14:46:57.479013,2,Intensity,6,LM_C,DLM_2,DLM_2,,0.8491165637969971
ZHL,2026-03-08T14:47:04.279536,2,Intensity,7,LM_L,LM_C,LM_L,,1.135563850402832
ZHL,2026-03-08T14:47:10.823671,2,Intensity,8,DLM_2,ULM_L,DLM_2,,1.1744916439056396
ZHL,2026-03-08T14:47:16.176047,2,Intensity,9,DLM_3,LM_L,DLM_3,,0.39051389694213867
ZHL,2026-03-08T14:47:21.807508,2,Intensity,10,DLM_3,ULM_L,ULM_L,,0.8146388530731201
ZHL,2026-03-08T14:47:28.887710,2,Intensity,11,ULM_L,DLM_3,DLM_3,,2.0786921977996826
ZHL,2026-03-08T14:47:35.520525,2,Intensity,12,LM_L,ULM_L,ULM_L,,1.60084867477417
ZHL,2026-03-08T14:47:41.103193,2,Intensity,13,ULM_L,LM_L,ULM_L,,0.5617072582244873
ZHL,2026-03-08T14:47:46.927754,2,Intensity,14,DLM_3,LM_C,DLM_3,,0.8138902187347412
ZHL,2026-03-08T14:47:52.359256,2,Intensity,15,LM_L,DLM_2,DLM_2,,0.475830078125
ZHL,2026-03-08T14:47:57.999466,2,Intensity,16,ULM_L,DLM_2,DLM_2,,0.741530179977417
ZHL,2026-03-08T14:48:03.648237,2,Intensity,17,DLM_2,LM_C,DLM_2,,0.3765394687652588
ZHL,2026-03-08T14:48:08.879931,2,Intensity,18,LM_L,DLM_3,LM_L,,0.4934086799621582
ZHL,2026-03-08T14:48:14.423579,2,Intensity,19,DLM_2,DLM_3,DLM_3,,0.6914405822753906
ZHL,2026-03-08T14:48:20.535119,2,Intensity,20,LM_C,LM_L,LM_C,,0.6126699447631836
