ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
ZHY,2026-03-01T19:54:12.664285,1,Intensity,1,ULM_L,LM_L,ULM_L,,3.276777744293213
ZHY,2026-03-01T19:54:25.240660,1,Intensity,2,ULM_L,DLM_2,ULM_L,,1.2735803127288818
ZHY,2026-03-01T19:54:31.304111,1,Intensity,3,LM_C,DLM_3,LM_C,,0.781714677810669
ZHY,2026-03-01T19:54:38.808147,1,Intensity,4,DLM_3,ULM_L,DLM_3,,1.9513185024261475
ZHY,2026-03-01T19:54:47.264347,1,Intensity,5,LM_L,DLM_2,DLM_2,,1.2568254470825195
ZHY,2026-03-01T19:54:56.064937,1,Intensity,6,LM_C,ULM_L,LM_C,,3.4351038932800293
ZHY,2026-03-01T19:55:01.624571,1,Intensity,7,LM_L,DLM_3,LM_L,,0.7494857311248779
ZHY,2026-03-01T19:55:07.432276,1,Intensity,8,DLM_2,LM_L,DLM_2,,0.7679924964904785
ZHY,2026-03-01T19:55:14.296375,1,Intensity,9,LM_L,ULM_L,ULM_L,,0.6716248989105225
ZHY,2026-03-01T19:55:20.656751,1,Intensity,10,ULM_L,DLM_3,ULM_L,,0.8190979957580566
ZHY,2026-03-01T19:55:28.968191,1,Intensity,11,DLM_2,ULM_L,DLM_2,,1.7703146934509277
ZHY,2026-03-01T19:55:35.552494,1,Intensity,12,DLM_3,DLM_2,DLM_3,,0.6567423343658447
ZHY,2026-03-01T19:55:41.160329,1,Intensity,13,DLM_3,LM_C,DLM_3,,0.6337985992431641
ZHY,2026-03-01T19:55:49.272636,1,Intensity,14,DLM_3,LM_L,DLM_3,,0.6938080787658691
ZHY,2026-03-01T19:55:55.008378,1,Intensity,15,ULM_L,LM_C,ULM_L,,0.5367588996887207
ZHY,2026-03-01T19:56:00.609250,1,Intensity,16,LM_L,LM_C,LM_L,,0.6010305881500244
ZHY,2026-03-01T19:56:06.272694,1,Intensity,17,DLM_2,LM_C,DLM_2,,0.5043814182281494
ZHY,2026-03-01T19:56:11.872122,1,Intensity,18,LM_C,LM_L,LM_C,,0.6994175910949707
ZHY,2026-03-01T19:56:17.736586,1,Intensity,19,DLM_2,DLM_3,DLM_2,,0.7796070575714111
ZHY,2026-03-01T19:56:24.369080,1,Intensity,20,LM_C,DLM_2,DLM_2,,0.9741799831390381
ZHY,2026-03-01T19:56:41.216469,2,Spatial,1,ULM_L,DLM_3,,DLM_3,3.029311180114746
ZHY,2026-03-01T19:56:49.232972,2,Spatial,2,DLM_3,LM_C,,LM_C,2.883255958557129
ZHY,2026-03-01T19:56:58.136815,2,Spatial,3,ULM_L,LM_L,,LM_L,2.4383723735809326
ZHY,2026-03-01T19:57:03.953249,2,Spatial,4,LM_L,ULM_L,,LM_L,0.9256737232208252
ZHY,2026-03-01T19:57:11.040943,2,Spatial,5,LM_L,DLM_3,,DLM_3,1.6704542636871338
ZHY,2026-03-01T19:57:17.040133,2,Spatial,6,DLM_2,LM_C,,DLM_2,1.1571245193481445
ZHY,2026-03-01T19:57:22.416649,2,Spatial,7,LM_C,DLM_2,,DLM_2,0.4265329837799072
ZHY,2026-03-01T19:57:28.489125,2,Spatial,8,ULM_L,DLM_2,,DLM_2,1.0000724792480469
ZHY,2026-03-01T19:57:34.697086,2,Spatial,9,DLM_2,DLM_3,,DLM_3,1.169027328491211
ZHY,2026-03-01T19:57:41.384199,2,Spatial,10,DLM_2,ULM_L,,DLM_2,0.6068224906921387
ZHY,2026-03-01T19:57:47.096716,2,Spatial,11,LM_L,LM_C,,LM_C,0.7862985134124756
ZHY,2026-03-01T19:57:52.585192,2,Spatial,12,DLM_3,DLM_2,,DLM_3,0.4558236598968506
ZHY,2026-03-01T19:57:58.440907,2,Spatial,13,LM_C,DLM_3,,LM_C,0.9032747745513916
ZHY,2026-03-01T19:58:04.400063,2,Spatial,14,LM_C,LM_L,,LM_C,1.134427785873413
ZHY,2026-03-01T19:58:11.016843,2,Spatial,15,LM_L,DLM_2,,DLM_2,1.5301752090454102
ZHY,2026-03-01T19:58:18.312784,2,Spatial,16,DLM_2,LM_L,,DLM_2,2.401869297027588
ZHY,2026-03-01T19:58:24.313229,2,Spatial,17,DLM_3,ULM_L,,DLM_3,0.9793221950531006
ZHY,2026-03-01T19:58:30.760929,2,Spatial,18,DLM_3,LM_L,,DLM_3,1.3503096103668213
ZHY,2026-03-01T19:58:36.657671,2,Spatial,19,ULM_L,LM_C,,ULM_L,0.9495971202850342
ZHY,2026-03-01T19:58:42.728816,2,Spatial,20,LM_C,ULM_L,,LM_C,0.6337225437164307
