ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
ZJY,2026-03-02T13:32:04.974350,1,Intensity,1,ULM_L,DLM_2,ULM_L,,3.751401901
ZJY,2026-03-02T13:32:13.101493,1,Intensity,2,ULM_L,DLM_3,ULM_L,,2.962525129
ZJY,2026-03-02T13:32:19.405638,1,Intensity,3,LM_L,DLM_2,LM_L,,1.211181164
ZJY,2026-03-02T13:32:27.461895,1,Intensity,4,LM_C,LM_L,LM_C,,3.052593708
ZJY,2026-03-02T13:32:34.669112,1,Intensity,5,LM_L,ULM_L,ULM_L,,2.44165659
ZJY,2026-03-02T13:32:45.668975,1,Intensity,6,LM_L,DLM_3,DLM_3,,6.170634747
ZJY,2026-03-02T13:32:51.804944,1,Intensity,7,LM_L,LM_C,LM_C,,0.877138853
ZJY,2026-03-02T13:32:57.669520,1,Intensity,8,DLM_3,ULM_L,ULM_L,,1.104423761
ZJY,2026-03-02T13:33:04.022003,1,Intensity,9,DLM_3,LM_L,DLM_3,,1.58126235
ZJY,2026-03-02T13:33:12.366610,1,Intensity,10,DLM_2,ULM_L,DLM_2,,3.344192505
ZJY,2026-03-02T13:33:19.125288,1,Intensity,11,LM_C,ULM_L,ULM_L,,1.759052753
ZJY,2026-03-02T13:33:25.109473,1,Intensity,12,ULM_L,LM_C,ULM_L,,1.168764114
ZJY,2026-03-02T13:33:37.861068,1,Intensity,13,DLM_2,LM_L,DLM_2,,7.857819796
ZJY,2026-03-02T13:33:44.366146,1,Intensity,14,LM_C,DLM_2,DLM_2,,0.900390863
ZJY,2026-03-02T13:33:51.197919,1,Intensity,15,ULM_L,LM_L,ULM_L,,2.159226179
ZJY,2026-03-02T13:33:57.302223,1,Intensity,16,DLM_2,DLM_3,DLM_2,,0.99727726
ZJY,2026-03-02T13:34:03.589975,1,Intensity,17,LM_C,DLM_3,LM_C,,1.589978218
ZJY,2026-03-02T13:34:10.549667,1,Intensity,18,DLM_3,LM_C,DLM_3,,2.267737865
ZJY,2026-03-02T13:34:15.981818,1,Intensity,19,DLM_2,LM_C,DLM_2,,0.812838793
ZJY,2026-03-02T13:34:22.565897,1,Intensity,20,DLM_3,DLM_2,DLM_2,,1.79077673
ZJY,2026-03-02T13:34:53.357057,2,Spatial,1,LM_C,DLM_3,,LM_C,2.918907642
ZJY,2026-03-02T13:34:59.029039,2,Spatial,2,LM_C,ULM_L,,ULM_L,0.840961218
ZJY,2026-03-02T13:35:04.405188,2,Spatial,3,LM_C,DLM_2,,DLM_2,0.688071251
ZJY,2026-03-02T13:35:10.334432,2,Spatial,4,ULM_L,LM_C,,ULM_L,1.210319996
ZJY,2026-03-02T13:35:15.925404,2,Spatial,5,ULM_L,DLM_3,,ULM_L,0.789353132
ZJY,2026-03-02T13:35:22.085390,2,Spatial,6,DLM_3,LM_C,,LM_C,1.413288355
ZJY,2026-03-02T13:35:27.605534,2,Spatial,7,LM_L,LM_C,,LM_C,0.787737131
ZJY,2026-03-02T13:35:33.813992,2,Spatial,8,DLM_3,LM_L,,DLM_3,1.3501091
ZJY,2026-03-02T13:35:40.093756,2,Spatial,9,LM_C,LM_L,,LM_C,1.192709208
ZJY,2026-03-02T13:35:45.629551,2,Spatial,10,DLM_3,ULM_L,,ULM_L,0.806469202
ZJY,2026-03-02T13:35:51.421716,2,Spatial,11,DLM_2,DLM_3,,DLM_3,1.034725189
ZJY,2026-03-02T13:35:57.917349,2,Spatial,12,DLM_2,LM_C,,LM_C,1.828063726
ZJY,2026-03-02T13:36:05.501068,2,Spatial,13,DLM_2,LM_L,,DLM_2,2.853612185
ZJY,2026-03-02T13:36:10.868719,2,Spatial,14,LM_L,ULM_L,,ULM_L,0.380983353
ZJY,2026-03-02T13:36:16.182127,2,Spatial,15,ULM_L,DLM_2,,ULM_L,0.573119402
ZJY,2026-03-02T13:36:21.773222,2,Spatial,16,ULM_L,LM_L,,ULM_L,0.714948177
ZJY,2026-03-02T13:36:28.109301,2,Spatial,17,LM_L,DLM_3,,DLM_3,0.646970034
ZJY,2026-03-02T13:36:33.676899,2,Spatial,18,DLM_2,ULM_L,,ULM_L,0.763040543
ZJY,2026-03-02T13:36:39.229791,2,Spatial,19,DLM_3,DLM_2,,DLM_3,0.795693874
ZJY,2026-03-02T13:36:47.180642,2,Spatial,20,LM_L,DLM_2,,DLM_2,3.241133451
