ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
ZJY,2026-03-01T19:42:22.961445,1,Spatial,1,ULM_L,DLM_3,,ULM_L,4.101306677
ZJY,2026-03-01T19:42:35.232031,1,Spatial,2,LM_L,LM_C,,LM_L,6.972582817
ZJY,2026-03-01T19:42:44.912120,1,Spatial,3,LM_C,DLM_2,,LM_C,4.343127966
ZJY,2026-03-01T19:42:55.984065,1,Spatial,4,DLM_2,ULM_L,,ULM_L,4.820590258
ZJY,2026-03-01T19:43:02.015925,1,Spatial,5,DLM_2,DLM_3,,DLM_3,0.997038603
ZJY,2026-03-01T19:43:10.864725,1,Spatial,6,DLM_3,LM_C,,LM_C,2.960596561
ZJY,2026-03-01T19:43:27.320681,1,Spatial,7,ULM_L,DLM_2,,ULM_L,11.2599318
ZJY,2026-03-01T19:43:35.416409,1,Spatial,8,LM_C,DLM_3,,DLM_3,2.782971621
ZJY,2026-03-01T19:43:41.591107,1,Spatial,9,DLM_3,ULM_L,,ULM_L,1.110878706
ZJY,2026-03-01T19:43:47.864933,1,Spatial,10,LM_C,LM_L,,LM_L,1.064440727
ZJY,2026-03-01T19:43:56.079742,1,Spatial,11,LM_L,ULM_L,,ULM_L,3.141857147
ZJY,2026-03-01T19:44:06.815491,1,Spatial,12,DLM_2,LM_C,,LM_C,3.929716587
ZJY,2026-03-01T19:44:13.456244,1,Spatial,13,LM_L,DLM_3,,DLM_3,1.369076729
ZJY,2026-03-01T19:44:20.743915,1,Spatial,14,DLM_3,DLM_2,,DLM_2,1.959168196
ZJY,2026-03-01T19:44:30.216777,1,Spatial,15,LM_C,ULM_L,,LM_C,4.233567238
ZJY,2026-03-01T19:44:37.480432,1,Spatial,16,DLM_3,LM_L,,DLM_3,2.109684706
ZJY,2026-03-01T19:44:43.449201,1,Spatial,17,DLM_2,LM_L,,LM_L,1.146683455
ZJY,2026-03-01T19:44:50.951599,1,Spatial,18,ULM_L,LM_C,,LM_C,2.566029787
ZJY,2026-03-01T19:44:57.441252,1,Spatial,19,ULM_L,LM_L,,LM_L,1.190737724
ZJY,2026-03-01T19:45:04.089314,1,Spatial,20,LM_L,DLM_2,,DLM_2,1.963163853
ZJY,2026-03-01T19:45:29.920259,2,Intensity,1,DLM_2,DLM_3,DLM_2,,1.036817551
ZJY,2026-03-01T19:45:35.679633,2,Intensity,2,LM_L,LM_C,LM_L,,0.779885292
ZJY,2026-03-01T19:45:41.416688,2,Intensity,3,LM_L,DLM_2,LM_L,,0.752551317
ZJY,2026-03-01T19:45:47.768015,2,Intensity,4,ULM_L,LM_L,ULM_L,,1.499313354
ZJY,2026-03-01T19:45:55.080938,2,Intensity,5,DLM_2,LM_C,DLM_2,,2.079559326
ZJY,2026-03-01T19:46:01.080366,2,Intensity,6,DLM_2,LM_L,DLM_2,,0.782928705
ZJY,2026-03-01T19:46:07.513015,2,Intensity,7,DLM_2,ULM_L,ULM_L,,1.26119709
ZJY,2026-03-01T19:46:15.847509,2,Intensity,8,DLM_3,LM_C,LM_C,,3.461894512
ZJY,2026-03-01T19:46:22.495899,2,Intensity,9,DLM_3,DLM_2,DLM_3,,1.722676516
ZJY,2026-03-01T19:46:29.320555,2,Intensity,10,LM_L,ULM_L,ULM_L,,2.049186945
ZJY,2026-03-01T19:46:35.415757,2,Intensity,11,LM_C,DLM_3,DLM_3,,0.66345191
ZJY,2026-03-01T19:46:41.448725,2,Intensity,12,LM_C,ULM_L,ULM_L,,1.157098532
ZJY,2026-03-01T19:46:48.231820,2,Intensity,13,ULM_L,LM_C,LM_C,,1.878754616
ZJY,2026-03-01T19:46:53.952057,2,Intensity,14,ULM_L,DLM_3,ULM_L,,0.506493568
ZJY,2026-03-01T19:46:59.152206,2,Intensity,15,DLM_3,LM_L,DLM_3,,0.380716801
ZJY,2026-03-01T19:47:06.807826,2,Intensity,16,LM_C,DLM_2,DLM_2,,2.995404005
ZJY,2026-03-01T19:47:12.552857,2,Intensity,17,DLM_3,ULM_L,ULM_L,,0.850059271
ZJY,2026-03-01T19:47:18.744013,2,Intensity,18,LM_C,LM_L,LM_C,,1.348511934
ZJY,2026-03-01T19:47:24.479873,2,Intensity,19,ULM_L,DLM_2,ULM_L,,0.537872553
ZJY,2026-03-01T19:47:30.583961,2,Intensity,20,LM_L,DLM_3,DLM_3,,1.043306589
