ParticipantID,Timestamp,BlockIndex,BlockType,Trial,StimulusA,StimulusB,Chosen_Intensity,Chosen_Clarity,ReactionTime
ZYH,2026-03-02T13:50:22.437617,1,Intensity,1,LM_C,DLM_3,LM_C,,3.139162063598633
ZYH,2026-03-02T13:50:32.517729,1,Intensity,2,LM_C,DLM_2,LM_C,,3.643207550048828
ZYH,2026-03-02T13:50:50.028562,1,Intensity,3,ULM_L,DLM_3,ULM_L,,12.09306263923645
ZYH,2026-03-02T13:50:57.261211,1,Intensity,4,DLM_3,ULM_L,ULM_L,,1.3382935523986816
ZYH,2026-03-02T13:51:06.060475,1,Intensity,5,LM_L,LM_C,LM_C,,3.5777218341827393
ZYH,2026-03-02T13:51:12.277055,1,Intensity,6,DLM_3,DLM_2,DLM_3,,1.2135729789733887
ZYH,2026-03-02T13:51:19.517501,1,Intensity,7,LM_C,ULM_L,ULM_L,,2.3490147590637207
ZYH,2026-03-02T13:51:25.813376,1,Intensity,8,LM_L,DLM_2,DLM_2,,1.0707623958587646
ZYH,2026-03-02T13:51:32.293308,1,Intensity,9,DLM_2,LM_C,DLM_2,,1.1499581336975098
ZYH,2026-03-02T13:51:38.837657,1,Intensity,10,DLM_2,LM_L,DLM_2,,1.4287986755371094
ZYH,2026-03-02T13:51:45.309129,1,Intensity,11,ULM_L,LM_C,ULM_L,,1.2648024559020996
ZYH,2026-03-02T13:51:53.997060,1,Intensity,12,DLM_3,LM_L,DLM_3,,3.072566032409668
ZYH,2026-03-02T13:52:00.405538,1,Intensity,13,ULM_L,DLM_2,ULM_L,,1.0730257034301758
ZYH,2026-03-02T13:52:06.725103,1,Intensity,14,ULM_L,LM_L,ULM_L,,1.311455249786377
ZYH,2026-03-02T13:52:13.180487,1,Intensity,15,DLM_2,ULM_L,ULM_L,,1.5468695163726807
ZYH,2026-03-02T13:52:20.820706,1,Intensity,16,DLM_2,DLM_3,DLM_2,,2.6304588317871094
ZYH,2026-03-02T13:52:27.700480,1,Intensity,17,LM_L,ULM_L,ULM_L,,1.9896063804626465
ZYH,2026-03-02T13:52:33.652806,1,Intensity,18,LM_C,LM_L,LM_C,,0.9822103977203369
ZYH,2026-03-02T13:52:40.628635,1,Intensity,19,LM_L,DLM_3,DLM_3,,2.070897102355957
ZYH,2026-03-02T13:52:47.236918,1,Intensity,20,DLM_3,LM_C,DLM_3,,1.4300990104675293
ZYH,2026-03-02T13:53:16.221189,2,Spatial,1,DLM_3,DLM_2,,DLM_3,2.9156534671783447
ZYH,2026-03-02T13:53:23.108879,2,Spatial,2,DLM_3,LM_L,,LM_L,1.2715818881988525
ZYH,2026-03-02T13:53:30.053230,2,Spatial,3,DLM_3,LM_C,,DLM_3,2.00052547454834
ZYH,2026-03-02T13:53:38.501259,2,Spatial,4,LM_C,DLM_3,,LM_C,3.1711339950561523
ZYH,2026-03-02T13:53:45.500756,2,Spatial,5,ULM_L,LM_C,,LM_C,1.9008498191833496
ZYH,2026-03-02T13:53:52.620138,2,Spatial,6,LM_L,ULM_L,,LM_L,1.803370714187622
ZYH,2026-03-02T13:54:01.085259,2,Spatial,7,DLM_2,DLM_3,,DLM_2,3.3156449794769287
ZYH,2026-03-02T13:54:08.029112,2,Spatial,8,LM_L,DLM_3,,LM_L,1.5506279468536377
ZYH,2026-03-02T13:54:16.749567,2,Spatial,9,ULM_L,DLM_3,,DLM_3,3.5221107006073
ZYH,2026-03-02T13:54:23.388539,2,Spatial,10,DLM_2,ULM_L,,DLM_2,1.4355785846710205
ZYH,2026-03-02T13:54:30.301187,2,Spatial,11,DLM_2,LM_C,,LM_C,1.3171215057373047
ZYH,2026-03-02T13:54:37.156263,2,Spatial,12,LM_L,LM_C,,LM_L,1.511427640914917
ZYH,2026-03-02T13:54:43.124808,2,Spatial,13,ULM_L,LM_L,,LM_L,0.8525879383087158
ZYH,2026-03-02T13:54:48.957459,2,Spatial,14,ULM_L,DLM_2,,ULM_L,0.8296055793762207
ZYH,2026-03-02T13:54:56.484711,2,Spatial,15,LM_C,DLM_2,,LM_C,2.453892230987549
ZYH,2026-03-02T13:55:03.805140,2,Spatial,16,DLM_3,ULM_L,,ULM_L,1.949697494506836
ZYH,2026-03-02T13:55:11.860711,2,Spatial,17,LM_C,ULM_L,,ULM_L,2.8175952434539795
ZYH,2026-03-02T13:55:18.085453,2,Spatial,18,LM_C,LM_L,,LM_L,1.4021313190460205
ZYH,2026-03-02T13:55:24.036859,2,Spatial,19,DLM_2,LM_L,,DLM_2,1.0326032638549805
ZYH,2026-03-02T13:55:30.980555,2,Spatial,20,LM_L,DLM_2,,LM_L,2.0306174755096436
