ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
CJL,2026-03-11T18:17:32.320393,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,27.27751350402832
CJL,2026-03-11T18:17:41.055117,Experiment 2,threshold,2,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.7389049530029297
CJL,2026-03-11T18:17:54.503300,Experiment 2,threshold,3,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.8345844745635986
CJL,2026-03-11T18:18:02.335764,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.7466187477111816
CJL,2026-03-11T18:18:11.767023,Experiment 2,threshold,5,LM_L,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,4.230384588241577
CJL,2026-03-11T18:18:18.390043,Experiment 2,threshold,6,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5117580890655518
CJL,2026-03-11T18:18:25.566563,Experiment 2,threshold,7,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7489287853240967
CJL,2026-03-11T18:18:31.246721,Experiment 2,threshold,8,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7306375503540039
CJL,2026-03-11T18:18:37.863988,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9316575527191162
CJL,2026-03-11T18:18:43.870824,Experiment 2,threshold,10,LM_L,2,B,B,1,100.0,100.0,1.0,0,0,100.0,0.7022933959960938
CJL,2026-03-11T18:18:49.462364,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.524712085723877
CJL,2026-03-11T18:18:55.655090,Experiment 2,threshold,12,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9051389694213867
CJL,2026-03-11T18:19:02.022702,Experiment 2,threshold,13,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.4255576133728027
CJL,2026-03-11T18:19:07.615353,Experiment 2,threshold,14,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.460796594619751
CJL,2026-03-11T18:19:13.311024,Experiment 2,threshold,15,LM_L,3,B,B,1,100.0,100.0,1.0,0,0,100.0,0.3930020332336426
CJL,2026-03-11T18:19:18.934572,Experiment 2,threshold,16,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6734192371368408
CJL,2026-03-11T18:19:26.590414,Experiment 2,threshold,17,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.787360668182373
CJL,2026-03-11T18:19:32.367046,Experiment 2,threshold,18,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7377924919128418
CJL,2026-03-11T18:19:38.127497,Experiment 2,threshold,19,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6684553623199463
CJL,2026-03-11T18:19:47.366790,Experiment 2,threshold,20,LM_L,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.4662654399871826
CJL,2026-03-11T18:19:52.966856,Experiment 2,threshold,21,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6783652305603027
CJL,2026-03-11T18:20:00.399403,Experiment 2,threshold,22,DLM_3,5,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.1168479919433594
CJL,2026-03-11T18:20:05.758024,Experiment 2,threshold,23,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5734078884124756
CJL,2026-03-11T18:20:11.327169,Experiment 2,threshold,24,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.47400426864624023
CJL,2026-03-11T18:20:17.390568,Experiment 2,threshold,25,LM_L,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.6874618530273438
CJL,2026-03-11T18:20:23.191242,Experiment 2,threshold,26,ULM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.4726235866546631
CJL,2026-03-11T18:20:28.926154,Experiment 2,threshold,27,DLM_3,6,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.9120967388153076
CJL,2026-03-11T18:20:35.142800,Experiment 2,threshold,28,LM_C,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.052584171295166
CJL,2026-03-11T18:20:40.774289,Experiment 2,threshold,29,DLM_2,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.6088550090789795
CJL,2026-03-11T18:20:48.431157,Experiment 2,threshold,30,LM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,100.0,2.7491090297698975
CJL,2026-03-11T18:20:54.223133,Experiment 2,threshold,31,ULM_L,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.505678653717041
CJL,2026-03-11T18:21:01.567682,Experiment 2,threshold,32,DLM_3,7,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.710411787033081
CJL,2026-03-11T18:21:07.487156,Experiment 2,threshold,33,LM_C,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.0297136306762695
CJL,2026-03-11T18:21:13.638871,Experiment 2,threshold,34,DLM_2,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.7455706596374512
CJL,2026-03-11T18:21:19.279423,Experiment 2,threshold,35,LM_L,7,B,B,1,77.48,64.5,0.8799988776426297,1,0,100.0,0.7335646152496338
CJL,2026-03-11T18:21:24.710656,Experiment 2,threshold,36,ULM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.3386561870574951
CJL,2026-03-11T18:21:30.750798,Experiment 2,threshold,37,DLM_3,8,A,A,1,77.48,64.5,0.8799988776426297,2,1,70.99,0.4876515865325928
CJL,2026-03-11T18:21:36.670476,Experiment 2,threshold,38,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.043891191482544
CJL,2026-03-11T18:21:42.343257,Experiment 2,threshold,39,DLM_2,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.7425100803375244
CJL,2026-03-11T18:21:47.917828,Experiment 2,threshold,40,LM_L,8,A,A,1,64.5,64.5,0.7199695849279576,1,0,100.0,0.26730966567993164
CJL,2026-03-11T18:21:53.502810,Experiment 2,threshold,41,ULM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.3810770511627197
CJL,2026-03-11T18:21:58.782756,Experiment 2,threshold,42,DLM_3,9,B,B,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.2607898712158203
CJL,2026-03-11T18:22:04.317874,Experiment 2,threshold,43,LM_C,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.3786025047302246
CJL,2026-03-11T18:22:09.950205,Experiment 2,threshold,44,DLM_2,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.323688268661499
CJL,2026-03-11T18:22:15.447370,Experiment 2,threshold,45,LM_L,9,B,B,1,64.5,64.5,0.7199695849279576,1,0,100.0,0.4720916748046875
CJL,2026-03-11T18:22:21.487197,Experiment 2,threshold,46,ULM_L,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.6101522445678711
CJL,2026-03-11T18:22:29.613563,Experiment 2,threshold,47,DLM_3,10,B,B,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.4991292953491211
CJL,2026-03-11T18:22:36.782254,Experiment 2,threshold,48,LM_C,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8854987621307373
CJL,2026-03-11T18:22:42.598152,Experiment 2,threshold,49,DLM_2,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8365142345428467
CJL,2026-03-11T18:22:48.271717,Experiment 2,threshold,50,LM_L,10,A,A,1,64.5,53.83,0.7199695849279576,1,0,100.0,0.37308359146118164
CJL,2026-03-11T18:22:53.597847,Experiment 2,threshold,51,ULM_L,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.26649045944213867
CJL,2026-03-11T18:22:59.190344,Experiment 2,threshold,52,DLM_3,11,A,A,1,64.5,59.03,0.7199695849279576,2,0,70.99,0.3109776973724365
CJL,2026-03-11T18:23:04.367118,Experiment 2,threshold,53,LM_C,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.32033300399780273
CJL,2026-03-11T18:23:09.742935,Experiment 2,threshold,54,DLM_2,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.2923159599304199
CJL,2026-03-11T18:23:15.070777,Experiment 2,threshold,55,LM_L,11,B,B,1,53.83,53.83,0.5600164384351866,1,0,100.0,0.46401453018188477
CJL,2026-03-11T18:23:20.302742,Experiment 2,threshold,56,ULM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.3458104133605957
CJL,2026-03-11T18:23:25.406091,Experiment 2,threshold,57,DLM_3,12,B,B,1,59.03,59.03,0.6399480187363903,2,0,70.99,0.3116574287414551
CJL,2026-03-11T18:23:30.647352,Experiment 2,threshold,58,LM_C,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.2936873435974121
CJL,2026-03-11T18:23:36.022859,Experiment 2,threshold,59,DLM_2,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.5189409255981445
CJL,2026-03-11T18:23:41.614073,Experiment 2,threshold,60,LM_L,12,A,A,1,53.83,53.83,0.5600164384351866,1,0,100.0,0.30199408531188965
CJL,2026-03-11T18:23:47.086192,Experiment 2,threshold,61,ULM_L,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.34296321868896484
CJL,2026-03-11T18:23:52.974155,Experiment 2,threshold,62,DLM_3,13,A,A,1,59.03,59.03,0.6399480187363903,2,0,70.99,0.32665038108825684
CJL,2026-03-11T18:23:58.261593,Experiment 2,threshold,63,LM_C,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.38773679733276367
CJL,2026-03-11T18:24:03.621968,Experiment 2,threshold,64,DLM_2,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.33474159240722656
CJL,2026-03-11T18:24:08.814606,Experiment 2,threshold,65,LM_L,13,B,B,1,53.83,43.59,0.5600164384351866,1,0,100.0,0.2802872657775879
CJL,2026-03-11T18:24:15.902297,Experiment 2,threshold,66,ULM_L,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,2.173140525817871
CJL,2026-03-11T18:24:21.702140,Experiment 2,threshold,67,DLM_3,14,A,A,1,59.03,53.83,0.6399480187363903,2,0,70.99,0.2717423439025879
CJL,2026-03-11T18:24:26.774867,Experiment 2,threshold,68,LM_C,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.2671821117401123
CJL,2026-03-11T18:24:31.789970,Experiment 2,threshold,69,DLM_2,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.3920176029205322
CJL,2026-03-11T18:24:37.125582,Experiment 2,threshold,70,LM_L,14,B,B,1,43.59,43.59,0.39999109940126676,1,0,100.0,0.503467321395874
CJL,2026-03-11T18:24:42.303211,Experiment 2,threshold,71,ULM_L,15,A,A,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.3354074954986572
CJL,2026-03-11T18:24:47.655535,Experiment 2,threshold,72,DLM_3,15,B,B,1,53.83,53.83,0.5600164384351866,2,0,70.99,0.349961519241333
CJL,2026-03-11T18:24:52.893709,Experiment 2,threshold,73,LM_C,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.34730052947998047
CJL,2026-03-11T18:24:57.958346,Experiment 2,threshold,74,DLM_2,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.24523162841796875
CJL,2026-03-11T18:25:03.135028,Experiment 2,threshold,75,LM_L,15,A,A,1,43.59,43.59,0.39999109940126676,1,0,100.0,0.26578211784362793
CJL,2026-03-11T18:25:12.382192,Experiment 2,threshold,76,ULM_L,16,B,A,0,18.26,32.59,0.08003845029493402,1,1,18.26,4.178639650344849
CJL,2026-03-11T18:25:17.518618,Experiment 2,threshold,77,DLM_3,16,A,A,1,53.83,53.83,0.5600164384351866,2,0,70.99,0.26248741149902344
CJL,2026-03-11T18:25:23.310707,Experiment 2,threshold,78,LM_C,16,B,B,1,18.26,18.26,0.08003845029493402,0,0,18.26,0.9376652240753174
CJL,2026-03-11T18:25:30.238016,Experiment 2,threshold,79,DLM_2,16,B,B,1,18.26,18.26,0.08003845029493402,0,0,18.26,1.7820496559143066
CJL,2026-03-11T18:25:36.135087,Experiment 2,threshold,80,LM_L,16,A,A,1,43.59,32.59,0.39999109940126676,1,0,100.0,0.28092312812805176
CJL,2026-03-11T18:25:41.398261,Experiment 2,threshold,81,ULM_L,17,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.30948352813720703
CJL,2026-03-11T18:25:47.493803,Experiment 2,threshold,82,DLM_3,17,A,A,1,53.83,48.73,0.5600164384351866,2,0,70.99,1.104093313217163
CJL,2026-03-11T18:25:54.013400,Experiment 2,threshold,83,LM_C,17,A,B,0,18.26,32.59,0.08003845029493402,1,1,18.26,1.5244126319885254
CJL,2026-03-11T18:25:59.678623,Experiment 2,threshold,84,DLM_2,17,B,B,1,18.26,18.26,0.08003845029493402,0,0,18.26,0.7793064117431641
CJL,2026-03-11T18:26:05.373613,Experiment 2,threshold,85,LM_L,17,A,A,1,32.59,32.59,0.23995715193265368,1,0,100.0,0.6587059497833252
CJL,2026-03-11T18:26:10.454408,Experiment 2,threshold,86,ULM_L,18,B,B,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.2771737575531006
CJL,2026-03-11T18:26:15.653678,Experiment 2,threshold,87,DLM_3,18,B,B,1,48.73,48.73,0.48005617895595804,2,0,70.99,0.5227706432342529
CJL,2026-03-11T18:26:20.950227,Experiment 2,threshold,88,LM_C,18,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.4620516300201416
CJL,2026-03-11T18:26:27.661886,Experiment 2,threshold,89,DLM_2,18,B,A,0,18.26,32.59,0.08003845029493402,1,1,18.26,1.995074987411499
CJL,2026-03-11T18:26:32.829414,Experiment 2,threshold,90,LM_L,18,A,A,1,32.59,32.59,0.23995715193265368,1,0,100.0,0.37299442291259766
CJL,2026-03-11T18:26:38.277677,Experiment 2,threshold,91,ULM_L,19,B,B,1,32.59,18.26,0.23995715193265368,2,1,25.425,0.7316954135894775
CJL,2026-03-11T18:26:44.326108,Experiment 2,threshold,92,DLM_3,19,B,B,1,48.73,48.73,0.48005617895595804,2,0,70.99,1.2291622161865234
CJL,2026-03-11T18:26:49.430308,Experiment 2,threshold,93,LM_C,19,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.3823118209838867
CJL,2026-03-11T18:26:54.870344,Experiment 2,threshold,94,DLM_2,19,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.5152683258056641
CJL,2026-03-11T18:27:00.677613,Experiment 2,threshold,95,LM_L,19,B,B,1,32.59,18.26,0.23995715193265368,1,0,100.0,0.7827310562133789
CJL,2026-03-11T18:27:07.533593,Experiment 2,threshold,96,ULM_L,20,A,B,0,18.26,26.2,0.08003845029493402,3,1,23.0367,2.02801251411438
CJL,2026-03-11T18:27:12.829207,Experiment 2,threshold,97,DLM_3,20,B,B,1,48.73,43.59,0.48005617895595804,2,0,70.99,0.36448073387145996
CJL,2026-03-11T18:27:18.246069,Experiment 2,threshold,98,LM_C,20,B,B,1,32.59,18.26,0.23995715193265368,2,1,25.425,0.5350258350372314
CJL,2026-03-11T18:27:23.894379,Experiment 2,threshold,99,DLM_2,20,B,B,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.381364107131958
CJL,2026-03-11T18:27:30.453871,Experiment 2,threshold,100,LM_L,20,A,A,1,18.26,18.26,0.08003845029493402,1,0,100.0,1.8592276573181152
CJL,2026-03-11T18:27:35.773428,Experiment 2,threshold,101,ULM_L,21,B,B,1,26.2,26.2,0.16002331063879038,3,0,23.0367,0.2478954792022705
CJL,2026-03-11T18:27:40.925741,Experiment 2,threshold,102,DLM_3,21,A,A,1,43.59,43.59,0.39999109940126676,2,0,70.99,0.2921466827392578
CJL,2026-03-11T18:27:48.941227,Experiment 2,threshold,103,LM_C,21,B,A,0,18.26,26.2,0.08003845029493402,3,1,23.0367,3.030613899230957
CJL,2026-03-11T18:27:54.173475,Experiment 2,threshold,104,DLM_2,21,A,A,1,32.59,18.26,0.23995715193265368,2,1,25.425,0.3072938919067383
CJL,2026-03-11T18:27:59.446109,Experiment 2,threshold,105,LM_L,21,A,B,0,18.26,32.59,0.08003845029493402,2,1,59.13,0.24871039390563965
CJL,2026-03-11T18:28:05.038302,Experiment 2,threshold,106,ULM_L,22,A,A,1,26.2,26.2,0.16002331063879038,3,0,23.0367,0.39681339263916016
CJL,2026-03-11T18:28:11.254015,Experiment 2,threshold,107,DLM_3,22,B,B,1,43.59,43.59,0.39999109940126676,2,0,70.99,0.3903982639312744
CJL,2026-03-11T18:28:18.286147,Experiment 2,threshold,108,LM_C,22,A,A,1,26.2,26.2,0.16002331063879038,3,0,23.0367,2.1461734771728516
CJL,2026-03-11T18:28:24.589652,Experiment 2,threshold,109,DLM_2,22,B,A,0,18.26,26.2,0.08003845029493402,3,1,23.0367,1.4438724517822266
CJL,2026-03-11T18:28:29.733213,Experiment 2,threshold,110,LM_L,22,A,A,1,32.59,32.59,0.23995715193265368,2,0,59.13,0.3131120204925537
CJL,2026-03-11T18:28:34.901918,Experiment 2,threshold,111,ULM_L,23,A,A,1,26.2,18.26,0.16002331063879038,4,1,23.8275,0.2745795249938965
CJL,2026-03-11T18:28:39.854119,Experiment 2,threshold,112,DLM_3,23,A,A,1,43.59,38.28,0.39999109940126676,2,0,70.99,0.3167455196380615
CJL,2026-03-11T18:28:46.173964,Experiment 2,threshold,113,LM_C,23,B,B,1,26.2,26.2,0.16002331063879038,3,0,23.0367,1.408801794052124
CJL,2026-03-11T18:28:55.293431,Experiment 2,threshold,114,DLM_2,23,A,A,1,26.2,26.2,0.16002331063879038,3,0,23.0367,1.4912357330322266
CJL,2026-03-11T18:29:01.558184,Experiment 2,threshold,115,LM_L,23,B,B,1,32.59,32.59,0.23995715193265368,2,0,59.13,1.4556496143341064
CJL,2026-03-11T18:29:07.389266,Experiment 2,threshold,116,ULM_L,24,A,A,1,18.26,18.26,0.08003845029493402,4,0,23.8275,0.6770312786102295
CJL,2026-03-11T18:29:12.550442,Experiment 2,threshold,117,DLM_3,24,B,B,1,38.28,38.28,0.32003416260049483,2,0,70.99,0.3401336669921875
CJL,2026-03-11T18:29:19.149043,Experiment 2,threshold,118,LM_C,24,A,A,1,26.2,18.26,0.16002331063879038,4,1,23.8275,1.7471859455108643
CJL,2026-03-11T18:29:24.517824,Experiment 2,threshold,119,DLM_2,24,A,A,1,26.2,26.2,0.16002331063879038,3,0,23.0367,0.29645371437072754
CJL,2026-03-11T18:29:29.605710,Experiment 2,threshold,120,LM_L,24,A,A,1,32.59,26.2,0.23995715193265368,3,1,50.2833,0.2847278118133545
CJL,2026-03-11T18:29:36.037335,Experiment 2,threshold,121,ULM_L,25,A,A,1,18.26,18.26,0.08003845029493402,4,0,23.8275,1.3780248165130615
CJL,2026-03-11T18:29:42.396991,Experiment 2,threshold,122,DLM_3,25,A,A,1,38.28,38.28,0.32003416260049483,2,0,70.99,0.28558945655822754
CJL,2026-03-11T18:29:49.982013,Experiment 2,threshold,123,LM_C,25,B,A,0,18.26,26.2,0.08003845029493402,5,1,23.8275,2.6588077545166016
CJL,2026-03-11T18:29:55.453331,Experiment 2,threshold,124,DLM_2,25,B,B,1,26.2,18.26,0.16002331063879038,4,1,23.8275,0.3299555778503418
CJL,2026-03-11T18:30:01.597785,Experiment 2,threshold,125,LM_L,25,A,A,1,26.2,26.2,0.16002331063879038,3,0,50.2833,1.242466926574707
CJL,2026-03-11T18:30:07.949110,Experiment 2,threshold,126,ULM_L,26,A,A,1,18.26,0.0,0.08003845029493402,4,0,23.8275,0.2929072380065918
