ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
CX,2026-03-12T12:44:32.442392,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.5285840034484863
CX,2026-03-12T12:44:40.809780,Experiment 2,threshold,2,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.059150218963623
CX,2026-03-12T12:44:49.234260,Experiment 2,threshold,3,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.4831435680389404
CX,2026-03-12T12:45:02.226586,Experiment 2,threshold,4,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.8269524574279785
CX,2026-03-12T12:45:10.098411,Experiment 2,threshold,5,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.1336638927459717
CX,2026-03-12T12:45:20.074015,Experiment 2,threshold,6,ULM_L,2,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,2.2797675132751465
CX,2026-03-12T12:45:34.025818,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.4206409454345703
CX,2026-03-12T12:45:45.474182,Experiment 2,threshold,8,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.3671319484710693
CX,2026-03-12T12:45:53.994039,Experiment 2,threshold,9,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.6023271083831787
CX,2026-03-12T12:46:02.578841,Experiment 2,threshold,10,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.010867118835449
CX,2026-03-12T12:46:15.561815,Experiment 2,threshold,11,ULM_L,3,B,B,1,100.0,100.0,1.0,0,0,100.0,1.6567482948303223
CX,2026-03-12T12:46:26.362004,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.4245119094848633
CX,2026-03-12T12:46:36.313749,Experiment 2,threshold,13,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.6177871227264404
CX,2026-03-12T12:46:46.226023,Experiment 2,threshold,14,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.064570426940918
CX,2026-03-12T12:46:55.378201,Experiment 2,threshold,15,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.3565623760223389
CX,2026-03-12T12:47:08.066838,Experiment 2,threshold,16,ULM_L,4,A,A,1,100.0,100.0,1.0,0,0,100.0,4.056550025939941
CX,2026-03-12T12:47:22.314319,Experiment 2,threshold,17,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,6.921103000640869
CX,2026-03-12T12:47:29.442485,Experiment 2,threshold,18,DLM_3,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.520214319229126
CX,2026-03-12T12:47:39.825856,Experiment 2,threshold,19,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.5675852298736572
CX,2026-03-12T12:47:48.809793,Experiment 2,threshold,20,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.5844388008117676
CX,2026-03-12T12:47:59.105828,Experiment 2,threshold,21,ULM_L,5,A,A,1,100.0,77.48,1.0,1,1,100.0,0.33887314796447754
