ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
CYQ,2026-03-11T10:42:38.582159,Experiment 2,threshold,1,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,5.026292085647583
CYQ,2026-03-11T10:42:46.373253,Experiment 2,threshold,2,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.724808692932129
CYQ,2026-03-11T10:42:55.165514,Experiment 2,threshold,3,DLM_2,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,3.0959665775299072
CYQ,2026-03-11T10:43:06.933713,Experiment 2,threshold,4,ULM_L,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,6.338553190231323
CYQ,2026-03-11T10:43:22.534454,Experiment 2,threshold,5,LM_C,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,10.708107948303223
CYQ,2026-03-11T10:43:43.405996,Experiment 2,threshold,6,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,15.830850839614868
CYQ,2026-03-11T10:44:55.229510,Experiment 2,threshold,7,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4623572826385498
CYQ,2026-03-11T10:45:01.813552,Experiment 2,threshold,8,DLM_2,2,B,B,1,100.0,100.0,1.0,0,0,100.0,1.5893194675445557
CYQ,2026-03-11T10:45:10.509244,Experiment 2,threshold,9,ULM_L,2,B,B,1,100.0,100.0,1.0,0,0,100.0,3.762838840484619
CYQ,2026-03-11T10:45:17.029171,Experiment 2,threshold,10,LM_C,2,B,B,1,100.0,100.0,1.0,0,0,100.0,1.3778457641601562
CYQ,2026-03-11T10:45:23.245233,Experiment 2,threshold,11,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.3599140644073486
CYQ,2026-03-11T10:45:31.021340,Experiment 2,threshold,12,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.1667532920837402
CYQ,2026-03-11T10:45:36.829706,Experiment 2,threshold,13,DLM_2,3,B,B,1,100.0,100.0,1.0,0,0,100.0,0.9646382331848145
CYQ,2026-03-11T10:45:42.628817,Experiment 2,threshold,14,ULM_L,3,B,B,1,100.0,100.0,1.0,0,0,100.0,0.9975800514221191
CYQ,2026-03-11T10:45:48.940907,Experiment 2,threshold,15,LM_C,3,B,B,1,100.0,100.0,1.0,0,0,100.0,1.54563307762146
CYQ,2026-03-11T10:45:54.268259,Experiment 2,threshold,16,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.459364652633667
CYQ,2026-03-11T10:45:59.613126,Experiment 2,threshold,17,DLM_3,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5939431190490723
CYQ,2026-03-11T10:46:04.925664,Experiment 2,threshold,18,DLM_2,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.3296482563018799
CYQ,2026-03-11T10:46:10.101939,Experiment 2,threshold,19,ULM_L,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.3708670139312744
CYQ,2026-03-11T10:46:16.317305,Experiment 2,threshold,20,LM_C,4,B,B,1,100.0,77.48,1.0,1,1,100.0,1.344533920288086
CYQ,2026-03-11T10:46:38.749783,Experiment 2,threshold,21,LM_L,5,A,B,0,64.5,77.48,0.7199695849279576,1,1,64.5,0.0
CYQ,2026-03-11T10:46:46.773385,Experiment 2,threshold,22,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.638461112976074
CYQ,2026-03-11T10:46:51.941044,Experiment 2,threshold,23,DLM_2,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.3068969249725342
CYQ,2026-03-11T10:46:59.686311,Experiment 2,threshold,24,ULM_L,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,3.1140613555908203
CYQ,2026-03-11T10:47:04.829509,Experiment 2,threshold,25,LM_C,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.26572632789611816
CYQ,2026-03-11T10:47:09.933844,Experiment 2,threshold,26,LM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.3109428882598877
CYQ,2026-03-11T10:47:14.861885,Experiment 2,threshold,27,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.30489444732666016
CYQ,2026-03-11T10:47:20.196473,Experiment 2,threshold,28,DLM_2,6,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.4094064235687256
CYQ,2026-03-11T10:47:25.861078,Experiment 2,threshold,29,ULM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.5124597549438477
CYQ,2026-03-11T10:47:30.996652,Experiment 2,threshold,30,LM_C,6,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.3450150489807129
CYQ,2026-03-11T10:47:36.213054,Experiment 2,threshold,31,LM_L,7,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.3797414302825928
CYQ,2026-03-11T10:47:41.573413,Experiment 2,threshold,32,DLM_3,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.29176950454711914
CYQ,2026-03-11T10:47:46.940949,Experiment 2,threshold,33,DLM_2,7,A,A,1,77.48,64.5,0.8799988776426297,1,0,100.0,0.2748222351074219
CYQ,2026-03-11T10:47:52.308674,Experiment 2,threshold,34,ULM_L,7,A,A,1,77.48,64.5,0.8799988776426297,1,0,100.0,0.6722233295440674
CYQ,2026-03-11T10:47:57.749179,Experiment 2,threshold,35,LM_C,7,A,A,1,77.48,64.5,0.8799988776426297,1,0,100.0,0.3444809913635254
CYQ,2026-03-11T10:48:04.277111,Experiment 2,threshold,36,LM_L,8,B,B,1,77.48,64.5,0.8799988776426297,2,1,70.99,1.872483730316162
CYQ,2026-03-11T10:48:09.645056,Experiment 2,threshold,37,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.40068531036376953
CYQ,2026-03-11T10:48:15.765532,Experiment 2,threshold,38,DLM_2,8,A,A,1,64.5,64.5,0.7199695849279576,1,0,100.0,1.0394368171691895
CYQ,2026-03-11T10:48:21.100547,Experiment 2,threshold,39,ULM_L,8,A,A,1,64.5,64.5,0.7199695849279576,1,0,100.0,0.5371923446655273
CYQ,2026-03-11T10:48:26.604208,Experiment 2,threshold,40,LM_C,8,B,B,1,64.5,64.5,0.7199695849279576,1,0,100.0,0.8143951892852783
CYQ,2026-03-11T10:48:31.917109,Experiment 2,threshold,41,LM_L,9,A,A,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.3019697666168213
