ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
FLH,2026-03-11T20:26:57.581745,Experiment 2,threshold,1,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8388206958770752
FLH,2026-03-11T20:27:09.581816,Experiment 2,threshold,2,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,6.965471029281616
FLH,2026-03-11T20:27:16.293673,Experiment 2,threshold,3,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7129535675048828
FLH,2026-03-11T20:27:22.709204,Experiment 2,threshold,4,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4245562553405762
FLH,2026-03-11T20:27:28.733088,Experiment 2,threshold,5,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8911502361297607
FLH,2026-03-11T20:27:34.173017,Experiment 2,threshold,6,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7317967414855957
FLH,2026-03-11T20:27:39.525317,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6223664283752441
FLH,2026-03-11T20:27:44.605500,Experiment 2,threshold,8,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.3842167854309082
FLH,2026-03-11T20:27:49.870522,Experiment 2,threshold,9,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.48099780082702637
FLH,2026-03-11T20:27:55.085271,Experiment 2,threshold,10,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2961728572845459
FLH,2026-03-11T20:28:00.308782,Experiment 2,threshold,11,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.4985787868499756
FLH,2026-03-11T20:28:05.580558,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3795137405395508
FLH,2026-03-11T20:28:11.333249,Experiment 2,threshold,13,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.7805325984954834
FLH,2026-03-11T20:28:17.021628,Experiment 2,threshold,14,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.854811429977417
FLH,2026-03-11T20:28:22.213241,Experiment 2,threshold,15,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.5770063400268555
FLH,2026-03-11T20:28:28.013402,Experiment 2,threshold,16,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.0056555271148682
FLH,2026-03-11T20:28:34.772699,Experiment 2,threshold,17,LM_L,4,A,B,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.0412909984588623
FLH,2026-03-11T20:28:40.700595,Experiment 2,threshold,18,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1693086624145508
FLH,2026-03-11T20:28:48.548799,Experiment 2,threshold,19,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.3314106464385986
FLH,2026-03-11T20:28:54.676941,Experiment 2,threshold,20,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1500470638275146
FLH,2026-03-11T20:29:00.461240,Experiment 2,threshold,21,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.0581989288330078
FLH,2026-03-11T20:29:07.300223,Experiment 2,threshold,22,LM_L,5,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,2.1607353687286377
FLH,2026-03-11T20:29:31.629039,Experiment 2,threshold,23,ULM_L,5,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.706483840942383
FLH,2026-03-11T20:29:39.076401,Experiment 2,threshold,24,DLM_3,5,A,B,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.080317258834839
FLH,2026-03-11T20:29:49.830299,Experiment 2,threshold,25,LM_C,5,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,1.5552902221679688
FLH,2026-03-11T20:29:57.581225,Experiment 2,threshold,26,DLM_2,6,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,1.3804831504821777
FLH,2026-03-11T20:30:06.101306,Experiment 2,threshold,27,LM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,2.986664295196533
FLH,2026-03-11T20:30:12.285232,Experiment 2,threshold,28,ULM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,1.0784590244293213
FLH,2026-03-11T20:30:17.708891,Experiment 2,threshold,29,DLM_3,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.2429184913635254
FLH,2026-03-11T20:30:22.693514,Experiment 2,threshold,30,LM_C,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.2945442199707031
