ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
FY,2026-03-13T12:54:05.232466,Experiment 2,threshold,1,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7818279266357422
FY,2026-03-13T12:54:11.631819,Experiment 2,threshold,2,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.4866769313812256
FY,2026-03-13T12:54:18.039845,Experiment 2,threshold,3,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.3603014945983887
FY,2026-03-13T12:54:23.272818,Experiment 2,threshold,4,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.27704524993896484
FY,2026-03-13T12:54:29.031505,Experiment 2,threshold,5,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.42914271354675293
FY,2026-03-13T12:54:34.063569,Experiment 2,threshold,6,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.27846264839172363
FY,2026-03-13T12:54:39.648743,Experiment 2,threshold,7,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5594468116760254
FY,2026-03-13T12:54:44.623849,Experiment 2,threshold,8,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.32615113258361816
FY,2026-03-13T12:54:49.647642,Experiment 2,threshold,9,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.36655259132385254
FY,2026-03-13T12:54:54.607876,Experiment 2,threshold,10,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.31026673316955566
FY,2026-03-13T12:54:59.952525,Experiment 2,threshold,11,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.32242631912231445
FY,2026-03-13T12:55:05.031705,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3296501636505127
FY,2026-03-13T12:55:10.224789,Experiment 2,threshold,13,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3401784896850586
FY,2026-03-13T12:55:15.360916,Experiment 2,threshold,14,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.34168171882629395
FY,2026-03-13T12:55:21.311879,Experiment 2,threshold,15,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.1865513324737549
FY,2026-03-13T12:55:26.319704,Experiment 2,threshold,16,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.44315242767333984
FY,2026-03-13T12:55:31.927956,Experiment 2,threshold,17,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.38320469856262207
FY,2026-03-13T12:55:37.680592,Experiment 2,threshold,18,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8779332637786865
FY,2026-03-13T12:55:42.784113,Experiment 2,threshold,19,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.29554319381713867
FY,2026-03-13T12:55:47.912287,Experiment 2,threshold,20,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.28987550735473633
FY,2026-03-13T12:55:53.304308,Experiment 2,threshold,21,LM_C,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.674731969833374
FY,2026-03-13T12:55:59.080825,Experiment 2,threshold,22,LM_L,5,A,B,0,64.5,77.48,0.7199695849279576,1,1,64.5,0.9538917541503906
FY,2026-03-13T12:56:04.072294,Experiment 2,threshold,23,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3339412212371826
