ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
GJH,2026-03-11T13:57:14.667933,Experiment 2,threshold,1,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.012640953063965
GJH,2026-03-11T13:57:25.082564,Experiment 2,threshold,2,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.0980708599090576
GJH,2026-03-11T13:57:33.411098,Experiment 2,threshold,3,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.978227138519287
GJH,2026-03-11T13:57:43.162859,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7458651065826416
GJH,2026-03-11T13:57:52.371161,Experiment 2,threshold,5,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4271864891052246
GJH,2026-03-11T13:58:00.435597,Experiment 2,threshold,6,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.0019030570983887
GJH,2026-03-11T13:58:08.163407,Experiment 2,threshold,7,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7650041580200195
GJH,2026-03-11T13:58:14.915207,Experiment 2,threshold,8,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.281505823135376
GJH,2026-03-11T13:58:37.082555,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,11.344274044036865
GJH,2026-03-11T13:58:51.675539,Experiment 2,threshold,10,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,8.378946542739868
GJH,2026-03-11T13:58:59.250395,Experiment 2,threshold,11,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.1556639671325684
GJH,2026-03-11T13:59:07.026217,Experiment 2,threshold,12,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.434612512588501
GJH,2026-03-11T13:59:16.002791,Experiment 2,threshold,13,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.0455987453460693
GJH,2026-03-11T13:59:25.466454,Experiment 2,threshold,14,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.8338737487792969
GJH,2026-03-11T13:59:32.130505,Experiment 2,threshold,15,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.0560407638549805
GJH,2026-03-11T13:59:42.162320,Experiment 2,threshold,16,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,4.403503656387329
GJH,2026-03-11T13:59:49.115292,Experiment 2,threshold,17,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.7222113609313965
GJH,2026-03-11T13:59:55.674642,Experiment 2,threshold,18,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.4708633422851562
GJH,2026-03-11T14:00:02.338857,Experiment 2,threshold,19,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6604466438293457
GJH,2026-03-11T14:00:08.570431,Experiment 2,threshold,20,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.9623486995697021
GJH,2026-03-11T14:00:14.754144,Experiment 2,threshold,21,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.9396018981933594
GJH,2026-03-11T14:00:21.194623,Experiment 2,threshold,22,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.3498575687408447
GJH,2026-03-11T14:00:27.185801,Experiment 2,threshold,23,LM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8062589168548584
GJH,2026-03-11T14:00:32.898314,Experiment 2,threshold,24,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6061582565307617
GJH,2026-03-11T14:00:40.114636,Experiment 2,threshold,25,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.2932970523834229
GJH,2026-03-11T14:00:46.058895,Experiment 2,threshold,26,LM_C,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.8320486545562744
GJH,2026-03-11T14:00:54.299908,Experiment 2,threshold,27,ULM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.8726181983947754
GJH,2026-03-11T14:01:00.921947,Experiment 2,threshold,28,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.444274663925171
GJH,2026-03-11T14:01:07.122619,Experiment 2,threshold,29,DLM_2,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.1469135284423828
GJH,2026-03-11T14:01:13.298503,Experiment 2,threshold,30,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.0795097351074219
GJH,2026-03-11T14:01:20.369680,Experiment 2,threshold,31,LM_C,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.2828762531280518
GJH,2026-03-11T14:01:26.922705,Experiment 2,threshold,32,ULM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.2146658897399902
GJH,2026-03-11T14:01:34.137898,Experiment 2,threshold,33,LM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.9277682304382324
GJH,2026-03-11T14:01:41.602963,Experiment 2,threshold,34,DLM_2,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,2.528933048248291
GJH,2026-03-11T14:01:48.666714,Experiment 2,threshold,35,DLM_3,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.2472190856933594
GJH,2026-03-11T14:01:57.065792,Experiment 2,threshold,36,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,2.532676935195923
GJH,2026-03-11T14:02:03.754147,Experiment 2,threshold,37,ULM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.4614505767822266
GJH,2026-03-11T14:02:09.658766,Experiment 2,threshold,38,LM_L,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.8124465942382812
GJH,2026-03-11T14:02:15.434555,Experiment 2,threshold,39,DLM_2,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.6048874855041504
GJH,2026-03-11T14:02:21.522446,Experiment 2,threshold,40,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.7193794250488281
GJH,2026-03-11T14:02:26.874170,Experiment 2,threshold,41,LM_C,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.3222815990447998
GJH,2026-03-11T14:02:33.362033,Experiment 2,threshold,42,ULM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.9749999046325684
GJH,2026-03-11T14:02:40.890849,Experiment 2,threshold,43,LM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,1.6601736545562744
GJH,2026-03-11T14:02:46.610776,Experiment 2,threshold,44,DLM_2,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.7381865978240967
GJH,2026-03-11T14:02:52.450244,Experiment 2,threshold,45,DLM_3,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.4911494255065918
GJH,2026-03-11T14:02:58.353059,Experiment 2,threshold,46,LM_C,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8590936660766602
GJH,2026-03-11T14:03:05.714542,Experiment 2,threshold,47,ULM_L,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,2.0564491748809814
GJH,2026-03-11T14:03:12.458565,Experiment 2,threshold,48,LM_L,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.5319466590881348
GJH,2026-03-11T14:03:18.921850,Experiment 2,threshold,49,DLM_2,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.3775153160095215
GJH,2026-03-11T14:03:25.513553,Experiment 2,threshold,50,DLM_3,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.0209872722625732
GJH,2026-03-11T14:03:31.306178,Experiment 2,threshold,51,LM_C,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8520855903625488
GJH,2026-03-11T14:03:36.370176,Experiment 2,threshold,52,ULM_L,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.05908536911010742
GJH,2026-03-11T14:03:42.418713,Experiment 2,threshold,53,LM_L,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.7598891258239746
GJH,2026-03-11T14:03:48.161975,Experiment 2,threshold,54,DLM_2,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.9166984558105469
GJH,2026-03-11T14:03:53.946577,Experiment 2,threshold,55,DLM_3,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8185760974884033
GJH,2026-03-11T14:04:00.762681,Experiment 2,threshold,56,LM_C,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,1.6746070384979248
GJH,2026-03-11T14:04:07.490305,Experiment 2,threshold,57,ULM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,1.4143834114074707
GJH,2026-03-11T14:04:13.377849,Experiment 2,threshold,58,LM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,1.0091948509216309
GJH,2026-03-11T14:04:19.153677,Experiment 2,threshold,59,DLM_2,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.9460227489471436
GJH,2026-03-11T14:04:25.288884,Experiment 2,threshold,60,DLM_3,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.8754065036773682
GJH,2026-03-11T14:04:31.922350,Experiment 2,threshold,61,LM_C,13,B,A,0,32.59,43.59,0.23995715193265368,1,1,32.59,1.2287755012512207
GJH,2026-03-11T14:04:37.754036,Experiment 2,threshold,62,ULM_L,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.6961474418640137
GJH,2026-03-11T14:04:45.025441,Experiment 2,threshold,63,LM_L,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,2.1035802364349365
GJH,2026-03-11T14:04:51.466507,Experiment 2,threshold,64,DLM_2,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.1285531520843506
GJH,2026-03-11T14:04:57.785722,Experiment 2,threshold,65,DLM_3,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.9177000522613525
GJH,2026-03-11T14:05:03.882167,Experiment 2,threshold,66,LM_C,14,B,B,1,43.59,43.59,0.39999109940126676,1,0,32.59,1.1073944568634033
GJH,2026-03-11T14:05:10.497347,Experiment 2,threshold,67,ULM_L,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.3797240257263184
GJH,2026-03-11T14:05:16.458269,Experiment 2,threshold,68,LM_L,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.8810968399047852
GJH,2026-03-11T14:05:23.554996,Experiment 2,threshold,69,DLM_2,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,2.0392329692840576
GJH,2026-03-11T14:05:29.770193,Experiment 2,threshold,70,DLM_3,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.7230303287506104
GJH,2026-03-11T14:05:35.755060,Experiment 2,threshold,71,LM_C,15,A,A,1,43.59,43.59,0.39999109940126676,1,0,32.59,1.0224058628082275
GJH,2026-03-11T14:05:41.610420,Experiment 2,threshold,72,ULM_L,15,A,A,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.9750685691833496
GJH,2026-03-11T14:05:47.681384,Experiment 2,threshold,73,LM_L,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,1.133610725402832
GJH,2026-03-11T14:05:54.242080,Experiment 2,threshold,74,DLM_2,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.9672324657440186
GJH,2026-03-11T14:05:59.985805,Experiment 2,threshold,75,DLM_3,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.7194418907165527
