ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
GYX,2026-03-11T19:59:06.553605,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.018211841583252
GYX,2026-03-11T19:59:12.305747,Experiment 2,threshold,2,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.3459458351135254
GYX,2026-03-11T19:59:17.809704,Experiment 2,threshold,3,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.536433219909668
GYX,2026-03-11T19:59:23.136747,Experiment 2,threshold,4,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.24465346336364746
GYX,2026-03-11T19:59:28.216698,Experiment 2,threshold,5,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.30899667739868164
GYX,2026-03-11T19:59:33.505619,Experiment 2,threshold,6,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2543675899505615
GYX,2026-03-11T19:59:38.881052,Experiment 2,threshold,7,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.3100132942199707
GYX,2026-03-11T19:59:44.658235,Experiment 2,threshold,8,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8086097240447998
GYX,2026-03-11T19:59:52.728829,Experiment 2,threshold,9,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.3283205032348633
GYX,2026-03-11T19:59:58.608864,Experiment 2,threshold,10,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.26621007919311523
GYX,2026-03-11T20:00:03.776080,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3504807949066162
GYX,2026-03-11T20:00:08.689362,Experiment 2,threshold,12,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.02344655990600586
GYX,2026-03-11T20:00:13.881114,Experiment 2,threshold,13,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.13199186325073242
GYX,2026-03-11T20:00:19.017437,Experiment 2,threshold,14,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2602541446685791
GYX,2026-03-11T20:00:24.417203,Experiment 2,threshold,15,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2643141746520996
GYX,2026-03-11T20:00:29.456981,Experiment 2,threshold,16,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2861208915710449
GYX,2026-03-11T20:00:34.528488,Experiment 2,threshold,17,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2694664001464844
GYX,2026-03-11T20:00:39.825868,Experiment 2,threshold,18,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5945713520050049
GYX,2026-03-11T20:00:44.976426,Experiment 2,threshold,19,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3007843494415283
GYX,2026-03-11T20:00:50.081064,Experiment 2,threshold,20,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3368215560913086
GYX,2026-03-11T20:00:55.185162,Experiment 2,threshold,21,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.31603145599365234
GYX,2026-03-11T20:01:00.793990,Experiment 2,threshold,22,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7735545635223389
GYX,2026-03-11T20:01:06.024883,Experiment 2,threshold,23,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2993178367614746
GYX,2026-03-11T20:01:11.448297,Experiment 2,threshold,24,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2842283248901367
GYX,2026-03-11T20:01:16.592675,Experiment 2,threshold,25,LM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2769603729248047
