ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
HWC,2026-03-12T11:25:42.252688,Experiment 2,threshold,1,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.581054449081421
HWC,2026-03-12T11:25:48.068275,Experiment 2,threshold,2,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.39513635635375977
HWC,2026-03-12T11:25:53.788193,Experiment 2,threshold,3,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.34758567810058594
HWC,2026-03-12T11:25:59.165298,Experiment 2,threshold,4,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.26613688468933105
HWC,2026-03-12T11:26:04.301481,Experiment 2,threshold,5,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2515730857849121
HWC,2026-03-12T11:26:09.413708,Experiment 2,threshold,6,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.25792527198791504
HWC,2026-03-12T11:26:14.917174,Experiment 2,threshold,7,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2560892105102539
HWC,2026-03-12T11:26:19.926170,Experiment 2,threshold,8,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.28825879096984863
HWC,2026-03-12T11:26:24.925166,Experiment 2,threshold,9,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.22035622596740723
HWC,2026-03-12T11:26:29.908214,Experiment 2,threshold,10,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2513906955718994
HWC,2026-03-12T11:26:34.964660,Experiment 2,threshold,11,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.18039774894714355
HWC,2026-03-12T11:26:39.933043,Experiment 2,threshold,12,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2860074043273926
HWC,2026-03-12T11:26:45.660906,Experiment 2,threshold,13,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.8585987091064453
HWC,2026-03-12T11:26:50.596909,Experiment 2,threshold,14,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.281923770904541
HWC,2026-03-12T11:26:55.645575,Experiment 2,threshold,15,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.28614377975463867
HWC,2026-03-12T11:27:01.069187,Experiment 2,threshold,16,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3795356750488281
HWC,2026-03-12T11:27:06.060319,Experiment 2,threshold,17,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.25962376594543457
HWC,2026-03-12T11:27:11.077421,Experiment 2,threshold,18,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.24825191497802734
HWC,2026-03-12T11:27:16.012604,Experiment 2,threshold,19,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3006565570831299
HWC,2026-03-12T11:27:21.013141,Experiment 2,threshold,20,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.29405808448791504
HWC,2026-03-12T11:27:25.941189,Experiment 2,threshold,21,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.24695944786071777
HWC,2026-03-12T11:27:30.916344,Experiment 2,threshold,22,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2907683849334717
HWC,2026-03-12T11:27:36.028867,Experiment 2,threshold,23,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4338502883911133
HWC,2026-03-12T11:27:41.445750,Experiment 2,threshold,24,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3229029178619385
HWC,2026-03-12T11:27:46.684411,Experiment 2,threshold,25,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3782370090484619
HWC,2026-03-12T11:27:51.843967,Experiment 2,threshold,26,DLM_2,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.28180575370788574
HWC,2026-03-12T11:27:56.924844,Experiment 2,threshold,27,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.26937389373779297
HWC,2026-03-12T11:28:01.980821,Experiment 2,threshold,28,LM_C,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.34218502044677734
HWC,2026-03-12T11:28:06.964240,Experiment 2,threshold,29,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.3086273670196533
HWC,2026-03-12T11:28:12.052732,Experiment 2,threshold,30,ULM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.275618314743042
HWC,2026-03-12T11:28:17.340965,Experiment 2,threshold,31,DLM_2,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.27256274223327637
HWC,2026-03-12T11:28:22.293288,Experiment 2,threshold,32,DLM_3,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.22717666625976562
HWC,2026-03-12T11:28:27.492901,Experiment 2,threshold,33,LM_C,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.23055410385131836
HWC,2026-03-12T11:28:32.556859,Experiment 2,threshold,34,LM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.43590283393859863
HWC,2026-03-12T11:28:37.556984,Experiment 2,threshold,35,ULM_L,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.24799656867980957
HWC,2026-03-12T11:28:42.452636,Experiment 2,threshold,36,DLM_2,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.2367408275604248
HWC,2026-03-12T11:28:47.645394,Experiment 2,threshold,37,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.3032379150390625
HWC,2026-03-12T11:28:52.708921,Experiment 2,threshold,38,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.337526798248291
HWC,2026-03-12T11:28:57.629177,Experiment 2,threshold,39,LM_L,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.32858753204345703
HWC,2026-03-12T11:29:02.596879,Experiment 2,threshold,40,ULM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.26682400703430176
HWC,2026-03-12T11:29:07.581106,Experiment 2,threshold,41,DLM_2,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.35863399505615234
HWC,2026-03-12T11:29:12.884731,Experiment 2,threshold,42,DLM_3,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.312485933303833
HWC,2026-03-12T11:29:18.236918,Experiment 2,threshold,43,LM_C,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.6413886547088623
HWC,2026-03-12T11:29:23.404726,Experiment 2,threshold,44,LM_L,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.30179429054260254
HWC,2026-03-12T11:29:28.661193,Experiment 2,threshold,45,ULM_L,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.2519097328186035
HWC,2026-03-12T11:29:33.709081,Experiment 2,threshold,46,DLM_2,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.36998677253723145
HWC,2026-03-12T11:29:38.701787,Experiment 2,threshold,47,DLM_3,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.3289361000061035
HWC,2026-03-12T11:29:43.812006,Experiment 2,threshold,48,LM_C,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.3489809036254883
HWC,2026-03-12T11:29:48.748662,Experiment 2,threshold,49,LM_L,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.2909665107727051
HWC,2026-03-12T11:29:53.948609,Experiment 2,threshold,50,ULM_L,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.5082259178161621
HWC,2026-03-12T11:29:59.036151,Experiment 2,threshold,51,DLM_2,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.24963760375976562
HWC,2026-03-12T11:30:04.421184,Experiment 2,threshold,52,DLM_3,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.2500607967376709
HWC,2026-03-12T11:30:09.700260,Experiment 2,threshold,53,LM_C,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.5841057300567627
HWC,2026-03-12T11:30:15.212580,Experiment 2,threshold,54,LM_L,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.3756594657897949
HWC,2026-03-12T11:30:20.268335,Experiment 2,threshold,55,ULM_L,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.3576517105102539
HWC,2026-03-12T11:30:25.196634,Experiment 2,threshold,56,DLM_2,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.22336983680725098
HWC,2026-03-12T11:30:30.237419,Experiment 2,threshold,57,DLM_3,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.29265642166137695
HWC,2026-03-12T11:30:35.220929,Experiment 2,threshold,58,LM_C,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.2594318389892578
HWC,2026-03-12T11:30:40.132885,Experiment 2,threshold,59,LM_L,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.283336877822876
HWC,2026-03-12T11:30:45.277141,Experiment 2,threshold,60,ULM_L,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.4353957176208496
HWC,2026-03-12T11:30:51.212505,Experiment 2,threshold,61,DLM_2,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.0780296325683594
HWC,2026-03-12T11:30:56.756278,Experiment 2,threshold,62,DLM_3,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.6212689876556396
HWC,2026-03-12T11:31:01.677729,Experiment 2,threshold,63,LM_C,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.3475527763366699
HWC,2026-03-12T11:31:07.316192,Experiment 2,threshold,64,LM_L,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.9798808097839355
HWC,2026-03-12T11:31:12.596452,Experiment 2,threshold,65,ULM_L,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.29541563987731934
HWC,2026-03-12T11:31:17.500858,Experiment 2,threshold,66,DLM_2,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.35101819038391113
HWC,2026-03-12T11:31:22.533167,Experiment 2,threshold,67,DLM_3,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.2732236385345459
HWC,2026-03-12T11:31:28.492780,Experiment 2,threshold,68,LM_C,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.9234797954559326
HWC,2026-03-12T11:31:34.188733,Experiment 2,threshold,69,LM_L,14,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.6896257400512695
HWC,2026-03-12T11:31:39.340394,Experiment 2,threshold,70,ULM_L,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.28183913230895996
HWC,2026-03-12T11:31:44.404834,Experiment 2,threshold,71,DLM_2,15,A,A,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.24831914901733398
HWC,2026-03-12T11:31:49.644838,Experiment 2,threshold,72,DLM_3,15,A,B,0,32.59,43.59,0.23995715193265368,1,1,32.59,0.4969632625579834
HWC,2026-03-12T11:31:54.724565,Experiment 2,threshold,73,LM_C,15,A,A,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.3721914291381836
HWC,2026-03-12T11:32:00.476924,Experiment 2,threshold,74,LM_L,15,B,B,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.7243695259094238
HWC,2026-03-12T11:32:05.451882,Experiment 2,threshold,75,ULM_L,15,A,A,1,32.59,18.26,0.23995715193265368,0,0,18.26,0.2218782901763916
HWC,2026-03-12T11:32:11.124671,Experiment 2,threshold,76,DLM_2,16,A,B,0,18.26,32.59,0.08003845029493402,1,1,18.26,0.9586198329925537
HWC,2026-03-12T11:32:16.397221,Experiment 2,threshold,77,DLM_3,16,B,B,1,43.59,43.59,0.39999109940126676,1,0,32.59,0.628227710723877
HWC,2026-03-12T11:32:21.469041,Experiment 2,threshold,78,LM_C,16,A,A,1,18.26,18.26,0.08003845029493402,0,0,18.26,0.27448368072509766
HWC,2026-03-12T11:32:27.668778,Experiment 2,threshold,79,LM_L,16,A,B,0,18.26,32.59,0.08003845029493402,1,1,18.26,1.403304100036621
HWC,2026-03-12T11:32:33.381479,Experiment 2,threshold,80,ULM_L,16,A,A,1,18.26,18.26,0.08003845029493402,0,0,18.26,1.0712356567382812
HWC,2026-03-12T11:32:38.404904,Experiment 2,threshold,81,DLM_2,17,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.33833789825439453
HWC,2026-03-12T11:32:43.708373,Experiment 2,threshold,82,DLM_3,17,A,A,1,43.59,43.59,0.39999109940126676,1,0,32.59,0.4875152111053467
HWC,2026-03-12T11:32:48.964992,Experiment 2,threshold,83,LM_C,17,B,A,0,18.26,32.59,0.08003845029493402,1,1,18.26,0.5259888172149658
HWC,2026-03-12T11:32:55.316508,Experiment 2,threshold,84,LM_L,17,B,A,0,32.59,43.59,0.23995715193265368,1,0,18.26,1.4461948871612549
HWC,2026-03-12T11:33:01.212945,Experiment 2,threshold,85,ULM_L,17,B,B,1,18.26,18.26,0.08003845029493402,0,0,18.26,0.40732359886169434
HWC,2026-03-12T11:33:07.307999,Experiment 2,threshold,86,DLM_2,18,B,A,0,32.59,43.59,0.23995715193265368,1,0,18.26,1.2581679821014404
HWC,2026-03-12T11:33:12.572480,Experiment 2,threshold,87,DLM_3,18,A,A,1,43.59,32.59,0.39999109940126676,2,1,38.09,0.30853724479675293
HWC,2026-03-12T11:33:18.572738,Experiment 2,threshold,88,LM_C,18,A,A,1,32.59,32.59,0.23995715193265368,1,0,18.26,1.2701869010925293
HWC,2026-03-12T11:33:23.693501,Experiment 2,threshold,89,LM_L,18,A,A,1,43.59,43.59,0.39999109940126676,1,0,18.26,0.24483966827392578
HWC,2026-03-12T11:33:29.541363,Experiment 2,threshold,90,ULM_L,18,B,B,1,18.26,0.0,0.08003845029493402,0,0,0.0,0.9690463542938232
HWC,2026-03-12T11:33:34.788886,Experiment 2,threshold,91,DLM_2,19,B,B,1,43.59,43.59,0.39999109940126676,1,0,18.26,0.4369807243347168
HWC,2026-03-12T11:33:40.181292,Experiment 2,threshold,92,DLM_3,19,A,A,1,32.59,32.59,0.23995715193265368,2,0,38.09,0.4008669853210449
HWC,2026-03-12T11:33:45.556570,Experiment 2,threshold,93,LM_C,19,B,B,1,32.59,32.59,0.23995715193265368,1,0,18.26,0.6198210716247559
HWC,2026-03-12T11:33:53.181017,Experiment 2,threshold,94,LM_L,19,A,A,1,43.59,43.59,0.39999109940126676,1,0,18.26,1.765174150466919
HWC,2026-03-12T11:33:58.701040,Experiment 2,threshold,95,ULM_L,19,A,B,0,0.0,26.2,0.0,1,1,0.0,0.6759068965911865
HWC,2026-03-12T11:34:03.876807,Experiment 2,threshold,96,DLM_2,20,A,A,1,43.59,43.59,0.39999109940126676,1,0,18.26,0.3485703468322754
HWC,2026-03-12T11:34:09.260798,Experiment 2,threshold,97,DLM_3,20,A,A,1,32.59,32.59,0.23995715193265368,2,0,38.09,0.5055694580078125
HWC,2026-03-12T11:34:15.068816,Experiment 2,threshold,98,LM_C,20,A,A,1,32.59,18.26,0.23995715193265368,2,1,25.425,1.0302293300628662
HWC,2026-03-12T11:34:19.997120,Experiment 2,threshold,99,LM_L,20,B,B,1,43.59,32.59,0.39999109940126676,2,1,30.925,0.24955415725708008
HWC,2026-03-12T11:34:25.195633,Experiment 2,threshold,100,ULM_L,20,B,B,1,26.2,26.2,0.16002331063879038,1,0,0.0,0.4201235771179199
HWC,2026-03-12T11:34:30.908475,Experiment 2,threshold,101,DLM_2,21,B,B,1,43.59,32.59,0.39999109940126676,2,1,30.925,0.9751846790313721
HWC,2026-03-12T11:34:36.236414,Experiment 2,threshold,102,DLM_3,21,A,A,1,32.59,26.2,0.23995715193265368,2,0,38.09,0.616405725479126
HWC,2026-03-12T11:34:43.165328,Experiment 2,threshold,103,LM_C,21,B,B,1,18.26,18.26,0.08003845029493402,2,0,25.425,0.0
HWC,2026-03-12T11:34:48.988996,Experiment 2,threshold,104,LM_L,21,A,B,0,32.59,38.28,0.23995715193265368,3,1,31.48,1.164313554763794
HWC,2026-03-12T11:34:54.132274,Experiment 2,threshold,105,ULM_L,21,B,B,1,26.2,26.2,0.16002331063879038,1,0,0.0,0.3271787166595459
HWC,2026-03-12T11:34:59.292690,Experiment 2,threshold,106,DLM_2,22,A,A,1,32.59,32.59,0.23995715193265368,2,0,30.925,0.46834778785705566
HWC,2026-03-12T11:35:05.276622,Experiment 2,threshold,107,DLM_3,22,A,B,0,26.2,32.59,0.16002331063879038,3,1,34.1267,1.1206424236297607
HWC,2026-03-12T11:35:10.499834,Experiment 2,threshold,108,LM_C,22,B,A,0,18.26,26.2,0.08003845029493402,3,1,23.0367,0.34125757217407227
HWC,2026-03-12T11:35:16.876662,Experiment 2,threshold,109,LM_L,22,A,B,0,38.28,43.59,0.32003416260049483,3,0,31.48,1.4019298553466797
HWC,2026-03-12T11:35:22.356205,Experiment 2,threshold,110,ULM_L,22,B,B,1,26.2,0.0,0.16002331063879038,2,1,13.1,0.6696443557739258
HWC,2026-03-12T11:35:28.332398,Experiment 2,threshold,111,DLM_2,23,A,A,1,32.59,32.59,0.23995715193265368,2,0,30.925,0.5778610706329346
HWC,2026-03-12T11:35:35.332132,Experiment 2,threshold,112,DLM_3,23,A,A,1,32.59,32.59,0.23995715193265368,3,0,34.1267,0.3182070255279541
HWC,2026-03-12T11:35:41.021202,Experiment 2,threshold,113,LM_C,23,A,B,0,26.2,32.59,0.16002331063879038,3,0,23.0367,0.7327125072479248
HWC,2026-03-12T11:35:46.116469,Experiment 2,threshold,114,LM_L,23,B,B,1,43.59,43.59,0.39999109940126676,3,0,31.48,0.3221104145050049
HWC,2026-03-12T11:35:51.732233,Experiment 2,threshold,115,ULM_L,23,B,A,0,0.0,18.26,0.0,3,1,8.7333,0.9557406902313232
HWC,2026-03-12T11:35:57.868018,Experiment 2,threshold,116,DLM_2,24,B,B,1,32.59,26.2,0.23995715193265368,2,0,30.925,1.523688554763794
HWC,2026-03-12T11:36:03.125153,Experiment 2,threshold,117,DLM_3,24,B,B,1,32.59,32.59,0.23995715193265368,3,0,34.1267,0.49588632583618164
HWC,2026-03-12T11:36:08.276585,Experiment 2,threshold,118,LM_C,24,B,B,1,32.59,32.59,0.23995715193265368,3,0,23.0367,0.44819045066833496
HWC,2026-03-12T11:36:13.476549,Experiment 2,threshold,119,LM_L,24,A,B,0,43.59,48.73,0.39999109940126676,3,0,31.48,0.44343090057373047
HWC,2026-03-12T11:36:19.524735,Experiment 2,threshold,120,ULM_L,24,B,A,0,18.26,26.2,0.08003845029493402,3,0,8.7333,1.3528308868408203
HWC,2026-03-12T11:36:24.661370,Experiment 2,threshold,121,DLM_2,25,B,A,0,26.2,32.59,0.16002331063879038,3,1,29.35,0.30081725120544434
HWC,2026-03-12T11:36:30.044776,Experiment 2,threshold,122,DLM_3,25,A,A,1,32.59,26.2,0.23995715193265368,4,1,33.7425,0.33358216285705566
HWC,2026-03-12T11:36:35.188826,Experiment 2,threshold,123,LM_C,25,B,B,1,32.59,32.59,0.23995715193265368,3,0,23.0367,0.38680267333984375
HWC,2026-03-12T11:36:40.469050,Experiment 2,threshold,124,LM_L,25,A,A,1,48.73,48.73,0.48005617895595804,3,0,31.48,0.5854744911193848
HWC,2026-03-12T11:36:46.708805,Experiment 2,threshold,125,ULM_L,25,A,A,1,26.2,26.2,0.16002331063879038,3,0,8.7333,0.46349525451660156
HWC,2026-03-12T11:36:53.085129,Experiment 2,threshold,126,DLM_2,26,A,A,1,32.59,32.59,0.23995715193265368,3,0,29.35,1.6200878620147705
HWC,2026-03-12T11:36:59.100659,Experiment 2,threshold,127,DLM_3,26,B,B,1,26.2,26.2,0.16002331063879038,4,0,33.7425,0.8586947917938232
HWC,2026-03-12T11:37:04.684841,Experiment 2,threshold,128,LM_C,26,B,B,1,32.59,26.2,0.23995715193265368,4,1,25.425,0.43059349060058594
HWC,2026-03-12T11:37:09.916026,Experiment 2,threshold,129,LM_L,26,A,A,1,48.73,48.73,0.48005617895595804,3,0,31.48,0.4892256259918213
