ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
HZQ,2026-03-11T19:32:19.301434,Experiment 2,threshold,1,DLM_2,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,13.818835496902466
HZQ,2026-03-11T19:32:29.012766,Experiment 2,threshold,2,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.439842939376831
HZQ,2026-03-11T19:32:38.709077,Experiment 2,threshold,3,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.281709432601929
HZQ,2026-03-11T19:32:46.021986,Experiment 2,threshold,4,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.8252170085906982
HZQ,2026-03-11T19:32:52.908366,Experiment 2,threshold,5,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.0505638122558594
HZQ,2026-03-11T19:32:59.372159,Experiment 2,threshold,6,DLM_2,2,B,B,1,100.0,100.0,1.0,0,0,100.0,1.415231466293335
HZQ,2026-03-11T19:33:05.613008,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.4795267581939697
HZQ,2026-03-11T19:33:14.597458,Experiment 2,threshold,8,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.206354856491089
HZQ,2026-03-11T19:33:21.588614,Experiment 2,threshold,9,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.501241683959961
HZQ,2026-03-11T19:33:28.549654,Experiment 2,threshold,10,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.0543968677520752
HZQ,2026-03-11T19:33:34.237037,Experiment 2,threshold,11,DLM_2,3,A,A,1,100.0,100.0,1.0,0,0,100.0,0.4681520462036133
HZQ,2026-03-11T19:33:43.340533,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,3.793785333633423
HZQ,2026-03-11T19:33:49.005261,Experiment 2,threshold,13,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.33364200592041016
HZQ,2026-03-11T19:33:54.604890,Experiment 2,threshold,14,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.33522605895996094
HZQ,2026-03-11T19:34:00.581117,Experiment 2,threshold,15,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9057319164276123
HZQ,2026-03-11T19:34:06.339547,Experiment 2,threshold,16,DLM_2,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.6592676639556885
HZQ,2026-03-11T19:34:11.932201,Experiment 2,threshold,17,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5058178901672363
HZQ,2026-03-11T19:34:17.236119,Experiment 2,threshold,18,DLM_3,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3330106735229492
HZQ,2026-03-11T19:34:22.845537,Experiment 2,threshold,19,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5495157241821289
HZQ,2026-03-11T19:34:28.147593,Experiment 2,threshold,20,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.24228715896606445
HZQ,2026-03-11T19:34:33.653175,Experiment 2,threshold,21,DLM_2,5,A,A,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.34688591957092285
HZQ,2026-03-11T19:34:39.421199,Experiment 2,threshold,22,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7893023490905762
HZQ,2026-03-11T19:34:47.036274,Experiment 2,threshold,23,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.185788631439209
HZQ,2026-03-11T19:34:52.780344,Experiment 2,threshold,24,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5541703701019287
HZQ,2026-03-11T19:34:58.652255,Experiment 2,threshold,25,LM_C,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.28629493713378906
HZQ,2026-03-11T19:35:04.099312,Experiment 2,threshold,26,DLM_2,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,100.0,0.381359338760376
HZQ,2026-03-11T19:35:09.764580,Experiment 2,threshold,27,LM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.40674400329589844
HZQ,2026-03-11T19:35:15.483831,Experiment 2,threshold,28,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.445387601852417
HZQ,2026-03-11T19:35:20.964155,Experiment 2,threshold,29,ULM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.2812073230743408
HZQ,2026-03-11T19:35:26.859050,Experiment 2,threshold,30,LM_C,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.5979063510894775
HZQ,2026-03-11T19:35:34.148215,Experiment 2,threshold,31,DLM_2,7,A,A,1,77.48,64.5,0.8799988776426297,1,0,100.0,2.307880401611328
HZQ,2026-03-11T19:35:43.172106,Experiment 2,threshold,32,LM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,3.670903205871582
HZQ,2026-03-11T19:35:49.892196,Experiment 2,threshold,33,DLM_3,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.39522576332092285
HZQ,2026-03-11T19:35:55.188565,Experiment 2,threshold,34,ULM_L,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.309556245803833
HZQ,2026-03-11T19:36:01.132775,Experiment 2,threshold,35,LM_C,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.35689687728881836
HZQ,2026-03-11T19:36:07.549926,Experiment 2,threshold,36,DLM_2,8,A,A,1,64.5,64.5,0.7199695849279576,1,0,100.0,1.3439061641693115
HZQ,2026-03-11T19:36:13.171971,Experiment 2,threshold,37,LM_L,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.38082408905029297
HZQ,2026-03-11T19:36:19.076507,Experiment 2,threshold,38,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.36545538902282715
HZQ,2026-03-11T19:36:33.925323,Experiment 2,threshold,39,ULM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,9.55873417854309
HZQ,2026-03-11T19:36:39.740985,Experiment 2,threshold,40,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.8544657230377197
HZQ,2026-03-11T19:36:45.964427,Experiment 2,threshold,41,DLM_2,9,A,A,1,64.5,64.5,0.7199695849279576,1,0,100.0,0.35611772537231445
HZQ,2026-03-11T19:36:52.699697,Experiment 2,threshold,42,LM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,1.3958871364593506
HZQ,2026-03-11T19:36:57.907980,Experiment 2,threshold,43,DLM_3,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.3643310070037842
HZQ,2026-03-11T19:37:03.364411,Experiment 2,threshold,44,ULM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.27057957649230957
HZQ,2026-03-11T19:37:08.964056,Experiment 2,threshold,45,LM_C,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.7131433486938477
HZQ,2026-03-11T19:37:16.124367,Experiment 2,threshold,46,DLM_2,10,B,B,1,64.5,53.83,0.7199695849279576,1,0,100.0,0.37210774421691895
HZQ,2026-03-11T19:37:22.955835,Experiment 2,threshold,47,LM_L,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.8118526935577393
HZQ,2026-03-11T19:37:29.668480,Experiment 2,threshold,48,DLM_3,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.7562944889068604
HZQ,2026-03-11T19:37:36.147845,Experiment 2,threshold,49,ULM_L,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.3713622093200684
HZQ,2026-03-11T19:37:41.244443,Experiment 2,threshold,50,LM_C,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.2530827522277832
HZQ,2026-03-11T19:37:47.428017,Experiment 2,threshold,51,DLM_2,11,B,B,1,53.83,53.83,0.5600164384351866,1,0,100.0,1.3743314743041992
HZQ,2026-03-11T19:37:52.963952,Experiment 2,threshold,52,LM_L,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.39914679527282715
HZQ,2026-03-11T19:37:58.540331,Experiment 2,threshold,53,DLM_3,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.44503045082092285
HZQ,2026-03-11T19:38:04.379722,Experiment 2,threshold,54,ULM_L,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.25936031341552734
HZQ,2026-03-11T19:38:10.244575,Experiment 2,threshold,55,LM_C,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.6055130958557129
HZQ,2026-03-11T19:38:15.899968,Experiment 2,threshold,56,DLM_2,12,A,A,1,53.83,53.83,0.5600164384351866,1,0,100.0,0.43610429763793945
HZQ,2026-03-11T19:38:21.916107,Experiment 2,threshold,57,LM_L,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.8590288162231445
HZQ,2026-03-11T19:38:27.252813,Experiment 2,threshold,58,DLM_3,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.28208184242248535
HZQ,2026-03-11T19:38:32.845247,Experiment 2,threshold,59,ULM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.2885627746582031
HZQ,2026-03-11T19:38:38.324034,Experiment 2,threshold,60,LM_C,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.5598890781402588
HZQ,2026-03-11T19:38:44.444142,Experiment 2,threshold,61,DLM_2,13,B,B,1,53.83,43.59,0.5600164384351866,1,0,100.0,0.8606150150299072
HZQ,2026-03-11T19:38:54.620410,Experiment 2,threshold,62,LM_L,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,2.454374313354492
HZQ,2026-03-11T19:39:00.971058,Experiment 2,threshold,63,DLM_3,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.6209771633148193
HZQ,2026-03-11T19:39:06.300111,Experiment 2,threshold,64,ULM_L,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.48511719703674316
HZQ,2026-03-11T19:39:15.499219,Experiment 2,threshold,65,LM_C,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,4.078667879104614
HZQ,2026-03-11T19:39:21.123485,Experiment 2,threshold,66,DLM_2,14,A,A,1,43.59,43.59,0.39999109940126676,1,0,100.0,0.5383520126342773
HZQ,2026-03-11T19:39:27.283566,Experiment 2,threshold,67,LM_L,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.0758302211761475
