ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
LJS,2026-03-13T10:06:25.327685,Experiment 2,threshold,1,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.1410889625549316
LJS,2026-03-13T10:06:31.255105,Experiment 2,threshold,2,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5159339904785156
LJS,2026-03-13T10:06:37.711789,Experiment 2,threshold,3,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.27777791023254395
LJS,2026-03-13T10:06:46.094773,Experiment 2,threshold,4,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5835719108581543
LJS,2026-03-13T10:06:53.711533,Experiment 2,threshold,5,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.961266040802002
LJS,2026-03-13T10:07:00.862813,Experiment 2,threshold,6,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.32750940322875977
LJS,2026-03-13T10:07:07.798418,Experiment 2,threshold,7,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9917051792144775
LJS,2026-03-13T10:07:15.990825,Experiment 2,threshold,8,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9845795631408691
LJS,2026-03-13T10:07:24.446507,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.821394681930542
LJS,2026-03-13T10:07:31.207954,Experiment 2,threshold,10,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.4532337188720703
LJS,2026-03-13T10:07:36.983387,Experiment 2,threshold,11,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2910470962524414
LJS,2026-03-13T10:07:42.638658,Experiment 2,threshold,12,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6050875186920166
LJS,2026-03-13T10:07:47.791997,Experiment 2,threshold,13,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3122265338897705
LJS,2026-03-13T10:07:53.526236,Experiment 2,threshold,14,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2872326374053955
LJS,2026-03-13T10:08:01.406804,Experiment 2,threshold,15,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.25641512870788574
LJS,2026-03-13T10:08:07.159103,Experiment 2,threshold,16,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2872734069824219
LJS,2026-03-13T10:08:12.735288,Experiment 2,threshold,17,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.24289250373840332
LJS,2026-03-13T10:08:18.238608,Experiment 2,threshold,18,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.34769725799560547
LJS,2026-03-13T10:08:23.775754,Experiment 2,threshold,19,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.29523658752441406
LJS,2026-03-13T10:08:29.327265,Experiment 2,threshold,20,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2625877857208252
LJS,2026-03-13T10:08:35.774486,Experiment 2,threshold,21,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3237123489379883
LJS,2026-03-13T10:08:42.406878,Experiment 2,threshold,22,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3309903144836426
LJS,2026-03-13T10:08:47.918279,Experiment 2,threshold,23,LM_C,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.37899065017700195
LJS,2026-03-13T10:08:54.574872,Experiment 2,threshold,24,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2951979637145996
LJS,2026-03-13T10:09:02.814290,Experiment 2,threshold,25,LM_L,5,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.1402599811553955
LJS,2026-03-13T10:09:08.111620,Experiment 2,threshold,26,ULM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.30599093437194824
LJS,2026-03-13T10:09:13.286554,Experiment 2,threshold,27,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.2964348793029785
LJS,2026-03-13T10:09:18.974460,Experiment 2,threshold,28,LM_C,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.36107611656188965
LJS,2026-03-13T10:09:25.743087,Experiment 2,threshold,29,DLM_2,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.2811398506164551
LJS,2026-03-13T10:09:31.024037,Experiment 2,threshold,30,LM_L,6,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.26316261291503906
LJS,2026-03-13T10:09:36.382288,Experiment 2,threshold,31,ULM_L,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.4646759033203125
LJS,2026-03-13T10:09:42.559044,Experiment 2,threshold,32,DLM_3,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.4634225368499756
LJS,2026-03-13T10:09:47.990617,Experiment 2,threshold,33,LM_C,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.2592170238494873
LJS,2026-03-13T10:09:53.262909,Experiment 2,threshold,34,DLM_2,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.32781982421875
LJS,2026-03-13T10:09:59.046440,Experiment 2,threshold,35,LM_L,7,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.3008272647857666
LJS,2026-03-13T10:10:04.647275,Experiment 2,threshold,36,ULM_L,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.31436610221862793
LJS,2026-03-13T10:10:10.734703,Experiment 2,threshold,37,DLM_3,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.3449068069458008
LJS,2026-03-13T10:10:16.230804,Experiment 2,threshold,38,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.4844222068786621
LJS,2026-03-13T10:10:21.487133,Experiment 2,threshold,39,DLM_2,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.28633713722229004
LJS,2026-03-13T10:10:27.302775,Experiment 2,threshold,40,LM_L,8,B,B,1,77.48,64.5,0.8799988776426297,2,1,70.99,0.7840092182159424
LJS,2026-03-13T10:10:32.814967,Experiment 2,threshold,41,ULM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.45246267318725586
LJS,2026-03-13T10:10:39.566723,Experiment 2,threshold,42,DLM_3,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.3840606212615967
LJS,2026-03-13T10:10:45.150460,Experiment 2,threshold,43,LM_C,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.35481834411621094
LJS,2026-03-13T10:10:50.830825,Experiment 2,threshold,44,DLM_2,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.05960512161254883
LJS,2026-03-13T10:10:56.534425,Experiment 2,threshold,45,LM_L,9,B,B,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.3442878723144531
LJS,2026-03-13T10:11:03.838434,Experiment 2,threshold,46,ULM_L,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.500258207321167
LJS,2026-03-13T10:11:09.846429,Experiment 2,threshold,47,DLM_3,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.0969047546386719
LJS,2026-03-13T10:11:17.943279,Experiment 2,threshold,48,LM_C,10,B,A,0,43.59,53.83,0.39999109940126676,1,1,43.59,1.6716477870941162
LJS,2026-03-13T10:11:24.791053,Experiment 2,threshold,49,DLM_2,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.3435454368591309
LJS,2026-03-13T10:11:33.294440,Experiment 2,threshold,50,LM_L,10,A,A,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.3290421962738037
LJS,2026-03-13T10:11:39.118705,Experiment 2,threshold,51,ULM_L,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.5067009925842285
LJS,2026-03-13T10:11:49.478407,Experiment 2,threshold,52,DLM_3,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.710151195526123
LJS,2026-03-13T10:11:57.494500,Experiment 2,threshold,53,LM_C,11,B,A,0,53.83,64.5,0.5600164384351866,1,0,43.59,1.485818862915039
LJS,2026-03-13T10:12:04.822927,Experiment 2,threshold,54,DLM_2,11,B,A,0,43.59,53.83,0.39999109940126676,1,1,43.59,0.6888635158538818
LJS,2026-03-13T10:12:09.974908,Experiment 2,threshold,55,LM_L,11,A,A,1,64.5,59.03,0.7199695849279576,2,0,70.99,0.2623915672302246
LJS,2026-03-13T10:12:15.855242,Experiment 2,threshold,56,ULM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.6635019779205322
LJS,2026-03-13T10:12:21.215067,Experiment 2,threshold,57,DLM_3,12,A,B,0,43.59,53.83,0.39999109940126676,1,1,43.59,0.5210003852844238
LJS,2026-03-13T10:12:26.606074,Experiment 2,threshold,58,LM_C,12,A,A,1,64.5,64.5,0.7199695849279576,1,0,43.59,0.5570545196533203
LJS,2026-03-13T10:12:32.334424,Experiment 2,threshold,59,DLM_2,12,A,A,1,53.83,53.83,0.5600164384351866,1,0,43.59,0.42965054512023926
LJS,2026-03-13T10:12:38.205901,Experiment 2,threshold,60,LM_L,12,A,A,1,59.03,59.03,0.6399480187363903,2,0,70.99,0.9220306873321533
LJS,2026-03-13T10:12:44.678654,Experiment 2,threshold,61,ULM_L,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.4123730659484863
LJS,2026-03-13T10:12:52.286587,Experiment 2,threshold,62,DLM_3,13,B,A,0,53.83,64.5,0.5600164384351866,1,0,43.59,1.3654730319976807
LJS,2026-03-13T10:13:00.150675,Experiment 2,threshold,63,LM_C,13,B,A,0,64.5,77.48,0.7199695849279576,1,0,43.59,1.0089592933654785
LJS,2026-03-13T10:13:06.703225,Experiment 2,threshold,64,DLM_2,13,A,B,0,53.83,64.5,0.5600164384351866,1,0,43.59,1.3633310794830322
LJS,2026-03-13T10:13:11.982524,Experiment 2,threshold,65,LM_L,13,A,A,1,59.03,59.03,0.6399480187363903,2,0,70.99,0.28342294692993164
LJS,2026-03-13T10:13:17.262828,Experiment 2,threshold,66,ULM_L,14,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.2967252731323242
LJS,2026-03-13T10:13:23.654458,Experiment 2,threshold,67,DLM_3,14,A,A,1,64.5,64.5,0.7199695849279576,1,0,43.59,0.5882012844085693
LJS,2026-03-13T10:13:29.478214,Experiment 2,threshold,68,LM_C,14,B,A,0,77.48,100.0,0.8799988776426297,1,0,43.59,0.5934605598449707
LJS,2026-03-13T10:13:34.862514,Experiment 2,threshold,69,DLM_2,14,B,B,1,64.5,64.5,0.7199695849279576,1,0,43.59,0.37555503845214844
LJS,2026-03-13T10:13:41.791023,Experiment 2,threshold,70,LM_L,14,A,A,1,59.03,53.83,0.6399480187363903,2,0,70.99,1.5125267505645752
LJS,2026-03-13T10:13:49.318422,Experiment 2,threshold,71,ULM_L,15,B,A,0,32.59,43.59,0.23995715193265368,1,1,32.59,2.459627389907837
LJS,2026-03-13T10:13:54.775329,Experiment 2,threshold,72,DLM_3,15,A,A,1,64.5,64.5,0.7199695849279576,1,0,43.59,0.28194475173950195
LJS,2026-03-13T10:13:59.989423,Experiment 2,threshold,73,LM_C,15,A,A,1,100.0,100.0,1.0,1,0,43.59,0.31382298469543457
LJS,2026-03-13T10:14:05.774579,Experiment 2,threshold,74,DLM_2,15,B,B,1,64.5,64.5,0.7199695849279576,1,0,43.59,0.6423254013061523
LJS,2026-03-13T10:14:22.910683,Experiment 2,threshold,75,LM_L,15,B,B,1,53.83,53.83,0.5600164384351866,2,0,70.99,2.513705253601074
LJS,2026-03-13T10:14:28.358857,Experiment 2,threshold,76,ULM_L,16,A,A,1,43.59,43.59,0.39999109940126676,1,0,32.59,0.3610954284667969
LJS,2026-03-13T10:14:35.302744,Experiment 2,threshold,77,DLM_3,16,A,A,1,64.5,53.83,0.7199695849279576,2,1,54.045,0.251370906829834
LJS,2026-03-13T10:14:42.151412,Experiment 2,threshold,78,LM_C,16,B,B,1,100.0,100.0,1.0,1,0,43.59,0.3194890022277832
LJS,2026-03-13T10:14:48.566370,Experiment 2,threshold,79,DLM_2,16,A,A,1,64.5,53.83,0.7199695849279576,2,1,54.045,0.2950863838195801
LJS,2026-03-13T10:14:55.710985,Experiment 2,threshold,80,LM_L,16,A,A,1,53.83,53.83,0.5600164384351866,2,0,70.99,0.4877588748931885
LJS,2026-03-13T10:15:02.342111,Experiment 2,threshold,81,ULM_L,17,A,A,1,43.59,43.59,0.39999109940126676,1,0,32.59,0.019541263580322266
LJS,2026-03-13T10:15:08.926221,Experiment 2,threshold,82,DLM_3,17,A,B,0,53.83,59.03,0.5600164384351866,3,1,53.9733,1.0355141162872314
LJS,2026-03-13T10:15:18.854297,Experiment 2,threshold,83,LM_C,17,B,B,1,100.0,77.48,1.0,2,1,71.795,4.145679950714111
