ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
LJY,2026-03-13T10:38:27.173622,Experiment 2,threshold,1,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.170884847640991
LJY,2026-03-13T10:38:34.173741,Experiment 2,threshold,2,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.215592622756958
LJY,2026-03-13T10:38:41.125029,Experiment 2,threshold,3,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8880655765533447
LJY,2026-03-13T10:38:48.797175,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5639533996582031
LJY,2026-03-13T10:38:55.277366,Experiment 2,threshold,5,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9055473804473877
LJY,2026-03-13T10:39:02.302390,Experiment 2,threshold,6,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5136849880218506
LJY,2026-03-13T10:39:13.861377,Experiment 2,threshold,7,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.3357200622558594
LJY,2026-03-13T10:39:20.829105,Experiment 2,threshold,8,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6663672924041748
LJY,2026-03-13T10:39:26.486116,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5660743713378906
LJY,2026-03-13T10:39:32.269716,Experiment 2,threshold,10,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6329753398895264
LJY,2026-03-13T10:39:38.773208,Experiment 2,threshold,11,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9498281478881836
LJY,2026-03-13T10:39:45.229382,Experiment 2,threshold,12,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.1986491680145264
LJY,2026-03-13T10:39:52.485347,Experiment 2,threshold,13,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.8662703037261963
LJY,2026-03-13T10:39:59.021031,Experiment 2,threshold,14,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9268295764923096
LJY,2026-03-13T10:40:04.709972,Experiment 2,threshold,15,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6125609874725342
LJY,2026-03-13T10:40:11.005805,Experiment 2,threshold,16,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3487226963043213
LJY,2026-03-13T10:40:20.182080,Experiment 2,threshold,17,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4468202590942383
LJY,2026-03-13T10:40:26.885538,Experiment 2,threshold,18,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.6436915397644043
LJY,2026-03-13T10:40:33.318105,Experiment 2,threshold,19,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6542179584503174
LJY,2026-03-13T10:40:39.117595,Experiment 2,threshold,20,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7242507934570312
LJY,2026-03-13T10:40:45.133625,Experiment 2,threshold,21,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5309774875640869
LJY,2026-03-13T10:40:50.646171,Experiment 2,threshold,22,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4508321285247803
LJY,2026-03-13T10:40:56.932861,Experiment 2,threshold,23,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1937463283538818
LJY,2026-03-13T10:41:02.493797,Experiment 2,threshold,24,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3747847080230713
LJY,2026-03-13T10:41:08.350049,Experiment 2,threshold,25,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6644554138183594
LJY,2026-03-13T10:41:13.774345,Experiment 2,threshold,26,DLM_3,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.46378588676452637
LJY,2026-03-13T10:41:20.237342,Experiment 2,threshold,27,LM_C,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.390106439590454
LJY,2026-03-13T10:41:29.054222,Experiment 2,threshold,28,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,3.5332932472229004
LJY,2026-03-13T10:41:35.165982,Experiment 2,threshold,29,DLM_2,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.45214128494262695
LJY,2026-03-13T10:41:42.092794,Experiment 2,threshold,30,ULM_L,6,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.028977155685425
LJY,2026-03-13T10:41:49.380876,Experiment 2,threshold,31,DLM_3,7,A,B,0,53.83,64.5,0.5600164384351866,1,1,53.83,2.148391008377075
LJY,2026-03-13T10:41:55.709581,Experiment 2,threshold,32,LM_C,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.2704322338104248
LJY,2026-03-13T10:42:02.789676,Experiment 2,threshold,33,LM_L,7,A,B,0,53.83,64.5,0.5600164384351866,1,1,53.83,1.6888158321380615
LJY,2026-03-13T10:42:08.989644,Experiment 2,threshold,34,DLM_2,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.7696588039398193
