ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
LZ,2026-03-12T20:16:13.364468,Experiment 2,threshold,1,LM_L,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,7.466244220733643
LZ,2026-03-12T20:16:24.290594,Experiment 2,threshold,2,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.006012678146362
LZ,2026-03-12T20:16:35.147668,Experiment 2,threshold,3,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.875185489654541
LZ,2026-03-12T20:16:46.074941,Experiment 2,threshold,4,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,4.777306318283081
LZ,2026-03-12T20:16:54.555048,Experiment 2,threshold,5,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.836007595062256
LZ,2026-03-12T20:17:05.234711,Experiment 2,threshold,6,LM_L,2,A,A,1,100.0,100.0,1.0,0,0,100.0,0.43627071380615234
LZ,2026-03-12T20:17:13.883290,Experiment 2,threshold,7,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.2059457302093506
LZ,2026-03-12T20:17:22.899632,Experiment 2,threshold,8,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.7039906978607178
LZ,2026-03-12T20:17:29.730683,Experiment 2,threshold,9,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.2611141204833984
LZ,2026-03-12T20:17:38.035918,Experiment 2,threshold,10,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4654967784881592
LZ,2026-03-12T20:17:46.747067,Experiment 2,threshold,11,LM_L,3,B,B,1,100.0,100.0,1.0,0,0,100.0,2.0984973907470703
LZ,2026-03-12T20:17:55.291033,Experiment 2,threshold,12,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.237828493118286
LZ,2026-03-12T20:18:03.450548,Experiment 2,threshold,13,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.5763285160064697
LZ,2026-03-12T20:18:12.931236,Experiment 2,threshold,14,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.6055450439453125
LZ,2026-03-12T20:18:21.314806,Experiment 2,threshold,15,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.1242198944091797
LZ,2026-03-12T20:18:29.539518,Experiment 2,threshold,16,LM_L,4,A,A,1,100.0,77.48,1.0,1,1,100.0,2.7281482219696045
LZ,2026-03-12T20:18:36.730775,Experiment 2,threshold,17,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.6689949035644531
LZ,2026-03-12T20:18:44.627401,Experiment 2,threshold,18,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.320415735244751
LZ,2026-03-12T20:18:52.627086,Experiment 2,threshold,19,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.6693482398986816
