ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
MY,2026-03-11T11:42:55.286710,Experiment 2,threshold,1,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,21.36960482597351
MY,2026-03-11T11:43:03.717967,Experiment 2,threshold,2,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.1825952529907227
MY,2026-03-11T11:43:13.509624,Experiment 2,threshold,3,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.8749542236328125
MY,2026-03-11T11:43:23.245082,Experiment 2,threshold,4,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.655837059020996
MY,2026-03-11T11:43:36.037850,Experiment 2,threshold,5,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.2285871505737305
MY,2026-03-11T11:43:45.317894,Experiment 2,threshold,6,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.8136529922485352
MY,2026-03-11T11:43:57.037062,Experiment 2,threshold,7,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.0536577701568604
MY,2026-03-11T11:44:06.885411,Experiment 2,threshold,8,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.040984630584717
MY,2026-03-11T11:44:15.397122,Experiment 2,threshold,9,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7421257495880127
MY,2026-03-11T11:44:24.052582,Experiment 2,threshold,10,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.439647674560547
MY,2026-03-11T11:44:32.390207,Experiment 2,threshold,11,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.3872780799865723
MY,2026-03-11T11:44:41.870291,Experiment 2,threshold,12,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.8825340270996094
MY,2026-03-11T11:44:52.517078,Experiment 2,threshold,13,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.0894737243652344
MY,2026-03-11T11:45:00.868993,Experiment 2,threshold,14,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.906994342803955
MY,2026-03-11T11:45:07.252887,Experiment 2,threshold,15,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9607894420623779
