ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
SWY,2026-03-11T15:53:23.331179,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.256178379058838
SWY,2026-03-11T15:53:30.787318,Experiment 2,threshold,2,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.8477413654327393
SWY,2026-03-11T15:53:38.667191,Experiment 2,threshold,3,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.4468226432800293
SWY,2026-03-11T15:53:49.467421,Experiment 2,threshold,4,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.183251142501831
SWY,2026-03-11T15:53:55.706775,Experiment 2,threshold,5,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.2265465259552002
SWY,2026-03-11T15:54:02.355131,Experiment 2,threshold,6,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.825047254562378
SWY,2026-03-11T15:54:08.386464,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.259321928024292
SWY,2026-03-11T15:54:16.202954,Experiment 2,threshold,8,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.023815870285034
SWY,2026-03-11T15:54:22.379809,Experiment 2,threshold,9,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.348454475402832
SWY,2026-03-11T15:54:33.451075,Experiment 2,threshold,10,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.3977024555206299
SWY,2026-03-11T15:54:39.491497,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.0830585956573486
SWY,2026-03-11T15:54:46.003150,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.6233508586883545
SWY,2026-03-11T15:54:52.186902,Experiment 2,threshold,13,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.2691304683685303
SWY,2026-03-11T15:54:57.811030,Experiment 2,threshold,14,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.8543887138366699
SWY,2026-03-11T15:55:03.771106,Experiment 2,threshold,15,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.8817152976989746
SWY,2026-03-11T15:55:09.290834,Experiment 2,threshold,16,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.30783653259277344
SWY,2026-03-11T15:55:16.242426,Experiment 2,threshold,17,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.057048797607422
SWY,2026-03-11T15:55:22.330515,Experiment 2,threshold,18,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1050710678100586
SWY,2026-03-11T15:55:28.027130,Experiment 2,threshold,19,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.9171898365020752
SWY,2026-03-11T15:55:34.626917,Experiment 2,threshold,20,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.8930633068084717
SWY,2026-03-11T15:55:40.338640,Experiment 2,threshold,21,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8665924072265625
SWY,2026-03-11T15:55:45.898248,Experiment 2,threshold,22,LM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7132141590118408
SWY,2026-03-11T15:55:52.323013,Experiment 2,threshold,23,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.613661527633667
SWY,2026-03-11T15:55:58.234313,Experiment 2,threshold,24,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8433108329772949
SWY,2026-03-11T15:56:04.458505,Experiment 2,threshold,25,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.517773151397705
SWY,2026-03-11T15:56:11.234723,Experiment 2,threshold,26,ULM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.6596930027008057
SWY,2026-03-11T15:56:19.042352,Experiment 2,threshold,27,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,3.001385450363159
