ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WBX,2026-03-11T15:01:05.394584,Experiment 2,threshold,1,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.2370648384094238
WBX,2026-03-11T15:01:13.314606,Experiment 2,threshold,2,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9304749965667725
WBX,2026-03-11T15:01:20.330013,Experiment 2,threshold,3,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4231419563293457
WBX,2026-03-11T15:01:27.250331,Experiment 2,threshold,4,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.320481538772583
WBX,2026-03-11T15:01:32.794803,Experiment 2,threshold,5,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2537963390350342
WBX,2026-03-11T15:01:38.530660,Experiment 2,threshold,6,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2979152202606201
WBX,2026-03-11T15:01:45.834233,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.221564769744873
WBX,2026-03-11T15:01:53.178574,Experiment 2,threshold,8,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.1039109230041504
WBX,2026-03-11T15:01:58.810360,Experiment 2,threshold,9,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2575657367706299
WBX,2026-03-11T15:02:05.146776,Experiment 2,threshold,10,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.153322696685791
WBX,2026-03-11T15:02:10.665550,Experiment 2,threshold,11,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.5311427116394043
WBX,2026-03-11T15:02:17.393674,Experiment 2,threshold,12,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.5470666885375977
WBX,2026-03-11T15:02:22.681960,Experiment 2,threshold,13,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.25069618225097656
WBX,2026-03-11T15:02:28.370761,Experiment 2,threshold,14,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3278627395629883
WBX,2026-03-11T15:02:33.986782,Experiment 2,threshold,15,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.4502143859863281
WBX,2026-03-11T15:02:39.372111,Experiment 2,threshold,16,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3312106132507324
WBX,2026-03-11T15:02:44.953666,Experiment 2,threshold,17,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3579063415527344
WBX,2026-03-11T15:02:50.866797,Experiment 2,threshold,18,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2731916904449463
WBX,2026-03-11T15:02:56.281861,Experiment 2,threshold,19,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.41164231300354004
WBX,2026-03-11T15:03:02.682170,Experiment 2,threshold,20,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.3698177337646484
WBX,2026-03-11T15:03:09.145558,Experiment 2,threshold,21,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.3970258235931396
WBX,2026-03-11T15:03:15.313421,Experiment 2,threshold,22,LM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.9654481410980225
WBX,2026-03-11T15:03:22.441445,Experiment 2,threshold,23,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.7838470935821533
WBX,2026-03-11T15:03:28.202402,Experiment 2,threshold,24,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3963000774383545
WBX,2026-03-11T15:03:33.537966,Experiment 2,threshold,25,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.3354451656341553
WBX,2026-03-11T15:03:39.002274,Experiment 2,threshold,26,DLM_2,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.5698606967926025
WBX,2026-03-11T15:03:44.489378,Experiment 2,threshold,27,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.45203471183776855
WBX,2026-03-11T15:03:50.435409,Experiment 2,threshold,28,ULM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.4569101333618164
WBX,2026-03-11T15:03:56.073065,Experiment 2,threshold,29,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.5063631534576416
