ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WJ,2026-03-12T13:57:17.136081,Experiment 2,threshold,1,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,5.268308401107788
WJ,2026-03-12T13:57:31.671526,Experiment 2,threshold,2,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.675105571746826
WJ,2026-03-12T13:57:38.903296,Experiment 2,threshold,3,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7857680320739746
WJ,2026-03-12T13:57:49.728138,Experiment 2,threshold,4,DLM_3,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,4.453746557235718
WJ,2026-03-12T13:57:57.784213,Experiment 2,threshold,5,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.133341073989868
WJ,2026-03-12T13:58:05.599208,Experiment 2,threshold,6,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.556718587875366
WJ,2026-03-12T13:58:13.896303,Experiment 2,threshold,7,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.006962537765503
WJ,2026-03-12T13:58:20.863659,Experiment 2,threshold,8,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.9126718044281006
WJ,2026-03-12T13:58:27.463743,Experiment 2,threshold,9,DLM_3,2,A,A,1,100.0,100.0,1.0,0,0,100.0,1.5452744960784912
WJ,2026-03-12T13:58:33.864018,Experiment 2,threshold,10,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.441694974899292
WJ,2026-03-12T13:58:40.287569,Experiment 2,threshold,11,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.447643756866455
WJ,2026-03-12T13:58:46.535746,Experiment 2,threshold,12,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.2227520942687988
WJ,2026-03-12T13:58:52.975551,Experiment 2,threshold,13,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.5571670532226562
WJ,2026-03-12T13:58:59.118850,Experiment 2,threshold,14,DLM_3,3,A,A,1,100.0,100.0,1.0,0,0,100.0,1.1662964820861816
WJ,2026-03-12T13:59:05.600162,Experiment 2,threshold,15,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.3403935432434082
WJ,2026-03-12T13:59:13.224756,Experiment 2,threshold,16,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.5590496063232422
WJ,2026-03-12T13:59:20.016111,Experiment 2,threshold,17,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1593706607818604
WJ,2026-03-12T13:59:26.815660,Experiment 2,threshold,18,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.7860186100006104
