ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WYY1,2026-03-12T13:21:05.312501,Experiment 2,threshold,1,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4960732460021973
WYY1,2026-03-12T13:21:12.985618,Experiment 2,threshold,2,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.1307318210601807
WYY1,2026-03-12T13:21:19.856985,Experiment 2,threshold,3,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.1013908386230469
WYY1,2026-03-12T13:21:27.528636,Experiment 2,threshold,4,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.40716552734375
WYY1,2026-03-12T13:21:36.112772,Experiment 2,threshold,5,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6725859642028809
WYY1,2026-03-12T13:21:45.313488,Experiment 2,threshold,6,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.4228832721710205
WYY1,2026-03-12T13:21:50.976747,Experiment 2,threshold,7,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6315665245056152
WYY1,2026-03-12T13:21:57.560926,Experiment 2,threshold,8,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.1642284393310547
WYY1,2026-03-12T13:22:03.489466,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7848265171051025
WYY1,2026-03-12T13:22:09.432593,Experiment 2,threshold,10,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.38947272300720215
WYY1,2026-03-12T13:22:14.960846,Experiment 2,threshold,11,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.39942336082458496
WYY1,2026-03-12T13:22:20.169027,Experiment 2,threshold,12,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.3115847110748291
WYY1,2026-03-12T13:22:26.609263,Experiment 2,threshold,13,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.33429598808288574
WYY1,2026-03-12T13:22:32.376988,Experiment 2,threshold,14,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.30527639389038086
WYY1,2026-03-12T13:22:39.129679,Experiment 2,threshold,15,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9946582317352295
WYY1,2026-03-12T13:22:44.697673,Experiment 2,threshold,16,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5759539604187012
WYY1,2026-03-12T13:22:51.520732,Experiment 2,threshold,17,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.2811460494995117
WYY1,2026-03-12T13:22:57.273212,Experiment 2,threshold,18,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.32656311988830566
