ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WY,2026-03-11T16:25:50.359308,Experiment 2,threshold,1,LM_C,1,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,4.448665142059326
WY,2026-03-11T16:26:00.790695,Experiment 2,threshold,2,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.604926824569702
WY,2026-03-11T16:26:07.551566,Experiment 2,threshold,3,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7240211963653564
WY,2026-03-11T16:26:17.934691,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.746694803237915
WY,2026-03-11T16:26:25.031035,Experiment 2,threshold,5,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.2431485652923584
WY,2026-03-11T16:26:31.397924,Experiment 2,threshold,6,LM_C,2,A,A,1,100.0,100.0,1.0,0,0,100.0,0.43366146087646484
WY,2026-03-11T16:26:37.669082,Experiment 2,threshold,7,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.1060993671417236
WY,2026-03-11T16:26:47.062103,Experiment 2,threshold,8,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.1017138957977295
WY,2026-03-11T16:26:53.559242,Experiment 2,threshold,9,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7667491436004639
WY,2026-03-11T16:27:00.342542,Experiment 2,threshold,10,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4534010887145996
WY,2026-03-11T16:27:07.606719,Experiment 2,threshold,11,LM_C,3,A,A,1,100.0,100.0,1.0,0,0,100.0,1.6610848903656006
WY,2026-03-11T16:27:13.751746,Experiment 2,threshold,12,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.1638133525848389
WY,2026-03-11T16:27:20.102273,Experiment 2,threshold,13,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.4204597473144531
WY,2026-03-11T16:27:28.973920,Experiment 2,threshold,14,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.5172181129455566
WY,2026-03-11T16:27:34.334305,Experiment 2,threshold,15,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.30720067024230957
WY,2026-03-11T16:27:39.886471,Experiment 2,threshold,16,LM_C,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.44942402839660645
