ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WZR,2026-03-12T18:52:06.071274,Experiment 2,threshold,1,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,5.0443642139434814
WZR,2026-03-12T18:52:12.998693,Experiment 2,threshold,2,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5258173942565918
WZR,2026-03-12T18:52:20.254471,Experiment 2,threshold,3,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7904551029205322
WZR,2026-03-12T18:52:32.661384,Experiment 2,threshold,4,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9931414127349854
WZR,2026-03-12T18:52:41.133644,Experiment 2,threshold,5,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.9244868755340576
WZR,2026-03-12T18:52:49.270117,Experiment 2,threshold,6,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.6550521850585938
WZR,2026-03-12T18:52:56.054134,Experiment 2,threshold,7,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9396708011627197
WZR,2026-03-12T18:53:02.637361,Experiment 2,threshold,8,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7382442951202393
WZR,2026-03-12T18:53:08.869744,Experiment 2,threshold,9,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9826743602752686
WZR,2026-03-12T18:53:16.718357,Experiment 2,threshold,10,LM_C,2,B,A,0,77.48,100.0,0.8799988776426297,0,0,100.0,2.2928035259246826
WZR,2026-03-12T18:53:22.838464,Experiment 2,threshold,11,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.867257833480835
WZR,2026-03-12T18:53:28.981572,Experiment 2,threshold,12,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.0662364959716797
WZR,2026-03-12T18:53:34.893795,Experiment 2,threshold,13,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.5949926376342773
WZR,2026-03-12T18:53:40.606262,Experiment 2,threshold,14,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.5282149314880371
