ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
WZT,2026-03-13T12:07:01.427426,Experiment 2,threshold,1,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.5416464805603027
WZT,2026-03-13T12:07:07.465438,Experiment 2,threshold,2,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.0359599590301514
WZT,2026-03-13T12:07:13.578479,Experiment 2,threshold,3,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.0758130550384521
WZT,2026-03-13T12:07:19.961498,Experiment 2,threshold,4,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5137019157409668
WZT,2026-03-13T12:07:27.249399,Experiment 2,threshold,5,ULM_L,1,A,B,0,77.48,100.0,0.8799988776426297,0,0,100.0,2.2968907356262207
WZT,2026-03-13T12:07:32.850251,Experiment 2,threshold,6,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.772629976272583
WZT,2026-03-13T12:07:39.066401,Experiment 2,threshold,7,DLM_2,2,A,B,0,77.48,100.0,0.8799988776426297,0,0,100.0,1.3894410133361816
WZT,2026-03-13T12:07:44.345951,Experiment 2,threshold,8,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.442641019821167
WZT,2026-03-13T12:07:49.362630,Experiment 2,threshold,9,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.20179510116577148
WZT,2026-03-13T12:07:55.938748,Experiment 2,threshold,10,ULM_L,2,A,A,1,100.0,100.0,1.0,0,0,100.0,1.7178995609283447
WZT,2026-03-13T12:08:03.121853,Experiment 2,threshold,11,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.2050487995147705
WZT,2026-03-13T12:08:10.337365,Experiment 2,threshold,12,DLM_2,3,B,A,0,100.0,100.0,1.0,0,0,100.0,1.7788593769073486
WZT,2026-03-13T12:08:17.194058,Experiment 2,threshold,13,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.9951770305633545
WZT,2026-03-13T12:08:22.345831,Experiment 2,threshold,14,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.2700657844543457
WZT,2026-03-13T12:08:28.465953,Experiment 2,threshold,15,ULM_L,3,A,A,1,100.0,100.0,1.0,0,0,100.0,1.279681921005249
WZT,2026-03-13T12:08:34.474831,Experiment 2,threshold,16,DLM_3,4,A,B,0,64.5,77.48,0.7199695849279576,1,1,64.5,1.1745049953460693
WZT,2026-03-13T12:08:40.802242,Experiment 2,threshold,17,DLM_2,4,A,B,0,100.0,100.0,1.0,0,0,100.0,1.5574018955230713
WZT,2026-03-13T12:08:46.433690,Experiment 2,threshold,18,LM_L,4,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,0.7270927429199219
WZT,2026-03-13T12:08:52.625111,Experiment 2,threshold,19,LM_C,4,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,1.3495614528656006
WZT,2026-03-13T12:08:57.658276,Experiment 2,threshold,20,ULM_L,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.2696263790130615
WZT,2026-03-13T12:09:04.697362,Experiment 2,threshold,21,DLM_3,5,B,A,0,77.48,100.0,0.8799988776426297,1,0,64.5,2.2381515502929688
WZT,2026-03-13T12:09:10.841459,Experiment 2,threshold,22,DLM_2,5,B,B,1,100.0,100.0,1.0,0,0,100.0,1.0677375793457031
WZT,2026-03-13T12:09:18.001678,Experiment 2,threshold,23,LM_L,5,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,2.4033353328704834
WZT,2026-03-13T12:09:25.345314,Experiment 2,threshold,24,LM_C,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,2.1888294219970703
WZT,2026-03-13T12:09:31.793418,Experiment 2,threshold,25,ULM_L,5,B,B,1,77.48,77.48,0.8799988776426297,1,0,100.0,1.6101877689361572
WZT,2026-03-13T12:09:38.257658,Experiment 2,threshold,26,DLM_3,6,B,B,1,100.0,100.0,1.0,1,0,64.5,1.4828989505767822
WZT,2026-03-13T12:09:44.682994,Experiment 2,threshold,27,DLM_2,6,B,A,0,100.0,100.0,1.0,0,0,100.0,1.4785737991333008
WZT,2026-03-13T12:09:59.370019,Experiment 2,threshold,28,LM_L,6,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,9.814907312393188
WZT,2026-03-13T12:10:04.905654,Experiment 2,threshold,29,LM_C,6,B,B,1,77.48,77.48,0.8799988776426297,1,0,64.5,0.7395260334014893
WZT,2026-03-13T12:10:12.634867,Experiment 2,threshold,30,ULM_L,6,B,A,0,77.48,100.0,0.8799988776426297,2,1,88.74,2.4055397510528564
WZT,2026-03-13T12:10:21.042061,Experiment 2,threshold,31,DLM_3,7,B,B,1,100.0,100.0,1.0,1,0,64.5,0.0
WZT,2026-03-13T12:10:27.745775,Experiment 2,threshold,32,DLM_2,7,A,B,0,100.0,100.0,1.0,0,0,100.0,1.83150053024292
WZT,2026-03-13T12:10:34.265250,Experiment 2,threshold,33,LM_L,7,B,B,1,77.48,64.5,0.8799988776426297,2,1,70.99,1.5336182117462158
WZT,2026-03-13T12:10:41.449377,Experiment 2,threshold,34,LM_C,7,B,B,1,77.48,64.5,0.8799988776426297,2,1,70.99,2.0040318965911865
WZT,2026-03-13T12:10:48.841810,Experiment 2,threshold,35,ULM_L,7,B,B,1,100.0,100.0,1.0,2,0,88.74,1.3349435329437256
WZT,2026-03-13T12:10:54.858050,Experiment 2,threshold,36,DLM_3,8,B,B,1,100.0,77.48,1.0,2,1,82.25,1.1451077461242676
WZT,2026-03-13T12:11:01.473442,Experiment 2,threshold,37,DLM_2,8,B,A,0,100.0,100.0,1.0,0,0,100.0,1.5344209671020508
WZT,2026-03-13T12:11:08.241183,Experiment 2,threshold,38,LM_L,8,B,B,1,64.5,64.5,0.7199695849279576,2,0,70.99,1.9382119178771973
WZT,2026-03-13T12:11:13.841163,Experiment 2,threshold,39,LM_C,8,B,B,1,64.5,64.5,0.7199695849279576,2,0,70.99,0.769568681716919
WZT,2026-03-13T12:11:19.953230,Experiment 2,threshold,40,ULM_L,8,B,B,1,100.0,100.0,1.0,2,0,88.74,1.351698637008667
WZT,2026-03-13T12:11:29.874345,Experiment 2,threshold,41,DLM_3,9,B,A,0,77.48,87.18,0.8799988776426297,3,1,80.66,0.8851613998413086
WZT,2026-03-13T12:11:36.386328,Experiment 2,threshold,42,DLM_2,9,A,A,1,100.0,100.0,1.0,0,0,100.0,0.3601090908050537
WZT,2026-03-13T12:11:42.433954,Experiment 2,threshold,43,LM_L,9,A,B,0,64.5,70.48,0.7199695849279576,3,1,68.8267,1.2500317096710205
WZT,2026-03-13T12:11:48.833165,Experiment 2,threshold,44,LM_C,9,A,B,0,64.5,70.48,0.7199695849279576,3,1,68.8267,1.485863447189331
WZT,2026-03-13T12:11:55.242241,Experiment 2,threshold,45,ULM_L,9,A,A,1,100.0,87.18,1.0,3,1,92.4933,1.1415841579437256
WZT,2026-03-13T12:12:00.593786,Experiment 2,threshold,46,DLM_3,10,A,A,1,87.18,87.18,0.9599928792041308,3,0,80.66,0.4801318645477295
WZT,2026-03-13T12:12:06.162546,Experiment 2,threshold,47,DLM_2,10,A,A,1,100.0,100.0,1.0,0,0,100.0,0.27413320541381836
WZT,2026-03-13T12:12:11.161948,Experiment 2,threshold,48,LM_L,10,A,A,1,70.48,70.48,0.799958825075544,3,0,68.8267,0.2333848476409912
WZT,2026-03-13T12:12:16.336597,Experiment 2,threshold,49,LM_C,10,B,B,1,70.48,70.48,0.799958825075544,3,0,68.8267,0.40375351905822754
WZT,2026-03-13T12:12:21.425763,Experiment 2,threshold,50,ULM_L,10,A,A,1,87.18,87.18,0.9599928792041308,3,0,92.4933,0.28052616119384766
WZT,2026-03-13T12:12:43.953913,Experiment 2,threshold,51,DLM_3,11,B,B,1,87.18,87.18,0.9599928792041308,3,0,80.66,1.3971493244171143
WZT,2026-03-13T12:12:49.769622,Experiment 2,threshold,52,DLM_2,11,B,B,1,100.0,77.48,1.0,1,1,100.0,0.7355670928955078
WZT,2026-03-13T12:12:55.865309,Experiment 2,threshold,53,LM_L,11,A,A,1,70.48,70.48,0.799958825075544,3,0,68.8267,1.0422348976135254
WZT,2026-03-13T12:13:03.313590,Experiment 2,threshold,54,LM_C,11,B,B,1,70.48,70.48,0.799958825075544,3,0,68.8267,0.0
WZT,2026-03-13T12:13:08.617829,Experiment 2,threshold,55,ULM_L,11,A,A,1,87.18,87.18,0.9599928792041308,3,0,92.4933,0.256054162979126
WZT,2026-03-13T12:13:13.745999,Experiment 2,threshold,56,DLM_3,12,B,B,1,87.18,77.48,0.9599928792041308,4,1,82.29,0.31391286849975586
WZT,2026-03-13T12:13:19.169057,Experiment 2,threshold,57,DLM_2,12,B,A,0,77.48,100.0,0.8799988776426297,2,1,88.74,0.5652704238891602
WZT,2026-03-13T12:13:24.665702,Experiment 2,threshold,58,LM_L,12,A,A,1,70.48,64.5,0.799958825075544,4,1,69.24,0.6767613887786865
WZT,2026-03-13T12:13:30.314230,Experiment 2,threshold,59,LM_C,12,B,B,1,70.48,64.5,0.799958825075544,4,1,69.24,0.7534410953521729
WZT,2026-03-13T12:13:35.441325,Experiment 2,threshold,60,ULM_L,12,A,A,1,87.18,77.48,0.9599928792041308,3,0,92.4933,0.3183155059814453
WZT,2026-03-13T12:13:40.889771,Experiment 2,threshold,61,DLM_3,13,B,B,1,77.48,77.48,0.8799988776426297,4,0,82.29,0.28864288330078125
WZT,2026-03-13T12:13:46.073512,Experiment 2,threshold,62,DLM_2,13,B,B,1,100.0,100.0,1.0,2,0,88.74,0.2887556552886963
WZT,2026-03-13T12:13:52.785256,Experiment 2,threshold,63,LM_L,13,A,A,1,64.5,64.5,0.7199695849279576,4,0,69.24,1.903350591659546
WZT,2026-03-13T12:13:58.057583,Experiment 2,threshold,64,LM_C,13,B,B,1,64.5,64.5,0.7199695849279576,4,0,69.24,0.3190162181854248
WZT,2026-03-13T12:14:03.105263,Experiment 2,threshold,65,ULM_L,13,A,A,1,77.48,77.48,0.8799988776426297,3,0,92.4933,0.2756476402282715
WZT,2026-03-13T12:14:08.762069,Experiment 2,threshold,66,DLM_3,14,B,B,1,77.48,77.48,0.8799988776426297,4,0,82.29,0.7630109786987305
WZT,2026-03-13T12:14:14.608755,Experiment 2,threshold,67,DLM_2,14,B,B,1,100.0,100.0,1.0,2,0,88.74,1.1187970638275146
WZT,2026-03-13T12:14:21.217996,Experiment 2,threshold,68,LM_L,14,B,A,0,64.5,70.48,0.7199695849279576,5,1,69.24,1.8153584003448486
WZT,2026-03-13T12:14:26.289649,Experiment 2,threshold,69,LM_C,14,B,B,1,64.5,64.5,0.7199695849279576,4,0,69.24,0.3466179370880127
WZT,2026-03-13T12:14:33.377981,Experiment 2,threshold,70,ULM_L,14,B,B,1,77.48,77.48,0.8799988776426297,3,0,92.4933,2.326674222946167
WZT,2026-03-13T12:14:38.905208,Experiment 2,threshold,71,DLM_3,15,B,B,1,77.48,70.48,0.8799988776426297,4,0,82.29,0.6640217304229736
WZT,2026-03-13T12:14:44.177033,Experiment 2,threshold,72,DLM_2,15,B,B,1,100.0,87.18,1.0,3,1,92.4933,0.4617931842803955
WZT,2026-03-13T12:14:49.936663,Experiment 2,threshold,73,LM_L,15,B,B,1,70.48,70.48,0.799958825075544,5,0,69.24,1.0227811336517334
WZT,2026-03-13T12:14:55.049726,Experiment 2,threshold,74,LM_C,15,A,A,1,64.5,59.03,0.7199695849279576,4,0,69.24,0.2834036350250244
WZT,2026-03-13T12:15:00.089965,Experiment 2,threshold,75,ULM_L,15,A,A,1,77.48,70.48,0.8799988776426297,3,0,92.4933,0.2674415111541748
WZT,2026-03-13T12:15:05.305465,Experiment 2,threshold,76,DLM_3,16,B,B,1,70.48,70.48,0.799958825075544,4,0,82.29,0.3426833152770996
WZT,2026-03-13T12:15:10.777721,Experiment 2,threshold,77,DLM_2,16,B,B,1,87.18,87.18,0.9599928792041308,3,0,92.4933,0.6123051643371582
WZT,2026-03-13T12:15:17.089952,Experiment 2,threshold,78,LM_L,16,B,A,0,70.48,77.48,0.799958825075544,5,0,69.24,1.4603216648101807
WZT,2026-03-13T12:15:23.456972,Experiment 2,threshold,79,LM_C,16,B,B,1,59.03,59.03,0.6399480187363903,4,0,69.24,1.612548589706421
WZT,2026-03-13T12:15:28.538043,Experiment 2,threshold,80,ULM_L,16,B,B,1,70.48,70.48,0.799958825075544,3,0,92.4933,0.29465389251708984
WZT,2026-03-13T12:15:33.841877,Experiment 2,threshold,81,DLM_3,17,B,A,0,70.48,77.48,0.799958825075544,5,1,83.785,0.3864438533782959
WZT,2026-03-13T12:15:38.864306,Experiment 2,threshold,82,DLM_2,17,A,A,1,87.18,87.18,0.9599928792041308,3,0,92.4933,0.26465439796447754
WZT,2026-03-13T12:15:44.547169,Experiment 2,threshold,83,LM_L,17,B,B,1,77.48,77.48,0.8799988776426297,5,0,69.24,0.9235379695892334
WZT,2026-03-13T12:15:50.465452,Experiment 2,threshold,84,LM_C,17,B,B,1,59.03,59.03,0.6399480187363903,4,0,69.24,1.2000696659088135
WZT,2026-03-13T12:15:56.721265,Experiment 2,threshold,85,ULM_L,17,A,B,0,70.48,77.48,0.799958825075544,4,1,86.99,1.3960096836090088
WZT,2026-03-13T12:16:01.905834,Experiment 2,threshold,86,DLM_3,18,B,B,1,77.48,77.48,0.8799988776426297,5,0,83.785,0.3052842617034912
WZT,2026-03-13T12:16:07.761810,Experiment 2,threshold,87,DLM_2,18,B,B,1,87.18,77.48,0.9599928792041308,3,0,92.4933,0.7531173229217529
WZT,2026-03-13T12:16:13.442058,Experiment 2,threshold,88,LM_L,18,A,A,1,77.48,77.48,0.8799988776426297,5,0,69.24,0.2602102756500244
WZT,2026-03-13T12:16:18.697293,Experiment 2,threshold,89,LM_C,18,A,A,1,59.03,53.83,0.6399480187363903,4,0,69.24,0.3991389274597168
WZT,2026-03-13T12:16:25.425531,Experiment 2,threshold,90,ULM_L,18,A,A,1,77.48,77.48,0.8799988776426297,4,0,86.99,1.650536060333252
WZT,2026-03-13T12:16:30.546069,Experiment 2,threshold,91,DLM_3,19,B,B,1,77.48,77.48,0.8799988776426297,5,0,83.785,0.30089879035949707
WZT,2026-03-13T12:16:35.817130,Experiment 2,threshold,92,DLM_2,19,A,A,1,77.48,77.48,0.8799988776426297,3,0,92.4933,0.30266761779785156
WZT,2026-03-13T12:16:41.570497,Experiment 2,threshold,93,LM_L,19,A,A,1,77.48,70.48,0.8799988776426297,6,1,69.24,0.7348287105560303
WZT,2026-03-13T12:16:48.097758,Experiment 2,threshold,94,LM_C,19,B,B,1,53.83,53.83,0.5600164384351866,4,0,69.24,1.7029340267181396
WZT,2026-03-13T12:16:54.841838,Experiment 2,threshold,95,ULM_L,19,A,A,1,77.48,77.48,0.8799988776426297,4,0,86.99,1.9536030292510986
WZT,2026-03-13T12:17:01.426089,Experiment 2,threshold,96,DLM_3,20,B,B,1,77.48,70.48,0.8799988776426297,6,1,78.155,0.37458014488220215
WZT,2026-03-13T12:17:06.841815,Experiment 2,threshold,97,DLM_2,20,B,B,1,77.48,77.48,0.8799988776426297,3,0,92.4933,0.5611410140991211
WZT,2026-03-13T12:17:13.082034,Experiment 2,threshold,98,LM_C,20,A,B,0,53.83,59.03,0.5600164384351866,5,1,66.5725,1.5160150527954102
WZT,2026-03-13T12:17:19.033429,Experiment 2,threshold,99,ULM_L,20,B,A,0,77.48,87.18,0.8799988776426297,4,0,86.99,1.1786620616912842
WZT,2026-03-13T12:17:24.025460,Experiment 2,threshold,100,DLM_2,21,A,A,1,77.48,70.48,0.8799988776426297,3,0,92.4933,0.30106115341186523
