ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
YF,2026-03-11T13:22:58.128259,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5034875869750977
YF,2026-03-11T13:23:04.575417,Experiment 2,threshold,2,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.13127899169921875
YF,2026-03-11T13:23:10.952238,Experiment 2,threshold,3,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8052883148193359
YF,2026-03-11T13:23:17.023989,Experiment 2,threshold,4,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7157037258148193
YF,2026-03-11T13:23:22.695503,Experiment 2,threshold,5,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.2906494140625
YF,2026-03-11T13:23:28.279025,Experiment 2,threshold,6,ULM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5428194999694824
YF,2026-03-11T13:23:34.559146,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.9629824161529541
YF,2026-03-11T13:23:40.559959,Experiment 2,threshold,8,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.5334515571594238
YF,2026-03-11T13:23:46.472206,Experiment 2,threshold,9,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.4507737159729004
YF,2026-03-11T13:23:53.527458,Experiment 2,threshold,10,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.6783952713012695
YF,2026-03-11T13:23:59.399906,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6411511898040771
YF,2026-03-11T13:24:05.480061,Experiment 2,threshold,12,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9026110172271729
YF,2026-03-11T13:24:10.822909,Experiment 2,threshold,13,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.34380531311035156
YF,2026-03-11T13:24:16.487557,Experiment 2,threshold,14,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6063661575317383
YF,2026-03-11T13:24:23.103205,Experiment 2,threshold,15,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.601351261138916
YF,2026-03-11T13:24:29.055902,Experiment 2,threshold,16,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7090692520141602
YF,2026-03-11T13:24:35.335621,Experiment 2,threshold,17,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6289198398590088
YF,2026-03-11T13:24:41.559454,Experiment 2,threshold,18,DLM_2,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8915090560913086
YF,2026-03-11T13:24:48.055085,Experiment 2,threshold,19,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.865330696105957
YF,2026-03-11T13:24:53.663911,Experiment 2,threshold,20,DLM_3,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8110949993133545
YF,2026-03-11T13:24:59.414783,Experiment 2,threshold,21,ULM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6371698379516602
YF,2026-03-11T13:25:06.384319,Experiment 2,threshold,22,LM_L,5,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,1.6402769088745117
YF,2026-03-11T13:25:13.743282,Experiment 2,threshold,23,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5689878463745117
