ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
YJN,2026-03-11T18:53:38.666440,Experiment 2,threshold,1,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.7920963764190674
YJN,2026-03-11T18:53:50.810685,Experiment 2,threshold,2,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.384671688079834
YJN,2026-03-11T18:53:58.034566,Experiment 2,threshold,3,DLM_3,1,A,B,0,77.48,100.0,0.8799988776426297,0,0,100.0,1.6584320068359375
YJN,2026-03-11T18:54:03.929488,Experiment 2,threshold,4,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6699733734130859
YJN,2026-03-11T18:54:11.753669,Experiment 2,threshold,5,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.332294225692749
YJN,2026-03-11T18:54:17.649905,Experiment 2,threshold,6,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.7953677177429199
YJN,2026-03-11T18:54:25.945390,Experiment 2,threshold,7,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.0828874111175537
YJN,2026-03-11T18:54:36.033700,Experiment 2,threshold,8,DLM_3,2,B,B,1,100.0,100.0,1.0,0,0,100.0,1.841442346572876
YJN,2026-03-11T18:54:42.314637,Experiment 2,threshold,9,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.1879510879516602
YJN,2026-03-11T18:54:48.402707,Experiment 2,threshold,10,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.141815185546875
YJN,2026-03-11T18:54:54.002488,Experiment 2,threshold,11,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6213152408599854
YJN,2026-03-11T18:55:00.105317,Experiment 2,threshold,12,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.21220064163208
YJN,2026-03-11T18:55:07.449392,Experiment 2,threshold,13,DLM_3,3,A,A,1,100.0,100.0,1.0,0,0,100.0,2.466543436050415
YJN,2026-03-11T18:55:13.570278,Experiment 2,threshold,14,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.24713134765625
YJN,2026-03-11T18:55:20.585872,Experiment 2,threshold,15,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.8351681232452393
YJN,2026-03-11T18:55:26.466263,Experiment 2,threshold,16,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.918597936630249
YJN,2026-03-11T18:55:33.866191,Experiment 2,threshold,17,LM_C,4,B,A,0,64.5,77.48,0.7199695849279576,1,1,64.5,2.3444664478302
YJN,2026-03-11T18:55:39.289782,Experiment 2,threshold,18,DLM_3,4,A,A,1,100.0,77.48,1.0,1,1,100.0,0.3080897331237793
YJN,2026-03-11T18:55:44.937613,Experiment 2,threshold,19,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5428478717803955
YJN,2026-03-11T18:55:50.522329,Experiment 2,threshold,20,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5467393398284912
YJN,2026-03-11T18:55:56.153486,Experiment 2,threshold,21,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6207876205444336
YJN,2026-03-11T18:56:02.666036,Experiment 2,threshold,22,LM_C,5,A,A,1,77.48,77.48,0.8799988776426297,1,0,64.5,1.5141944885253906
YJN,2026-03-11T18:56:09.217426,Experiment 2,threshold,23,DLM_3,5,A,A,1,77.48,77.48,0.8799988776426297,1,0,100.0,1.6206421852111816
YJN,2026-03-11T18:56:16.226230,Experiment 2,threshold,24,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.8428425788879395
YJN,2026-03-11T18:56:22.761832,Experiment 2,threshold,25,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.4168736934661865
YJN,2026-03-11T18:56:29.073341,Experiment 2,threshold,26,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.147341012954712
