ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
YST,2026-03-11T17:00:16.186429,Experiment 2,threshold,1,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4557125568389893
YST,2026-03-11T17:00:23.713474,Experiment 2,threshold,2,LM_C,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.6443610191345215
YST,2026-03-11T17:01:14.713487,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.928860664367676
YST,2026-03-11T17:01:23.281233,Experiment 2,threshold,2,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.620175838470459
YST,2026-03-11T17:01:30.105433,Experiment 2,threshold,3,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.3647181987762451
YST,2026-03-11T17:01:39.177058,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5992250442504883
YST,2026-03-11T17:01:47.473274,Experiment 2,threshold,5,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.8690476417541504
YST,2026-03-11T17:01:54.513030,Experiment 2,threshold,6,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.3901846408843994
YST,2026-03-11T17:02:02.129101,Experiment 2,threshold,7,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.2015819549560547
YST,2026-03-11T17:02:09.290005,Experiment 2,threshold,8,LM_C,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.4244718551635742
YST,2026-03-11T17:02:15.937372,Experiment 2,threshold,9,DLM_2,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.247802495956421
YST,2026-03-11T17:02:23.105537,Experiment 2,threshold,10,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.7820851802825928
YST,2026-03-11T17:02:31.273804,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.514786958694458
YST,2026-03-11T17:02:37.017350,Experiment 2,threshold,12,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.7081210613250732
YST,2026-03-11T17:02:43.050468,Experiment 2,threshold,13,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.7963767051696777
YST,2026-03-11T17:02:49.905224,Experiment 2,threshold,14,DLM_2,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.746436357498169
YST,2026-03-11T17:02:56.889702,Experiment 2,threshold,15,LM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.889254093170166
YST,2026-03-11T17:03:03.713714,Experiment 2,threshold,16,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.714397668838501
YST,2026-03-11T17:03:09.657310,Experiment 2,threshold,17,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5238556861877441
YST,2026-03-11T17:03:15.481342,Experiment 2,threshold,18,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8858957290649414
YST,2026-03-11T17:03:26.121895,Experiment 2,threshold,19,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.7010753154754639
YST,2026-03-11T17:03:31.497726,Experiment 2,threshold,20,LM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4559154510498047
YST,2026-03-11T17:03:37.744652,Experiment 2,threshold,21,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.9583966732025146
YST,2026-03-11T17:03:44.304757,Experiment 2,threshold,22,DLM_3,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.4957771301269531
YST,2026-03-11T17:03:49.617619,Experiment 2,threshold,23,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.28972363471984863
YST,2026-03-11T17:03:55.209054,Experiment 2,threshold,24,DLM_2,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.38478779792785645
YST,2026-03-11T17:04:02.161571,Experiment 2,threshold,25,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.484833002090454
YST,2026-03-11T17:04:08.370282,Experiment 2,threshold,26,ULM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.0241444110870361
YST,2026-03-11T17:04:13.920893,Experiment 2,threshold,27,DLM_3,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.35628485679626465
YST,2026-03-11T17:04:21.353108,Experiment 2,threshold,28,LM_C,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.936046838760376
YST,2026-03-11T17:04:26.761120,Experiment 2,threshold,29,DLM_2,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.40596818923950195
YST,2026-03-11T17:04:32.464917,Experiment 2,threshold,30,LM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.5540990829467773
YST,2026-03-11T17:04:38.961785,Experiment 2,threshold,31,ULM_L,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.4280107021331787
YST,2026-03-11T17:04:44.681993,Experiment 2,threshold,32,DLM_3,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.350506067276001
YST,2026-03-11T17:04:53.776789,Experiment 2,threshold,33,LM_C,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,4.069581985473633
YST,2026-03-11T17:05:00.489627,Experiment 2,threshold,34,DLM_2,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.8036067485809326
YST,2026-03-11T17:05:06.688800,Experiment 2,threshold,35,LM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.9197900295257568
YST,2026-03-11T17:05:12.730081,Experiment 2,threshold,36,ULM_L,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.3620285987854004
YST,2026-03-11T17:05:18.513431,Experiment 2,threshold,37,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.3061091899871826
YST,2026-03-11T17:05:24.369380,Experiment 2,threshold,38,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.4448244571685791
YST,2026-03-11T17:05:31.481109,Experiment 2,threshold,39,DLM_2,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.683593988418579
YST,2026-03-11T17:05:37.457153,Experiment 2,threshold,40,LM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.0758757591247559
YST,2026-03-11T17:05:43.361851,Experiment 2,threshold,41,ULM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,1.0222339630126953
YST,2026-03-11T17:05:50.416352,Experiment 2,threshold,42,DLM_3,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.290477991104126
YST,2026-03-11T17:05:57.056925,Experiment 2,threshold,43,LM_C,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,1.4929077625274658
YST,2026-03-11T17:06:02.440752,Experiment 2,threshold,44,DLM_2,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.40573573112487793
YST,2026-03-11T17:06:11.096369,Experiment 2,threshold,45,LM_L,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,3.3749241828918457
YST,2026-03-11T17:06:18.450083,Experiment 2,threshold,46,ULM_L,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.837606430053711
YST,2026-03-11T17:06:25.576769,Experiment 2,threshold,47,DLM_3,10,B,A,0,43.59,53.83,0.39999109940126676,1,1,43.59,2.119981527328491
YST,2026-03-11T17:06:34.312464,Experiment 2,threshold,48,LM_C,10,B,A,0,43.59,53.83,0.39999109940126676,1,1,43.59,3.484553337097168
YST,2026-03-11T17:06:40.841073,Experiment 2,threshold,49,DLM_2,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.4866583347320557
YST,2026-03-11T17:06:52.649564,Experiment 2,threshold,50,LM_L,10,A,B,0,43.59,53.83,0.39999109940126676,1,1,43.59,6.626747369766235
YST,2026-03-11T17:06:58.592780,Experiment 2,threshold,51,ULM_L,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.8704996109008789
YST,2026-03-11T17:07:04.393276,Experiment 2,threshold,52,DLM_3,11,B,B,1,53.83,53.83,0.5600164384351866,1,0,43.59,0.7779483795166016
YST,2026-03-11T17:07:13.768976,Experiment 2,threshold,53,LM_C,11,A,A,1,53.83,53.83,0.5600164384351866,1,0,43.59,4.282713890075684
YST,2026-03-11T17:07:26.256838,Experiment 2,threshold,54,DLM_2,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.4763946533203125
YST,2026-03-11T17:07:31.920156,Experiment 2,threshold,55,LM_L,11,A,A,1,53.83,53.83,0.5600164384351866,1,0,43.59,0.7053775787353516
YST,2026-03-11T17:07:38.169227,Experiment 2,threshold,56,ULM_L,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,1.2632970809936523
YST,2026-03-11T17:07:47.209116,Experiment 2,threshold,57,DLM_3,12,B,B,1,53.83,53.83,0.5600164384351866,1,0,43.59,3.6792032718658447
YST,2026-03-11T17:07:53.016439,Experiment 2,threshold,58,LM_C,12,B,B,1,53.83,53.83,0.5600164384351866,1,0,43.59,0.8737616539001465
YST,2026-03-11T17:07:59.080432,Experiment 2,threshold,59,DLM_2,12,A,B,0,43.59,53.83,0.39999109940126676,1,1,43.59,1.0965728759765625
YST,2026-03-11T17:08:07.568939,Experiment 2,threshold,60,LM_L,12,B,A,0,53.83,64.5,0.5600164384351866,1,0,43.59,2.82030987739563
