ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
YYX,2026-03-12T10:50:38.279007,Experiment 2,threshold,1,ULM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.1834142208099365
YYX,2026-03-12T10:50:50.198786,Experiment 2,threshold,2,LM_L,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.4757559299468994
YYX,2026-03-12T10:50:59.013747,Experiment 2,threshold,3,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.899608850479126
YYX,2026-03-12T10:51:07.006669,Experiment 2,threshold,4,DLM_2,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,2.825641393661499
YYX,2026-03-12T10:51:18.734396,Experiment 2,threshold,5,DLM_3,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.7254433631896973
YYX,2026-03-12T10:51:27.261610,Experiment 2,threshold,6,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.069437026977539
YYX,2026-03-12T10:51:36.597859,Experiment 2,threshold,7,LM_L,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.0040249824523926
YYX,2026-03-12T10:51:43.390500,Experiment 2,threshold,8,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.6124610900878906
YYX,2026-03-12T10:51:50.190938,Experiment 2,threshold,9,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.5165836811065674
YYX,2026-03-12T10:51:56.557582,Experiment 2,threshold,10,DLM_3,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,1.3169488906860352
YYX,2026-03-12T10:52:03.782314,Experiment 2,threshold,11,ULM_L,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.0513131618499756
YYX,2026-03-12T10:52:09.733789,Experiment 2,threshold,12,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.857658863067627
YYX,2026-03-12T10:52:17.029645,Experiment 2,threshold,13,LM_C,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.921525001525879
YYX,2026-03-12T10:52:23.926393,Experiment 2,threshold,14,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.5720117092132568
YYX,2026-03-12T10:52:31.396834,Experiment 2,threshold,15,DLM_3,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,2.0773701667785645
YYX,2026-03-12T10:52:37.821490,Experiment 2,threshold,16,ULM_L,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.3478422164916992
YYX,2026-03-12T10:52:45.661558,Experiment 2,threshold,17,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.829282760620117
YYX,2026-03-12T10:52:51.813506,Experiment 2,threshold,18,LM_C,4,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8772053718566895
YYX,2026-03-12T10:52:58.638232,Experiment 2,threshold,19,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.8631789684295654
YYX,2026-03-12T10:53:05.774149,Experiment 2,threshold,20,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.0430104732513428
YYX,2026-03-12T10:53:12.389861,Experiment 2,threshold,21,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.063089370727539
YYX,2026-03-12T10:53:20.325789,Experiment 2,threshold,22,LM_L,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.7934153079986572
YYX,2026-03-12T10:53:27.005564,Experiment 2,threshold,23,LM_C,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.0742099285125732
YYX,2026-03-12T10:53:33.974350,Experiment 2,threshold,24,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,2.0272998809814453
YYX,2026-03-12T10:53:40.046297,Experiment 2,threshold,25,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.1391606330871582
YYX,2026-03-12T10:53:46.334215,Experiment 2,threshold,26,ULM_L,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.2518541812896729
YYX,2026-03-12T10:53:52.550632,Experiment 2,threshold,27,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.2937805652618408
YYX,2026-03-12T10:54:01.830170,Experiment 2,threshold,28,LM_C,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.9341459274291992
YYX,2026-03-12T10:54:08.374231,Experiment 2,threshold,29,DLM_2,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,1.6224842071533203
YYX,2026-03-12T10:54:15.389474,Experiment 2,threshold,30,DLM_3,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,2.2217209339141846
