ParticipantID,Timestamp,ExperimentMode,TaskType,GlobalTrial,Condition,TrialInCondition,TargetInterval,ChosenInterval,Correct,StrengthBefore,StrengthAfter,IntensityLevel,ReversalCount,ReversalHappened,ThresholdEstimate,ReactionTime
YZX,2026-03-12T21:02:46.161759,Experiment 2,threshold,1,ULM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.6808788776397705
YZX,2026-03-12T21:03:13.161635,Experiment 2,threshold,2,LM_L,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,21.07401752471924
YZX,2026-03-12T21:03:35.050070,Experiment 2,threshold,3,DLM_2,1,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,15.997528076171875
YZX,2026-03-12T21:03:43.985108,Experiment 2,threshold,4,LM_C,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,3.3028242588043213
YZX,2026-03-12T21:03:49.713581,Experiment 2,threshold,5,DLM_3,1,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6388227939605713
YZX,2026-03-12T21:03:55.737197,Experiment 2,threshold,6,ULM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.8494772911071777
YZX,2026-03-12T21:04:01.272239,Experiment 2,threshold,7,LM_L,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.35558462142944336
YZX,2026-03-12T21:04:06.369266,Experiment 2,threshold,8,DLM_2,2,A,A,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.0749824047088623
YZX,2026-03-12T21:04:12.162520,Experiment 2,threshold,9,LM_C,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.40343618392944336
YZX,2026-03-12T21:04:18.081338,Experiment 2,threshold,10,DLM_3,2,B,B,1,77.48,77.48,0.8799988776426297,0,0,77.48,0.6961367130279541
YZX,2026-03-12T21:04:26.177767,Experiment 2,threshold,11,ULM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.9382126331329346
YZX,2026-03-12T21:04:31.570049,Experiment 2,threshold,12,LM_L,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.18811869621276855
YZX,2026-03-12T21:04:38.480968,Experiment 2,threshold,13,DLM_2,3,B,B,1,77.48,64.5,0.8799988776426297,0,0,64.5,1.7071971893310547
YZX,2026-03-12T21:04:44.593617,Experiment 2,threshold,14,LM_C,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.6903870105743408
YZX,2026-03-12T21:04:51.217491,Experiment 2,threshold,15,DLM_3,3,A,A,1,77.48,64.5,0.8799988776426297,0,0,64.5,0.619037389755249
YZX,2026-03-12T21:04:57.250181,Experiment 2,threshold,16,ULM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.8794898986816406
YZX,2026-03-12T21:05:03.353622,Experiment 2,threshold,17,LM_L,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.800098180770874
YZX,2026-03-12T21:05:09.353687,Experiment 2,threshold,18,DLM_2,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.7352688312530518
YZX,2026-03-12T21:05:15.554481,Experiment 2,threshold,19,LM_C,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.0134434700012207
YZX,2026-03-12T21:05:21.233347,Experiment 2,threshold,20,DLM_3,4,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4685094356536865
YZX,2026-03-12T21:05:26.985649,Experiment 2,threshold,21,ULM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.4276707172393799
YZX,2026-03-12T21:05:32.913217,Experiment 2,threshold,22,LM_L,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6757755279541016
YZX,2026-03-12T21:05:39.976881,Experiment 2,threshold,23,DLM_2,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,1.9934601783752441
YZX,2026-03-12T21:05:46.288936,Experiment 2,threshold,24,LM_C,5,B,B,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.5671985149383545
YZX,2026-03-12T21:05:52.089605,Experiment 2,threshold,25,DLM_3,5,A,A,1,64.5,64.5,0.7199695849279576,0,0,64.5,0.6082940101623535
YZX,2026-03-12T21:05:57.961440,Experiment 2,threshold,26,ULM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.9859359264373779
YZX,2026-03-12T21:06:03.641861,Experiment 2,threshold,27,LM_L,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.712472677230835
YZX,2026-03-12T21:06:09.577733,Experiment 2,threshold,28,DLM_2,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.8717710971832275
YZX,2026-03-12T21:06:14.969128,Experiment 2,threshold,29,LM_C,6,A,A,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.4335958957672119
YZX,2026-03-12T21:06:20.881510,Experiment 2,threshold,30,DLM_3,6,B,B,1,64.5,53.83,0.7199695849279576,0,0,53.83,0.8801844120025635
YZX,2026-03-12T21:06:26.225173,Experiment 2,threshold,31,ULM_L,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.20646286010742188
YZX,2026-03-12T21:06:33.866137,Experiment 2,threshold,32,LM_L,7,B,A,0,53.83,64.5,0.5600164384351866,1,1,53.83,2.1200077533721924
YZX,2026-03-12T21:06:40.937613,Experiment 2,threshold,33,DLM_2,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.3719277381896973
YZX,2026-03-12T21:06:46.648949,Experiment 2,threshold,34,LM_C,7,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.10136008262634277
YZX,2026-03-12T21:06:53.626153,Experiment 2,threshold,35,DLM_3,7,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.900787591934204
YZX,2026-03-12T21:06:59.824943,Experiment 2,threshold,36,ULM_L,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.9765057563781738
YZX,2026-03-12T21:07:06.489891,Experiment 2,threshold,37,LM_L,8,B,B,1,64.5,64.5,0.7199695849279576,1,0,53.83,1.5236625671386719
YZX,2026-03-12T21:07:18.753813,Experiment 2,threshold,38,DLM_2,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,6.830551624298096
YZX,2026-03-12T21:07:25.569542,Experiment 2,threshold,39,LM_C,8,B,B,1,53.83,53.83,0.5600164384351866,0,0,53.83,1.1411428451538086
YZX,2026-03-12T21:07:33.938094,Experiment 2,threshold,40,DLM_3,8,A,A,1,53.83,53.83,0.5600164384351866,0,0,53.83,0.51080322265625
YZX,2026-03-12T21:07:40.673020,Experiment 2,threshold,41,ULM_L,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.6786744594573975
YZX,2026-03-12T21:07:47.249137,Experiment 2,threshold,42,LM_L,9,B,B,1,64.5,64.5,0.7199695849279576,1,0,53.83,1.3671772480010986
YZX,2026-03-12T21:07:52.977805,Experiment 2,threshold,43,DLM_2,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.5484147071838379
YZX,2026-03-12T21:07:58.569202,Experiment 2,threshold,44,LM_C,9,A,A,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.5731508731842041
YZX,2026-03-12T21:08:04.128478,Experiment 2,threshold,45,DLM_3,9,B,B,1,53.83,43.59,0.5600164384351866,0,0,43.59,0.4313938617706299
YZX,2026-03-12T21:08:10.537279,Experiment 2,threshold,46,ULM_L,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.4439964294433594
YZX,2026-03-12T21:08:21.769461,Experiment 2,threshold,47,LM_L,10,B,B,1,64.5,53.83,0.7199695849279576,2,1,59.165,1.384460687637329
YZX,2026-03-12T21:08:28.473173,Experiment 2,threshold,48,DLM_2,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,1.503115177154541
YZX,2026-03-12T21:08:34.040443,Experiment 2,threshold,49,LM_C,10,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.3649015426635742
YZX,2026-03-12T21:08:39.561422,Experiment 2,threshold,50,DLM_3,10,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.45707178115844727
YZX,2026-03-12T21:08:45.512991,Experiment 2,threshold,51,ULM_L,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.6980347633361816
YZX,2026-03-12T21:08:50.633923,Experiment 2,threshold,52,LM_L,11,A,A,1,53.83,53.83,0.5600164384351866,2,0,59.165,0.06447982788085938
YZX,2026-03-12T21:08:55.961168,Experiment 2,threshold,53,DLM_2,11,A,A,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.04592275619506836
YZX,2026-03-12T21:09:01.681137,Experiment 2,threshold,54,LM_C,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.5092940330505371
YZX,2026-03-12T21:09:07.265984,Experiment 2,threshold,55,DLM_3,11,B,B,1,43.59,43.59,0.39999109940126676,0,0,43.59,0.03616738319396973
YZX,2026-03-12T21:09:13.297175,Experiment 2,threshold,56,ULM_L,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.8511409759521484
YZX,2026-03-12T21:09:21.233749,Experiment 2,threshold,57,LM_L,12,A,A,1,53.83,53.83,0.5600164384351866,2,0,59.165,2.63175368309021
YZX,2026-03-12T21:09:27.865463,Experiment 2,threshold,58,DLM_2,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,1.5774405002593994
YZX,2026-03-12T21:09:33.329155,Experiment 2,threshold,59,LM_C,12,A,A,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.5070257186889648
YZX,2026-03-12T21:09:39.170517,Experiment 2,threshold,60,DLM_3,12,B,B,1,43.59,32.59,0.39999109940126676,0,0,32.59,0.7523782253265381
YZX,2026-03-12T21:09:45.089678,Experiment 2,threshold,61,ULM_L,13,B,B,1,32.59,32.59,0.23995715193265368,0,0,32.59,1.0323514938354492
YZX,2026-03-12T21:09:58.304111,Experiment 2,threshold,62,LM_L,13,A,A,1,53.83,48.73,0.5600164384351866,2,0,59.165,0.7587776184082031
YZX,2026-03-12T21:10:03.801211,Experiment 2,threshold,63,DLM_2,13,A,A,1,32.59,32.59,0.23995715193265368,0,0,32.59,0.4990091323852539
