ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
CHY,2026-03-13T14:45:23.099926,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,3.4856395721435547
CHY,2026-03-13T14:45:29.987482,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1381020545959473
CHY,2026-03-13T14:45:36.635497,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.1331233978271484
CHY,2026-03-13T14:45:43.155888,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.0395267009735107
CHY,2026-03-13T14:45:51.563987,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.1217656135559082
CHY,2026-03-13T14:45:58.154936,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.1464238166809082
CHY,2026-03-13T14:46:05.595871,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.9246292114257812
CHY,2026-03-13T14:46:12.435881,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.200533390045166
CHY,2026-03-13T14:46:20.619842,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,2.7338380813598633
CHY,2026-03-13T14:46:27.363483,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.526519775390625
CHY,2026-03-13T14:46:36.323102,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.5770595073699951
CHY,2026-03-13T14:46:42.875547,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.9865539073944092
CHY,2026-03-13T14:46:49.291195,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.8899457454681396
CHY,2026-03-13T14:46:56.619064,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.968993902206421
CHY,2026-03-13T14:47:04.163347,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.914799451828003
CHY,2026-03-13T14:47:11.659053,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,1.5986697673797607
CHY,2026-03-13T14:47:19.075510,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.7290780544281006
CHY,2026-03-13T14:47:26.683109,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,1.9546229839324951
CHY,2026-03-13T14:47:32.955749,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.559927225112915
CHY,2026-03-13T14:47:38.803510,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.5315597057342529
CHY,2026-03-13T14:47:52.356477,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.5432803630828857
CHY,2026-03-13T14:48:01.043202,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,2.8929693698883057
CHY,2026-03-13T14:48:07.347091,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.43991684913635254
CHY,2026-03-13T14:48:13.739857,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M0p5,ULM_M0p2,B,ULM_M0p2,0.9035344123840332
CHY,2026-03-13T14:48:20.739519,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.9449150562286377
CHY,2026-03-13T14:48:27.123666,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.5571749210357666
CHY,2026-03-13T14:48:35.484276,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,3.1558282375335693
CHY,2026-03-13T14:48:43.444165,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.6209814548492432
CHY,2026-03-13T14:48:49.963329,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.974111795425415
CHY,2026-03-13T14:48:55.635740,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.30761218070983887
CHY,2026-03-13T14:49:02.380060,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,1.4327669143676758
CHY,2026-03-13T14:49:08.435365,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.1550912857055664
CHY,2026-03-13T14:49:15.635584,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.1041600704193115
CHY,2026-03-13T14:49:21.995772,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,0.753615140914917
CHY,2026-03-13T14:49:28.963455,Supplementary Experiment 1,pairwise,2,Spatial,15,ULM_M1p0,ULM_M0p2,B,ULM_M0p2,1.4611873626708984
