ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
CJL,2026-03-11T18:35:03.157520,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,2.5172712802886963
CJL,2026-03-11T18:35:10.532162,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.0058872699737549
CJL,2026-03-11T18:35:18.148698,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,2.6709258556365967
CJL,2026-03-11T18:35:24.228596,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.9885656833648682
CJL,2026-03-11T18:35:31.357127,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.44309139251708984
CJL,2026-03-11T18:35:37.556012,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.1008782386779785
CJL,2026-03-11T18:35:43.564923,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.9784064292907715
CJL,2026-03-11T18:35:49.267886,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.7844967842102051
CJL,2026-03-11T18:35:54.716756,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,0.602236270904541
CJL,2026-03-11T18:36:00.404857,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.4793522357940674
CJL,2026-03-11T18:36:06.173360,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.442305326461792
CJL,2026-03-11T18:36:12.348743,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.3621375560760498
CJL,2026-03-11T18:36:18.244183,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.9240713119506836
CJL,2026-03-11T18:36:24.596144,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.4860756397247314
CJL,2026-03-11T18:36:30.307828,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.5332331657409668
CJL,2026-03-11T18:36:35.860357,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.5860042572021484
CJL,2026-03-11T18:36:41.724908,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.8257315158843994
CJL,2026-03-11T18:36:48.619801,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.8832931518554688
CJL,2026-03-11T18:36:54.316690,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.6567208766937256
CJL,2026-03-11T18:37:00.284252,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.0012495517730713
CJL,2026-03-11T18:37:07.252204,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.6158320903778076
CJL,2026-03-11T18:37:12.476740,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.33209919929504395
CJL,2026-03-11T18:37:18.652857,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.3112058639526367
CJL,2026-03-11T18:37:23.828855,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.27040791511535645
CJL,2026-03-11T18:37:30.268440,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.469623327255249
