ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
CX,2026-03-12T13:12:09.930075,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,4.18524956703186
CX,2026-03-12T13:12:18.232921,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.9373652935028076
CX,2026-03-12T13:12:24.664801,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.49906086921691895
CX,2026-03-12T13:12:30.217793,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.33443117141723633
CX,2026-03-12T13:12:40.098167,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,4.7846152782440186
CX,2026-03-12T13:12:48.082650,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,0.42752766609191895
CX,2026-03-12T13:12:56.369774,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,3.144808053970337
CX,2026-03-12T13:13:01.825167,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.42966437339782715
CX,2026-03-12T13:13:07.913504,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.8399531841278076
CX,2026-03-12T13:13:13.608913,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.7012684345245361
CX,2026-03-12T13:13:20.130000,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,1.2431795597076416
CX,2026-03-12T13:13:25.617440,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.3504917621612549
CX,2026-03-12T13:13:33.633325,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,2.9851465225219727
CX,2026-03-12T13:13:42.561241,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M0p2,B,ULM_M0p2,3.875040054321289
CX,2026-03-12T13:13:48.569689,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,0.7855329513549805
CX,2026-03-12T13:13:54.184800,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,0.4724447727203369
CX,2026-03-12T13:13:59.616824,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,0.444779634475708
CX,2026-03-12T13:14:05.817040,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.2207958698272705
CX,2026-03-12T13:14:12.769836,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,1.6914663314819336
CX,2026-03-12T13:14:18.466333,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,0.5682053565979004
CX,2026-03-12T13:14:28.073012,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.46768856048583984
CX,2026-03-12T13:14:34.017683,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.9042212963104248
CX,2026-03-12T13:14:39.498269,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.4876716136932373
CX,2026-03-12T13:14:44.992958,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.3751108646392822
CX,2026-03-12T13:14:50.977235,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.0315399169921875
CX,2026-03-12T13:14:57.209389,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.2025189399719238
CX,2026-03-12T13:15:02.520733,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.33049631118774414
CX,2026-03-12T13:15:08.712912,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.4791905879974365
CX,2026-03-12T13:15:14.841360,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.6564340591430664
CX,2026-03-12T13:15:20.521293,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.5369045734405518
CX,2026-03-12T13:15:27.841368,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,2.2872376441955566
CX,2026-03-12T13:15:33.401749,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.5911879539489746
CX,2026-03-12T13:15:39.416805,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.1201167106628418
CX,2026-03-12T13:15:45.361460,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.3385941982269287
CX,2026-03-12T13:15:51.026097,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.6138801574707031
CX,2026-03-12T13:15:56.513583,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.43387413024902344
CX,2026-03-12T13:16:02.632386,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.9459085464477539
CX,2026-03-12T13:16:08.192964,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.3973042964935303
CX,2026-03-12T13:16:13.808971,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.4477710723876953
CX,2026-03-12T13:16:20.729475,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.8553173542022705
