ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
CYQ,2026-03-11T11:03:13.771702,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.34545254707336426
CYQ,2026-03-11T11:03:19.811125,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.9188599586486816
CYQ,2026-03-11T11:03:25.921936,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.1752371788024902
CYQ,2026-03-11T11:03:30.962932,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.2457585334777832
CYQ,2026-03-11T11:03:36.298813,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.3962531089782715
CYQ,2026-03-11T11:03:43.187116,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,2.140381336212158
CYQ,2026-03-11T11:03:48.562228,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.2494668960571289
CYQ,2026-03-11T11:03:53.899108,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.46237707138061523
CYQ,2026-03-11T11:04:00.603397,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.26505064964294434
CYQ,2026-03-11T11:04:05.682464,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.2660813331604004
CYQ,2026-03-11T11:04:10.754572,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.32947301864624023
CYQ,2026-03-11T11:04:18.331301,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,2.0058658123016357
CYQ,2026-03-11T11:04:25.419224,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,1.9098036289215088
CYQ,2026-03-11T11:04:31.115021,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.7710163593292236
CYQ,2026-03-11T11:04:36.650568,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.28287625312805176
CYQ,2026-03-11T11:04:42.115012,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.66375732421875
CYQ,2026-03-11T11:04:47.090183,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.2988922595977783
CYQ,2026-03-11T11:04:52.259428,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.4784543514251709
CYQ,2026-03-11T11:04:58.722401,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,1.2929444313049316
CYQ,2026-03-11T11:05:04.123132,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.37477564811706543
CYQ,2026-03-11T11:05:36.858339,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,7.757322549819946
CYQ,2026-03-11T11:05:42.650090,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.4829108715057373
CYQ,2026-03-11T11:05:52.754810,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M1p0,ULM_M0p2,B,ULM_M0p2,5.206437349319458
CYQ,2026-03-11T11:05:59.570618,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,1.6710436344146729
CYQ,2026-03-11T11:06:05.091895,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.38688206672668457
CYQ,2026-03-11T11:06:11.481865,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.5954463481903076
CYQ,2026-03-11T11:06:16.939124,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.30277347564697266
CYQ,2026-03-11T11:06:21.890230,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.07909703254699707
CYQ,2026-03-11T11:06:29.897772,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M0p2,ULM_M1p2,A,ULM_M0p2,3.0520615577697754
CYQ,2026-03-11T11:06:37.922063,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M2p0,ULM_M0p2,B,ULM_M0p2,1.3588688373565674
CYQ,2026-03-11T11:06:43.162824,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.3511941432952881
CYQ,2026-03-11T11:06:48.385987,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,0.2783505916595459
CYQ,2026-03-11T11:06:53.706992,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.24674272537231445
CYQ,2026-03-11T11:06:58.930643,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.2570183277130127
CYQ,2026-03-11T11:07:04.074138,Supplementary Experiment 1,pairwise,2,Spatial,15,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.25948023796081543
CYQ,2026-03-11T11:07:09.315400,Supplementary Experiment 1,pairwise,2,Spatial,16,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.2401750087738037
CYQ,2026-03-11T11:07:15.170028,Supplementary Experiment 1,pairwise,2,Spatial,17,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.7749884128570557
CYQ,2026-03-11T11:07:20.522177,Supplementary Experiment 1,pairwise,2,Spatial,18,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,0.24111533164978027
CYQ,2026-03-11T11:07:25.682117,Supplementary Experiment 1,pairwise,2,Spatial,19,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.2619357109069824
CYQ,2026-03-11T11:07:31.082999,Supplementary Experiment 1,pairwise,2,Spatial,20,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.39308738708496094
