ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
FLH,2026-03-11T20:49:57.017849,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.7145934104919434
FLH,2026-03-11T20:50:02.274146,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.2553279399871826
FLH,2026-03-11T20:50:07.785538,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.7133023738861084
FLH,2026-03-11T20:50:13.425659,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.6693713665008545
FLH,2026-03-11T20:50:18.650021,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.28413915634155273
FLH,2026-03-11T20:50:23.729918,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.25223588943481445
FLH,2026-03-11T20:50:28.810614,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.295790433883667
FLH,2026-03-11T20:50:33.897582,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.30894017219543457
FLH,2026-03-11T20:50:38.865830,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.18332409858703613
FLH,2026-03-11T20:50:43.857363,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.2492985725402832
FLH,2026-03-11T20:50:48.930034,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.30065035820007324
FLH,2026-03-11T20:50:53.937669,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.2791140079498291
FLH,2026-03-11T20:50:59.426379,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.39063549041748047
FLH,2026-03-11T20:51:04.505669,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.27765989303588867
FLH,2026-03-11T20:51:09.826093,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.5693464279174805
FLH,2026-03-11T20:51:14.921662,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.28251004219055176
FLH,2026-03-11T20:51:20.378256,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.46411943435668945
FLH,2026-03-11T20:51:25.850590,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.7257170677185059
FLH,2026-03-11T20:51:30.946122,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.34410643577575684
FLH,2026-03-11T20:51:36.265813,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.293194055557251
FLH,2026-03-11T20:51:45.185427,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.5773589611053467
FLH,2026-03-11T20:51:50.673700,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.7541990280151367
FLH,2026-03-11T20:51:56.057826,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.39252614974975586
FLH,2026-03-11T20:52:02.386196,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.424882173538208
FLH,2026-03-11T20:52:07.994049,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.7586121559143066
FLH,2026-03-11T20:52:13.145585,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.3469967842102051
FLH,2026-03-11T20:52:18.314091,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.26922011375427246
FLH,2026-03-11T20:52:24.737727,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M0p2,ULM_M0p5,A,ULM_M0p2,1.4809904098510742
FLH,2026-03-11T20:52:29.985668,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.4463052749633789
FLH,2026-03-11T20:52:35.145601,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.3243873119354248
FLH,2026-03-11T20:52:40.313573,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.26076340675354004
