ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
FY,2026-03-13T13:08:35.975869,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.397531270980835
FY,2026-03-13T13:08:42.423376,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.3839037418365479
FY,2026-03-13T13:08:47.816022,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.44618821144104004
FY,2026-03-13T13:08:52.951506,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.3333241939544678
FY,2026-03-13T13:08:58.455282,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.7059648036956787
FY,2026-03-13T13:09:03.863857,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.5277101993560791
FY,2026-03-13T13:09:08.959528,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.30582499504089355
FY,2026-03-13T13:09:14.719117,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.9571077823638916
FY,2026-03-13T13:09:20.359301,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.7989623546600342
FY,2026-03-13T13:09:26.047472,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.7479414939880371
FY,2026-03-13T13:09:31.799609,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.8827719688415527
FY,2026-03-13T13:09:37.487667,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.8387823104858398
FY,2026-03-13T13:09:42.759332,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.3991405963897705
FY,2026-03-13T13:09:48.143936,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.5889444351196289
FY,2026-03-13T13:09:53.999268,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.6590878963470459
FY,2026-03-13T13:10:00.167697,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.416398048400879
FY,2026-03-13T13:10:06.423873,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.341639518737793
FY,2026-03-13T13:10:11.655538,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.31406164169311523
FY,2026-03-13T13:10:16.927274,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.3765263557434082
FY,2026-03-13T13:10:22.136259,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.42958498001098633
FY,2026-03-13T13:10:33.200237,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.4576573371887207
FY,2026-03-13T13:10:38.687272,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.7399213314056396
FY,2026-03-13T13:10:43.775019,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.3073394298553467
FY,2026-03-13T13:10:50.855269,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.8841173648834229
FY,2026-03-13T13:10:56.343073,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.7017581462860107
FY,2026-03-13T13:11:02.071637,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,0.8329389095306396
FY,2026-03-13T13:11:06.999201,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.11529040336608887
FY,2026-03-13T13:11:13.998825,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.3140628337860107
FY,2026-03-13T13:11:19.143091,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.3022143840789795
FY,2026-03-13T13:11:26.743703,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,2.736004590988159
FY,2026-03-13T13:11:31.951494,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.298372745513916
FY,2026-03-13T13:11:37.103829,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.4208052158355713
FY,2026-03-13T13:11:42.551356,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.44641685485839844
FY,2026-03-13T13:11:47.702993,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.335721492767334
FY,2026-03-13T13:11:52.847262,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.30775022506713867
FY,2026-03-13T13:11:58.255830,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.5394628047943115
FY,2026-03-13T13:12:03.407507,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.2709176540374756
FY,2026-03-13T13:12:08.446610,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.29194068908691406
FY,2026-03-13T13:12:13.702888,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.5232384204864502
FY,2026-03-13T13:12:19.071651,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.5834074020385742
