ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
GJH,2026-03-11T14:17:48.473267,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,2.133786201477051
GJH,2026-03-11T14:17:54.888464,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.9083085060119629
GJH,2026-03-11T14:18:01.448529,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.8035988807678223
GJH,2026-03-11T14:18:07.872676,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.930513858795166
GJH,2026-03-11T14:18:13.592320,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.6853697299957275
GJH,2026-03-11T14:18:20.223639,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.4392306804656982
GJH,2026-03-11T14:18:27.127771,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.747490644454956
GJH,2026-03-11T14:18:32.743754,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.5562047958374023
GJH,2026-03-11T14:18:39.327865,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,1.5178718566894531
GJH,2026-03-11T14:18:45.295798,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.9452147483825684
GJH,2026-03-11T14:18:51.343499,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.8893911838531494
GJH,2026-03-11T14:18:57.352858,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.0354766845703125
GJH,2026-03-11T14:19:03.791479,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.5112740993499756
