ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
GYX,2026-03-11T20:16:48.647040,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.47356748580932617
GYX,2026-03-11T20:16:54.086749,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.26675868034362793
GYX,2026-03-11T20:16:59.270574,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.34624814987182617
GYX,2026-03-11T20:17:04.494380,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.24524664878845215
GYX,2026-03-11T20:17:09.742144,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.28211402893066406
GYX,2026-03-11T20:17:15.197725,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.5303652286529541
GYX,2026-03-11T20:17:20.534347,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.34941720962524414
GYX,2026-03-11T20:17:25.694892,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.22498369216918945
GYX,2026-03-11T20:17:30.870725,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.2775721549987793
GYX,2026-03-11T20:17:36.166561,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.2707216739654541
GYX,2026-03-11T20:17:41.222787,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.25924110412597656
GYX,2026-03-11T20:17:46.461468,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.3621635437011719
GYX,2026-03-11T20:17:51.780836,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.35872960090637207
GYX,2026-03-11T20:17:57.181684,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.4967780113220215
GYX,2026-03-11T20:18:02.302869,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.25858426094055176
GYX,2026-03-11T20:18:08.078366,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.9136092662811279
GYX,2026-03-11T20:18:13.214580,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.24565362930297852
GYX,2026-03-11T20:18:18.470891,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.3966636657714844
GYX,2026-03-11T20:18:23.774406,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.3164644241333008
GYX,2026-03-11T20:18:29.046622,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.2631998062133789
GYX,2026-03-11T20:18:35.382187,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.29119086265563965
GYX,2026-03-11T20:18:40.663241,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.28657102584838867
GYX,2026-03-11T20:18:45.958030,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.32386064529418945
GYX,2026-03-11T20:18:52.094015,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.253145694732666
GYX,2026-03-11T20:18:57.598991,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.31494593620300293
