ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
HH,2026-03-11T13:13:37.641612,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.5803444385528564
HH,2026-03-11T13:13:43.344475,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.5327725410461426
HH,2026-03-11T13:13:51.792942,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,1.7333297729492188
HH,2026-03-11T13:13:57.945238,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,1.2380168437957764
HH,2026-03-11T13:14:03.841426,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.7746744155883789
HH,2026-03-11T13:14:10.705328,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,1.5582666397094727
HH,2026-03-11T13:14:15.993828,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.25090932846069336
HH,2026-03-11T13:14:22.209641,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,1.2329154014587402
HH,2026-03-11T13:14:28.768802,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.5398774147033691
HH,2026-03-11T13:14:36.048905,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.8499188423156738
HH,2026-03-11T13:14:41.240880,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.24740934371948242
HH,2026-03-11T13:14:46.712543,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.42656731605529785
HH,2026-03-11T13:14:52.736980,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.848501443862915
HH,2026-03-11T13:14:57.952520,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.287036657333374
HH,2026-03-11T13:15:04.223297,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.3062334060668945
HH,2026-03-11T13:15:10.417386,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.9366509914398193
HH,2026-03-11T13:15:18.848711,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,3.3776063919067383
HH,2026-03-11T13:15:24.752497,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.8601641654968262
HH,2026-03-11T13:15:32.880902,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,2.514765977859497
HH,2026-03-11T13:15:39.879866,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.8650803565979004
HH,2026-03-11T13:15:57.568019,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.7111570835113525
HH,2026-03-11T13:16:03.495759,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.8768980503082275
HH,2026-03-11T13:16:10.032724,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,1.1819720268249512
HH,2026-03-11T13:16:15.320584,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.3856966495513916
HH,2026-03-11T13:16:21.552441,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.2243678569793701
HH,2026-03-11T13:16:26.688354,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.12374663352966309
HH,2026-03-11T13:16:32.912569,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.38465046882629395
HH,2026-03-11T13:16:39.041078,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,1.1073825359344482
HH,2026-03-11T13:16:45.256600,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.2673876285552979
HH,2026-03-11T13:16:51.360998,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.8912158012390137
HH,2026-03-11T13:16:57.617705,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,1.1754019260406494
HH,2026-03-11T13:17:03.648237,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.7438256740570068
HH,2026-03-11T13:17:09.520199,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.8269853591918945
HH,2026-03-11T13:17:14.649142,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.14185428619384766
HH,2026-03-11T13:17:20.601134,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.0562384128570557
HH,2026-03-11T13:17:26.184850,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.4266519546508789
HH,2026-03-11T13:17:32.792199,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.6775434017181396
HH,2026-03-11T13:17:38.144071,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.3703727722167969
HH,2026-03-11T13:17:43.768091,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.6025474071502686
HH,2026-03-11T13:17:49.640046,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.858107328414917
