ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
HWC,2026-03-12T11:42:01.364270,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M1p2,ULM_M0p2,B,ULM_M0p2,2.288912773132324
HWC,2026-03-12T11:42:06.756116,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M2p0,ULM_M1p0,B,ULM_M1p0,0.3762235641479492
HWC,2026-03-12T11:42:12.060618,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M0p2,ULM_M1p0,A,ULM_M0p2,0.393643856048584
HWC,2026-03-12T11:42:17.580395,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.3934345245361328
HWC,2026-03-12T11:42:22.747770,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.338869571685791
HWC,2026-03-12T11:42:29.820089,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M2p0,ULM_M0p2,B,ULM_M0p2,2.181960105895996
HWC,2026-03-12T11:42:35.124159,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,0.3115975856781006
HWC,2026-03-12T11:42:40.404486,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p2,ULM_M2p0,A,ULM_M0p2,0.264467716217041
HWC,2026-03-12T11:42:45.684716,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,0.28379154205322266
HWC,2026-03-12T11:42:50.828847,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.32687973976135254
HWC,2026-03-12T11:42:56.581080,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.7892212867736816
HWC,2026-03-12T11:43:01.756171,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.26345396041870117
HWC,2026-03-12T11:43:07.045334,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,0.34952807426452637
HWC,2026-03-12T11:43:12.308109,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.29942870140075684
HWC,2026-03-12T11:43:18.252599,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,1.083569049835205
HWC,2026-03-12T11:43:23.820253,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.645226001739502
HWC,2026-03-12T11:43:29.092565,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.38191986083984375
HWC,2026-03-12T11:43:34.428454,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.3370075225830078
HWC,2026-03-12T11:43:39.828230,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.540410041809082
HWC,2026-03-12T11:43:45.620428,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.5875442028045654
