ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
HZQ,2026-03-11T19:52:40.106627,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,16.55044388771057
HZQ,2026-03-11T19:52:46.953851,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,1.4389960765838623
HZQ,2026-03-11T19:52:52.337548,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.30556201934814453
HZQ,2026-03-11T19:52:57.522991,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.32433652877807617
HZQ,2026-03-11T19:53:02.793973,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M1p2,ULM_M1p0,A,ULM_M1p2,0.27477288246154785
HZQ,2026-03-11T19:53:08.025922,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.2462763786315918
HZQ,2026-03-11T19:53:13.137844,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.2500176429748535
HZQ,2026-03-11T19:53:19.569977,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.269958257675171
HZQ,2026-03-11T19:53:24.945961,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.40508174896240234
HZQ,2026-03-11T19:53:30.273778,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.2913076877593994
HZQ,2026-03-11T19:53:36.954007,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.5480382442474365
HZQ,2026-03-11T19:53:42.225191,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.2468273639678955
