ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
LJS,2026-03-13T10:27:07.990242,Supplementary Experiment 1,pairwise,1,Spatial,1,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,4.351851940155029
LJS,2026-03-13T10:27:17.070092,Supplementary Experiment 1,pairwise,1,Spatial,2,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.3209340572357178
LJS,2026-03-13T10:27:27.143256,Supplementary Experiment 1,pairwise,1,Spatial,3,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.8568108081817627
LJS,2026-03-13T10:27:37.166188,Supplementary Experiment 1,pairwise,1,Spatial,4,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,1.1598520278930664
LJS,2026-03-13T10:27:46.542210,Supplementary Experiment 1,pairwise,1,Spatial,5,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.8335702419281006
LJS,2026-03-13T10:27:55.790166,Supplementary Experiment 1,pairwise,1,Spatial,6,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,1.0337510108947754
LJS,2026-03-13T10:28:05.055100,Supplementary Experiment 1,pairwise,1,Spatial,7,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.43758082389831543
LJS,2026-03-13T10:28:13.806321,Supplementary Experiment 1,pairwise,1,Spatial,8,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.4192221164703369
LJS,2026-03-13T10:28:22.334596,Supplementary Experiment 1,pairwise,1,Spatial,9,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.6433696746826172
LJS,2026-03-13T10:28:30.390091,Supplementary Experiment 1,pairwise,1,Spatial,10,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.743257999420166
LJS,2026-03-13T10:28:37.958229,Supplementary Experiment 1,pairwise,1,Spatial,11,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.25008130073547363
LJS,2026-03-13T10:28:45.085507,Supplementary Experiment 1,pairwise,1,Spatial,12,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.12945842742919922
LJS,2026-03-13T10:28:52.302412,Supplementary Experiment 1,pairwise,1,Spatial,13,ULM_M0p5,ULM_M1p2,A,ULM_M0p5,2.021399974822998
LJS,2026-03-13T10:28:57.669539,Supplementary Experiment 1,pairwise,1,Spatial,14,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.31163835525512695
LJS,2026-03-13T10:29:03.390037,Supplementary Experiment 1,pairwise,1,Spatial,15,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.5918819904327393
LJS,2026-03-13T10:29:13.334538,Supplementary Experiment 1,pairwise,1,Spatial,16,ULM_M1p2,ULM_M0p5,B,ULM_M0p5,3.2927284240722656
LJS,2026-03-13T10:29:19.054885,Supplementary Experiment 1,pairwise,1,Spatial,17,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.354461669921875
LJS,2026-03-13T10:29:26.446582,Supplementary Experiment 1,pairwise,1,Spatial,18,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.5996172428131104
LJS,2026-03-13T10:29:32.541237,Supplementary Experiment 1,pairwise,1,Spatial,19,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.514664888381958
LJS,2026-03-13T10:29:38.893685,Supplementary Experiment 1,pairwise,1,Spatial,20,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.795813798904419
LJS,2026-03-13T10:29:51.797768,Supplementary Experiment 1,pairwise,2,Intensity,1,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.3401470184326172
LJS,2026-03-13T10:30:01.302521,Supplementary Experiment 1,pairwise,2,Intensity,2,ULM_M1p0,ULM_M1p2,A,ULM_M1p0,0.202376127243042
LJS,2026-03-13T10:30:07.157639,Supplementary Experiment 1,pairwise,2,Intensity,3,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,0.1725928783416748
LJS,2026-03-13T10:30:14.693497,Supplementary Experiment 1,pairwise,2,Intensity,4,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.2588005065917969
LJS,2026-03-13T10:30:20.038475,Supplementary Experiment 1,pairwise,2,Intensity,5,ULM_M1p0,ULM_M2p0,A,ULM_M1p0,0.1775963306427002
LJS,2026-03-13T10:30:26.861780,Supplementary Experiment 1,pairwise,2,Intensity,6,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.8358268737792969
LJS,2026-03-13T10:30:32.086434,Supplementary Experiment 1,pairwise,2,Intensity,7,ULM_M0p5,ULM_M1p0,A,ULM_M0p5,0.042803287506103516
LJS,2026-03-13T10:30:37.941350,Supplementary Experiment 1,pairwise,2,Intensity,8,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.46793222427368164
LJS,2026-03-13T10:30:44.333641,Supplementary Experiment 1,pairwise,2,Intensity,9,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.4132282733917236
LJS,2026-03-13T10:30:49.629611,Supplementary Experiment 1,pairwise,2,Intensity,10,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.30811047554016113
LJS,2026-03-13T10:30:54.661778,Supplementary Experiment 1,pairwise,2,Intensity,11,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.06368041038513184
LJS,2026-03-13T10:31:00.038307,Supplementary Experiment 1,pairwise,2,Intensity,12,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.32296061515808105
LJS,2026-03-13T10:31:05.645154,Supplementary Experiment 1,pairwise,2,Intensity,13,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.1780409812927246
LJS,2026-03-13T10:31:10.973774,Supplementary Experiment 1,pairwise,2,Intensity,14,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,0.3194873332977295
LJS,2026-03-13T10:31:16.302787,Supplementary Experiment 1,pairwise,2,Intensity,15,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.3134007453918457
LJS,2026-03-13T10:31:21.637241,Supplementary Experiment 1,pairwise,2,Intensity,16,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.3453373908996582
LJS,2026-03-13T10:31:27.446073,Supplementary Experiment 1,pairwise,2,Intensity,17,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.723914623260498
LJS,2026-03-13T10:31:33.062035,Supplementary Experiment 1,pairwise,2,Intensity,18,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.5808334350585938
LJS,2026-03-13T10:31:38.662038,Supplementary Experiment 1,pairwise,2,Intensity,19,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.587306022644043
LJS,2026-03-13T10:31:44.366436,Supplementary Experiment 1,pairwise,2,Intensity,20,ULM_M1p0,ULM_M0p5,B,ULM_M0p5,0.6934494972229004
