ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
LJY,2026-03-13T10:56:08.476607,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.8909039497375488
LJY,2026-03-13T10:56:15.852583,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,2.0708301067352295
LJY,2026-03-13T10:56:22.829206,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M0p5,ULM_M2p0,A,ULM_M0p5,1.8712334632873535
LJY,2026-03-13T10:56:29.661525,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,1.648777961730957
LJY,2026-03-13T10:56:36.093128,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.2955176830291748
LJY,2026-03-13T10:56:42.541115,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,1.1347196102142334
LJY,2026-03-13T10:56:49.397308,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.7853236198425293
LJY,2026-03-13T10:56:55.612682,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1250061988830566
LJY,2026-03-13T10:57:02.508494,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.896266222000122
LJY,2026-03-13T10:57:09.061624,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,1.1449663639068604
LJY,2026-03-13T10:57:15.811944,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.4881205558776855
LJY,2026-03-13T10:57:22.252516,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,1.227417230606079
LJY,2026-03-13T10:57:27.829025,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.5752637386322021
LJY,2026-03-13T10:57:33.676886,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.6817352771759033
LJY,2026-03-13T10:57:42.916160,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.8018467426300049
LJY,2026-03-13T10:57:49.164427,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M1p2,ULM_M2p0,A,ULM_M1p2,1.136235237121582
LJY,2026-03-13T10:57:55.492797,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.1922991275787354
LJY,2026-03-13T10:58:02.069671,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.460798978805542
LJY,2026-03-13T10:58:07.853335,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,0.5140073299407959
LJY,2026-03-13T10:58:13.541688,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,0.6569569110870361
LJY,2026-03-13T10:58:28.732789,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.3159222602844238
LJY,2026-03-13T10:58:36.525492,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,2.728618621826172
LJY,2026-03-13T10:58:43.132924,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.4240844249725342
