ParticipantID,Timestamp,ExperimentMode,TaskType,BlockIndex,BlockType,Trial,StimulusA,StimulusB,ChosenOption,ChosenStimulus,ReactionTime
LZ,2026-03-12T20:39:26.099879,Supplementary Experiment 1,pairwise,1,Intensity,1,ULM_M2p0,ULM_M0p5,A,ULM_M2p0,1.823765754699707
LZ,2026-03-12T20:39:32.370777,Supplementary Experiment 1,pairwise,1,Intensity,2,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.6466560363769531
LZ,2026-03-12T20:39:38.130204,Supplementary Experiment 1,pairwise,1,Intensity,3,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.8406715393066406
LZ,2026-03-12T20:39:43.938368,Supplementary Experiment 1,pairwise,1,Intensity,4,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.8020329475402832
LZ,2026-03-12T20:39:49.801949,Supplementary Experiment 1,pairwise,1,Intensity,5,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,0.6243717670440674
LZ,2026-03-12T20:39:56.162612,Supplementary Experiment 1,pairwise,1,Intensity,6,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.553330659866333
LZ,2026-03-12T20:40:01.706000,Supplementary Experiment 1,pairwise,1,Intensity,7,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.5925743579864502
LZ,2026-03-12T20:40:07.778110,Supplementary Experiment 1,pairwise,1,Intensity,8,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,1.253403663635254
LZ,2026-03-12T20:40:14.394344,Supplementary Experiment 1,pairwise,1,Intensity,9,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,1.5805752277374268
LZ,2026-03-12T20:40:20.409683,Supplementary Experiment 1,pairwise,1,Intensity,10,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,1.1578369140625
LZ,2026-03-12T20:40:27.050091,Supplementary Experiment 1,pairwise,1,Intensity,11,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,1.8368594646453857
LZ,2026-03-12T20:40:32.722615,Supplementary Experiment 1,pairwise,1,Intensity,12,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,0.8325910568237305
LZ,2026-03-12T20:40:38.010165,Supplementary Experiment 1,pairwise,1,Intensity,13,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,0.263638973236084
LZ,2026-03-12T20:40:43.210537,Supplementary Experiment 1,pairwise,1,Intensity,14,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,0.22696232795715332
LZ,2026-03-12T20:40:49.426993,Supplementary Experiment 1,pairwise,1,Intensity,15,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.2144770622253418
LZ,2026-03-12T20:40:55.074025,Supplementary Experiment 1,pairwise,1,Intensity,16,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.7115252017974854
LZ,2026-03-12T20:41:00.418109,Supplementary Experiment 1,pairwise,1,Intensity,17,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,0.38367509841918945
LZ,2026-03-12T20:41:05.586495,Supplementary Experiment 1,pairwise,1,Intensity,18,ULM_M2p0,ULM_M1p2,A,ULM_M2p0,0.25203704833984375
LZ,2026-03-12T20:41:11.385889,Supplementary Experiment 1,pairwise,1,Intensity,19,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.6128005981445312
LZ,2026-03-12T20:41:17.195292,Supplementary Experiment 1,pairwise,1,Intensity,20,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.5165205001831055
LZ,2026-03-12T20:41:25.746925,Supplementary Experiment 1,pairwise,2,Spatial,1,ULM_M0p2,ULM_M2p0,B,ULM_M2p0,1.3332185745239258
LZ,2026-03-12T20:41:31.890154,Supplementary Experiment 1,pairwise,2,Spatial,2,ULM_M2p0,ULM_M0p5,B,ULM_M0p5,0.996100664138794
LZ,2026-03-12T20:41:37.626231,Supplementary Experiment 1,pairwise,2,Spatial,3,ULM_M0p5,ULM_M0p2,A,ULM_M0p5,0.9176084995269775
LZ,2026-03-12T20:41:43.473846,Supplementary Experiment 1,pairwise,2,Spatial,4,ULM_M1p0,ULM_M0p5,A,ULM_M1p0,1.0220694541931152
LZ,2026-03-12T20:41:48.898850,Supplementary Experiment 1,pairwise,2,Spatial,5,ULM_M0p2,ULM_M1p2,B,ULM_M1p2,0.40752243995666504
LZ,2026-03-12T20:41:55.017714,Supplementary Experiment 1,pairwise,2,Spatial,6,ULM_M1p0,ULM_M0p2,A,ULM_M1p0,1.2635939121246338
LZ,2026-03-12T20:42:00.417586,Supplementary Experiment 1,pairwise,2,Spatial,7,ULM_M0p5,ULM_M1p0,B,ULM_M1p0,0.249403715133667
LZ,2026-03-12T20:42:06.386431,Supplementary Experiment 1,pairwise,2,Spatial,8,ULM_M2p0,ULM_M0p2,A,ULM_M2p0,1.1349365711212158
LZ,2026-03-12T20:42:12.474438,Supplementary Experiment 1,pairwise,2,Spatial,9,ULM_M0p2,ULM_M1p0,B,ULM_M1p0,1.2136940956115723
LZ,2026-03-12T20:42:18.386222,Supplementary Experiment 1,pairwise,2,Spatial,10,ULM_M1p2,ULM_M1p0,B,ULM_M1p0,1.047224521636963
LZ,2026-03-12T20:42:23.610545,Supplementary Experiment 1,pairwise,2,Spatial,11,ULM_M1p2,ULM_M0p2,A,ULM_M1p2,0.43430328369140625
LZ,2026-03-12T20:42:28.714692,Supplementary Experiment 1,pairwise,2,Spatial,12,ULM_M2p0,ULM_M1p0,A,ULM_M2p0,0.3308751583099365
LZ,2026-03-12T20:42:35.626545,Supplementary Experiment 1,pairwise,2,Spatial,13,ULM_M1p0,ULM_M2p0,B,ULM_M2p0,0.24494028091430664
LZ,2026-03-12T20:42:41.713928,Supplementary Experiment 1,pairwise,2,Spatial,14,ULM_M2p0,ULM_M1p2,B,ULM_M1p2,1.2675132751464844
LZ,2026-03-12T20:42:46.730542,Supplementary Experiment 1,pairwise,2,Spatial,15,ULM_M0p5,ULM_M1p2,B,ULM_M1p2,0.20161652565002441
LZ,2026-03-12T20:42:52.458487,Supplementary Experiment 1,pairwise,2,Spatial,16,ULM_M1p2,ULM_M2p0,B,ULM_M2p0,0.5201425552368164
LZ,2026-03-12T20:42:57.633993,Supplementary Experiment 1,pairwise,2,Spatial,17,ULM_M0p5,ULM_M2p0,B,ULM_M2p0,0.39894890785217285
LZ,2026-03-12T20:43:03.705902,Supplementary Experiment 1,pairwise,2,Spatial,18,ULM_M1p0,ULM_M1p2,B,ULM_M1p2,1.4034616947174072
LZ,2026-03-12T20:43:08.962776,Supplementary Experiment 1,pairwise,2,Spatial,19,ULM_M1p2,ULM_M0p5,A,ULM_M1p2,0.38585972785949707
LZ,2026-03-12T20:43:14.850859,Supplementary Experiment 1,pairwise,2,Spatial,20,ULM_M0p2,ULM_M0p5,B,ULM_M0p5,0.8868064880371094
